ID,"Product Name","Product description","Product short description",Date,"Post Type",Slug,Permalink,Brands,Brands,"Product categories","Product tags",Type,Visibility,Featured,"Shipping classes","Enable reviews","Grouped products","GTIN, UPC, EAN, or ISBN","Stock Status",Downloadable,Virtual,"Regular Price","Sale Price","Purchase Note",Weight,Length,Width,Height,Sku,"Sale Price Dates From","Sale Price Dates To",Price,"Sold Individually","Manage Stock",Stock,"Low Stock Amount","Upsell Ids","Crosssell Ids","Downloadable File Name","Downloadable Files","Download Limit","Download Expiry","Product Url","Button Text",Backorders,"Tax Status","Tax Class","Total Sales","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating","SEO Title","SEO Meta Description","SEO Cornerstone Content","SEO Focus Keyphrase","SEO Page Analysis","SEO Score","SEO Facebook Title","SEO Facebook Description","SEO Facebook Image Source","SEO Facebook Image Custom Field Name","SEO Facebook Image Custom URL","SEO Facebook Video","SEO Facebook Object Type","SEO Facebook Article Section","SEO Facebook Article Tags","SEO Twitter Use Data from Facebook Tab","SEO Twitter Title","SEO Twitter Description","SEO Twitter Image Source","SEO Twitter Image Custom URL","SEO Twitter Image Custom Fields","SEO Twitter Card Type","SEO Robots Default","SEO Robots No Index","SEO Robots No Follow","SEO Robots No Archive","SEO Robots No Translate","SEO Robots No Image Index","SEO Robots No Snippet","SEO Robots No ODP","SEO Robots No Max Snippet","SEO Robots Max Video Preview","SEO Robots Max Image Preview","SEO Canonical URL","SEO Priority","SEO Frequency","SEO Keywords","SEO Schema","SEO Schema Type","SEO Schema Type Option","Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text","Attachment URL","Attachments Filename","Attachments Path","Attachments ID","Attachments Title","Attachments Caption","Attachments Description","Attachments Alt Text","Author ID","Author Login","Author Email","Author First Name","Author Last Name",_fl_builder_data,_fl_builder_data_settings,_fl_builder_draft,_fl_builder_draft_settings,_fl_builder_history_position,_fl_builder_history_state_0,_fl_builder_history_state_1,_last_editor_used_jetpack,_monsterinsights_sitenote_active,_monsterinsights_sitenote_category,_monsterinsights_sitenote_id,_monsterinsights_sitenote_note,_ph_ups_hazardous_materials,_ph_ups_manufacture_country,_ph_ups_restricted_article,_ppcp_button_position,_pw_exclude_free_shipping,_w2s_shopify_data,_wf_ups_deliveryconfirmation,_wf_ups_direct_delivery,_woosea_exclude_product,_wp_old_date,_wp_old_slug,_yoast_wpseo_content_score,_yoast_wpseo_estimated-reading-time-minutes,_yoast_wpseo_focuskw,_yoast_wpseo_linkdex,_yoast_wpseo_metadesc,_yoast_wpseo_primary_product_cat,_yoast_wpseo_primary_pwb-brand,_yoast_wpseo_title,additional_property_33270,apartment_amenities_33270,article_items_33270,blogposting_items_33270,faq_question_33270,feed_element_33270,howto_step_33270,howto_supply_33270,howto_tool_33270,image_object_exif_data_33270,inline_featured_image,mc_cause_33270,mc_risk_factor_33270,mc_symptom_33270,music_album_track_33270,music_playlist_track_33270,newsarticle_items_33270,performer_33270,ph_ups_invoice_desc,product_reviews_33270,saswp_enable_disable_schema,saswp_modify_this_schema_33270,saswp_product_schema_availability_33270,saswp_product_schema_brand_name_33270,saswp_product_schema_condition_33270,saswp_product_schema_currency_33270,saswp_product_schema_description_33270,saswp_product_schema_enable_rating_33270,saswp_product_schema_image_33270,saswp_product_schema_image_33270_detail,saswp_product_schema_mpn_33270,saswp_product_schema_name_33270,saswp_product_schema_price_33270,saswp_product_schema_priceValidUntil_33270,saswp_product_schema_rating_33270,saswp_product_schema_review_count_33270,saswp_product_schema_sku_33270,saswp_product_schema_url_33270,saswp_schema_type_product_pros_enable_cons,tech_article_items_33270,trip_itinerary_33270,tvseries_actor_33270,tvseries_season_33270,Status,Format,Template,"Parent id",Parent,Password,Order,"Ping Status","Post Modified Date"
13163,"Teaming with Microbes","<b>A Gardener's Guide to the Soil Food Web</b><br>  by Jeff Lowenfels and Wayne Lewis  <br><br>  <b>Should be required reading for all serious gardeners.</b>  <br><br>  Smart gardeners know that soil is anything but an inert substance. Healthy soil is teeming with life not just earthworms and insects, but a staggering multitude of bacteria, fungi, and other microorganisms. When we use chemical fertilizers, we injure the microbial life that sustains healthy plants, and thus become increasingly dependent on an arsenal of artificial substances, many of them toxic to humans as well as other forms of life. But there is an alternative to this vicious circle: to garden in a way that strengthens, rather than destroys, the soil food web the complex world of soil-dwelling organisms whose interactions create a nurturing environment for plants. By eschewing jargon and overly technical language, the authors make the benefits of cultivating the soil food web available to a wide audience, from devotees of organic gardening techniques to weekend gardeners who simply want to grow healthy, vigorous plants without resorting to chemicals.",,"2019-09-03 19:20:27",product,teaming-with-microbes,https://hmoonhydro.com/product/teaming-with-microbes/,,,Books,,simple,visible,No,Domestic,No,,,instock,no,no,24.95,,"Thanks you for your order!",1,0,0,0,hmh00001,,,24.95,yes,no,,,,,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/08/teaming_with_microbes.jpg,teaming_with_microbes.jpg,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/08/teaming_with_microbes.jpg,872,teaming_with_microbes,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,,,,,,"{""h-moon-hydro.myshopify.com"":{""_w2s_shopify_product_id"":""8043134058570"",""_w2s_shopify_variant_id"":""42665876193354"",""status"":""imported""}}",,,,,import-placeholder-for-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:38:42"
13165,"Gardening Indoors with Soil & Hydroponics","<b>from George Van Patten</b>  <br><br>  More than 670 full-color photos, drawings, charts and graphs illustrate every detail of this authoritative easy-to-understand book. Numerous simple cultivation solutions make it appealing to novice gardeners. Seasoned gardeners are also able to fi nd answers to all their questions. Discover how to achieve the biggest best yields.  <br><br>  ""For over twenty years, Gardening Indoors has been considered ‘The Bible’ of indoor growing. It is literally a one stop gardening encyclopedia of information for both the beginner to the very experienced gardener. If I were to buy only one book on indoor gardening, this would be the one.""  <br>  - Tom Alexander Growing Edge magazine",,"2019-09-03 19:20:27",product,gardening-indoors-with-soil-hydroponics,https://hmoonhydro.com/product/gardening-indoors-with-soil-hydroponics/,,,Books,,simple,visible,No,Domestic,No,,,instock,no,no,24.95,,"Thanks you for your order!",1,0,0,0,hmh00003,,,24.95,yes,no,,,,,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/08/gardening_indoors2.jpg,gardening_indoors2.jpg,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/08/gardening_indoors2.jpg,393,gardening_indoors2,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,,,,,,"{""h-moon-hydro.myshopify.com"":{""_w2s_shopify_product_id"":""8043112923210"",""_w2s_shopify_variant_id"":""42665853616202"",""status"":""imported""}}",,,,,import-placeholder-for-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:38:43"
13168,"Gardening Indoors with Cuttings","By George F. Van Patten and Alyssa F. Bust<br>  (5.5x8.5"", 96 pages, illustrated, index)  <br><br>  Cuttings are the fastest , most efficient way of reproducing a plant. By following a few easy steps you can enjoy many generations of a favorite plant. Included in the book is everything you'll need to know. How to control the environment for the cuttings, how to avoid diseases, choosing the right hormones and solutions, and even how to build a misting chamber. You can achieve 100% success rates, don't settle for less. Propagating plants can be very very inexpensive, only pennies per cutting. You will need to know the basics though. This book is for everyone, and is written in an easy to read way anyone can understand. Written to save you time and money.",,"2019-09-03 19:20:27",product,gardening-indoors-with-cuttings,https://hmoonhydro.com/product/gardening-indoors-with-cuttings/,,,Books,,simple,visible,No,Domestic,No,,,instock,no,no,14.95,,"Thanks you for your order!",1,0,0,0,hmh00006,,,14.95,yes,no,,,,,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/08/thumb_books_gardening_indoors_cuttings.gif,thumb_books_gardening_indoors_cuttings.gif,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/08/thumb_books_gardening_indoors_cuttings.gif,880,thumb_books_gardening_indoors_cuttings,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,,,,,,"{""h-moon-hydro.myshopify.com"":{""_w2s_shopify_product_id"":""8043114496074"",""_w2s_shopify_variant_id"":""42665855385674"",""status"":""imported""}}",,,,,import-placeholder-for-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:38:45"
13171,"Gardening Indoors with Rockwool","<b>By George F. Van Patten and Alyssa F. Bust</b><br>  (5.5"" x 8.5"", 128 pages, illustrated, index)<br><br>  If you haven't heard about rockwool, it's a very popular growing medium that is ideal for use in hydroponic systems, or as a general growing medium you could use for a potted plant. It's sterile, inert, porous, and can't be overwatered when good drainage exists. Most of Europe's fruit and vegetable crops are grown in rockwool, and it's used by commercial and hobby growers worldwide.  <br><br>  Included in the book are step by step instuctions on:  <ul>  <li>Learning to achieve 20-50% higher yields  <li>Setting up and maintaining a rockwool garden  <li>Choosing the right garden to meet your specific needs  <li>The latest tools to make using rockwool even easier  <li>Picking the right nutrients to feed your plants  <li>How to grow the absolute biggest flowers using rockwool  </ul>  <br><br>  This is the one-stop hobby resource guide for using rockwool. Start getting your taste of the the good life!  <br><br>  Whether you're a beginner, novice, or expert, there's something in this book for you. This book was also edited by garden experts from around the world, helping make a great book even better.  Order your copy today!!",,"2019-09-03 19:20:28",product,gardening-indoors-with-rockwool,https://hmoonhydro.com/product/gardening-indoors-with-rockwool/,,,Books,,simple,visible,No,Domestic,No,,,instock,no,no,14.95,,"Thanks you for your order!",1,0,0,0,hmh00009,,,14.95,yes,no,,,,,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,,,,,,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,,,,,,"{""h-moon-hydro.myshopify.com"":{""_w2s_shopify_product_id"":""8043112857674"",""_w2s_shopify_variant_id"":""42665853517898"",""status"":""imported""}}",,,,,import-placeholder-for-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:38:49"
13172,FloraBlend,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.
<ul>
 	<li>FloraBlend is a vegan product and contains no animal derived ingredients.</li>
 	<li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.</li>
 	<li>FloraBlend is very clean product that can be utilized in all hydroponic systems.</li>
 	<li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.</li>
</ul>",,"2019-09-03 19:20:28",product,florablend,https://hmoonhydro.com/product/florablend/,"General Hydroponics",,"Nutrients &amp; Supplements > General Hydroponics",,grouped,visible,No,Domestic,No,"FloraBlend qt|~|FloraBlend gal|~|FloraBlend 2.5 gal|~|FloraBlend 6 gal",,instock,no,no,,,"Thanks you for your order!",0,12,12,12,hmh00010,,,12.69||151.5,yes,no,,,"FloraBlend 2.5 gal|~|FloraBlend 6 gal|~|FloraBlend gal|~|FloraBlend qt",,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/09/11876_8.jpg,11876_8.jpg,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/09/11876_8.jpg,33647,Florablend,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,no,,,,,,0,,no,,import-placeholder-for-10,30,,,,,333,,,,,,,,,,,,,0,,,,,,,,,,,,InStock,"Harvest Moon Hydroponics",NewCondition,USD,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.

 	FloraBlend is a vegan product and contains no animal derived ingredients.
 	FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.
 	FloraBlend is very clean product that can be utilized in all hydroponic systems.
 	FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.",0,https://hmoonhydro.com/wp-content/uploads/2019/09/11876_8.jpg,"{""height"":""650"",""width"":""650"",""thumbnail"":""https:\/\/hmoonhydro.com\/wp-content\/uploads\/2019\/09\/11876_8.jpg""}",13172,FloraBlend,12.69,2019-12-14T19:17:12-05:00,5,1,hmh00010,https://hmoonhydro.com/product/florablend/,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:38:50"
13173,"FloraBlend qt","We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.
<ul>
 	<li>FloraBlend is a vegan product and contains no animal derived ingredients.</li>
 	<li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.</li>
 	<li>FloraBlend is very clean product that can be utilized in all hydroponic systems.</li>
 	<li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.</li>
</ul>",,"2019-09-03 19:20:28",product,florablend-qt,https://hmoonhydro.com/product/florablend-qt/,"General Hydroponics",,"Nutrients &amp; Supplements > General Hydroponics",,simple,hidden,No,Domestic,No,,,instock,no,no,13.07,,"Thanks you for your order!",0,12,4,4,hmh00011,,,13.07,no,no,,,,,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/09/FloraBlend-qt.jpg,FloraBlend-qt.jpg,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/09/FloraBlend-qt.jpg,33807,"FloraBlend qt",,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,no,,,,,"{""h-moon-hydro.myshopify.com"":{""_w2s_shopify_product_id"":""8043109548106"",""_w2s_shopify_variant_id"":""42665850273866"",""status"":""imported""}}",0,,no,,import-placeholder-for-11,30,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:38:50"
13175,"FloraBlend gal","We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>",,"2019-09-03 15:20:28",product,florablend-gal,https://hmoonhydro.com/product/florablend-gal/,"General Hydroponics",,"Nutrients &amp; Supplements > Spray N Grow",,simple,hidden,No,Domestic,No,,,instock,no,no,31.69,,"Thanks you for your order!",2,12,8,8,hmh00012,,,31.69,no,no,,,,,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,florablend.jpg,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,362,florablend,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,,,,,,"{""h-moon-hydro.myshopify.com"":{""_w2s_shopify_product_id"":""8043110269002"",""_w2s_shopify_variant_id"":""42665851125834"",""status"":""imported""}}",,,,,import-placeholder-for-12,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:38:54"
13176,"FloraBlend 2.5 gal","We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>",,"2019-09-03 15:20:29",product,florablend-2-5-gal,https://hmoonhydro.com/product/florablend-2-5-gal/,"General Hydroponics",,"Nutrients &amp; Supplements > Spray N Grow",,simple,hidden,No,Domestic,No,,,instock,no,no,73.8,,"Thanks you for your order!",9,16,10,7,hmh00013,,,73.8,no,no,,,,,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,florablend.jpg,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,362,florablend,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,,,,,,"{""h-moon-hydro.myshopify.com"":{""_w2s_shopify_product_id"":""8043109777482"",""_w2s_shopify_variant_id"":""42665850339402"",""status"":""imported""}}",,,,,import-placeholder-for-13,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:38:57"
13177,"FloraBlend 6 gal","We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>",,"2019-09-03 15:20:29",product,florablend-6-gal,https://hmoonhydro.com/product/florablend-6-gal/,"General Hydroponics",,"Nutrients &amp; Supplements > Spray N Grow",,simple,hidden,No,Domestic,No,,,instock,no,no,151.5,,"Thanks you for your order!",51,18,12,12,hmh00014,,,151.5,no,no,,,,,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,florablend.jpg,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,362,florablend,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,,,,,,"{""h-moon-hydro.myshopify.com"":{""_w2s_shopify_product_id"":""8043110596682"",""_w2s_shopify_variant_id"":""42665851387978"",""status"":""imported""}}",,,,,import-placeholder-for-14,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:39:00"
13178,BioThrive,"These products have been created by the same team that brought FloraNova to the market. In fact, the head of research and development for General Hydroponics, has a strong background in sustainable agriculture, and this line is just the beginning of his vision of pure organic hydroponics. The General Organics line is a total departure from the conventional rules of hydroponics. Right out of the bottle the products can be mixed and hand watered on plants growing in soil, or soilless media.

BioThrive Grow is pure, natural nutrition for plants grown in soil or soilless mediums. Its vegan formula facilitates lush vegative growth and vigourous root development. It provides necessary organic elements needed for plant growth and strength in the vegetative stage.

BioThrive Bloom is formulated to provide blooming plants with essential elements needed for superior blooms and harvests. The vegan formulation is pure and natural from organic sources. BioThrive Bloom promotes massive flowers and fruit and also encourages microbial activity in the growing media. It is ideal for both potting soil and soilless growing.",,"2019-09-03 19:20:29",product,biothrive,https://hmoonhydro.com/product/biothrive/,"General Hydroponics",,"Nutrients &amp; Supplements > Spray N Grow",,grouped,visible,No,Domestic,No,"BioThrive Grow 1 qt|~|BioThrive Grow 1 gal|~||~||~||~||~|BioThrive Bloom 6 gal|~|BioThrive Grow 6 gal|~|BioThrive Bloom 2.5 gal|~|BioThrive Bloom 1 gal|~|BioThrive Bloom 1 qt|~|BioThrive Grow 2.5 gal",,instock,no,no,,,"Thanks you for your order!",0,12,12,12,hmh00015,,,18.89||2809.95,yes,no,,,"BioThrive Bloom 1 gal|~|BioThrive Bloom 1 qt|~||~|BioThrive Bloom 2.5 gal|~||~|BioThrive Bloom 6 gal|~|BioThrive Grow 1 gal|~|BioThrive Grow 1 qt|~||~|BioThrive Grow 2.5 gal|~||~|BioThrive Grow 6 gal",,,,0,0,,,no,taxable,,0,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,,,large,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",default,,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,biothrive.jpg,/home/wp_9dm4yz/hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,201,biothrive,,,,,,,,,,,,1,nuwud,nuwud@nuwudmultimedia.com,Patrick,Wood,,,,,,,,,,0,,,,,,,,,,,,,import-placeholder-for-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,"2024-09-16 00:39:01"
