handle,title,issue_type,severity,field,current_value,suggested_action
(empty),BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,missing_handle,critical,handle,,Generate handle from title
,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,missing_price,major,price,,Add price from inventory or set draft status
,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,missing_images,minor,images,,Add product images
,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,missing_description,minor,description,,Add product description
,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Fan 4"" high output 178 CFM",missing_handle,critical,handle,,Generate handle from title
,"Can-Fan 4"" high output 178 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Fan 4"" high output 178 CFM",missing_images,minor,images,,Add product images
,"Can-Fan 4"" high output 178 CFM",missing_description,minor,description,,Add product description
,"Can-Fan 4"" high output 178 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Fan 4"" standard output 142 CFM",missing_handle,critical,handle,,Generate handle from title
,"Can-Fan 4"" standard output 142 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Fan 4"" standard output 142 CFM",missing_images,minor,images,,Add product images
,"Can-Fan 4"" standard output 142 CFM",missing_description,minor,description,,Add product description
,"Can-Fan 4"" standard output 142 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Fan 6"" high output 440 CFM",missing_handle,critical,handle,,Generate handle from title
,"Can-Fan 6"" high output 440 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Fan 6"" high output 440 CFM",missing_images,minor,images,,Add product images
,"Can-Fan 6"" high output 440 CFM",missing_description,minor,description,,Add product description
,"Can-Fan 6"" high output 440 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Fan 6"" standard output 270 CFM",missing_handle,critical,handle,,Generate handle from title
,"Can-Fan 6"" standard output 270 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Fan 6"" standard output 270 CFM",missing_images,minor,images,,Add product images
,"Can-Fan 6"" standard output 270 CFM",missing_description,minor,description,,Add product description
,"Can-Fan 6"" standard output 270 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Fan 8"" standard output 493 CFM",missing_handle,critical,handle,,Generate handle from title
,"Can-Fan 8"" standard output 493 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Fan 8"" standard output 493 CFM",missing_images,minor,images,,Add product images
,"Can-Fan 8"" standard output 493 CFM",missing_description,minor,description,,Add product description
,"Can-Fan 8"" standard output 493 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),Vortex Powerfans,missing_handle,critical,handle,,Generate handle from title
,Vortex Powerfans,missing_price,major,price,,Add price from inventory or set draft status
,Vortex Powerfans,missing_images,minor,images,,Add product images
,Vortex Powerfans,missing_description,minor,description,,Add product description
,Vortex Powerfans,missing_sku,info,sku,,Will be auto-generated if needed
(empty),"10"" Max-Fan, 1023 CFM",missing_handle,critical,handle,,Generate handle from title
,"10"" Max-Fan, 1023 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"10"" Max-Fan, 1023 CFM",missing_images,minor,images,,Add product images
,"10"" Max-Fan, 1023 CFM",missing_description,minor,description,,Add product description
,"10"" Max-Fan, 1023 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"12"" Max-Fan, 1709 CFM",missing_handle,critical,handle,,Generate handle from title
,"12"" Max-Fan, 1709 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"12"" Max-Fan, 1709 CFM",missing_images,minor,images,,Add product images
,"12"" Max-Fan, 1709 CFM",missing_description,minor,description,,Add product description
,"12"" Max-Fan, 1709 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"14"" Max-Fan, 1823 CFM",missing_handle,critical,handle,,Generate handle from title
,"14"" Max-Fan, 1823 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"14"" Max-Fan, 1823 CFM",missing_images,minor,images,,Add product images
,"14"" Max-Fan, 1823 CFM",missing_description,minor,description,,Add product description
,"14"" Max-Fan, 1823 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"16"" Max-Fan, 2436 CFM",missing_handle,critical,handle,,Generate handle from title
,"16"" Max-Fan, 2436 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"16"" Max-Fan, 2436 CFM",missing_images,minor,images,,Add product images
,"16"" Max-Fan, 2436 CFM",missing_description,minor,description,,Add product description
,"16"" Max-Fan, 2436 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),"18"" Max-Fan, 3490 CFM",missing_handle,critical,handle,,Generate handle from title
,"18"" Max-Fan, 3490 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"18"" Max-Fan, 3490 CFM",missing_images,minor,images,,Add product images
,"18"" Max-Fan, 3490 CFM",missing_description,minor,description,,Add product description
,"18"" Max-Fan, 3490 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),38-Special by Can-Filters,missing_handle,critical,handle,,Generate handle from title
,38-Special by Can-Filters,missing_price,major,price,,Add price from inventory or set draft status
,38-Special by Can-Filters,missing_images,minor,images,,Add product images
,38-Special by Can-Filters,missing_description,minor,description,,Add product description
,38-Special by Can-Filters,missing_sku,info,sku,,Will be auto-generated if needed
(empty),"8"" Max-Fan, 675 CFM",missing_handle,critical,handle,,Generate handle from title
,"8"" Max-Fan, 675 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"8"" Max-Fan, 675 CFM",missing_images,minor,images,,Add product images
,"8"" Max-Fan, 675 CFM",missing_description,minor,description,,Add product description
,"8"" Max-Fan, 675 CFM",missing_sku,info,sku,,Will be auto-generated if needed
(empty),Big Boy Carbon filter,missing_handle,critical,handle,,Generate handle from title
,Big Boy Carbon filter,missing_price,major,price,,Add price from inventory or set draft status
,Big Boy Carbon filter,unknown_brand,major,brand,Unknown,Identify brand from title or set to H Moon Hydro
,Big Boy Carbon filter,missing_images,minor,images,,Add product images
,Big Boy Carbon filter,missing_description,minor,description,,Add product description
,Big Boy Carbon filter,missing_sku,info,sku,,Will be auto-generated if needed
(empty),Can Filter W HO CFM Fan Combo freight shipping ONLY,missing_handle,critical,handle,,Generate handle from title
,Can Filter W HO CFM Fan Combo freight shipping ONLY,missing_price,major,price,,Add price from inventory or set draft status
,Can Filter W HO CFM Fan Combo freight shipping ONLY,missing_images,minor,images,,Add product images
,Can Filter W HO CFM Fan Combo freight shipping ONLY,missing_description,minor,description,,Add product description
,Can Filter W HO CFM Fan Combo freight shipping ONLY,missing_sku,info,sku,,Will be auto-generated if needed
(empty),"Can-Fan 10"" high output 781 CFM",missing_handle,critical,handle,,Generate handle from title
,"Can-Fan 10"" high output 781 CFM",missing_price,major,price,,Add price from inventory or set draft status
,"Can-Fan 10"" high output 781 CFM",missing_images,minor,images,,Add product images
