key,sku,handle,title,primary_category,categories,brand,brand_invalid_reason
"title:bigboykdf85carbonfilterwellwaterchloramines","","","BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES","airflow","airflow","Hydro-Logic",""
"title:canfan4highoutput178cfm","","","Can-Fan 4"" high output 178 CFM","airflow","airflow","Can-Fan",""
"title:canfan4standardoutput142cfm","","","Can-Fan 4"" standard output 142 CFM","airflow","airflow","Can-Fan",""
"title:canfan6highoutput440cfm","","","Can-Fan 6"" high output 440 CFM","airflow","airflow","Can-Fan",""
"title:canfan6standardoutput270cfm","","","Can-Fan 6"" standard output 270 CFM","airflow","airflow","Can-Fan",""
"title:canfan8standardoutput493cfm","","","Can-Fan 8"" standard output 493 CFM","airflow","airflow","Can-Fan",""
"title:vortexpowerfans","","","Vortex Powerfans","airflow","airflow","Vortex",""
"title:10maxfan1023cfm","","","10"" Max-Fan, 1023 CFM","airflow","airflow","Max-Fan",""
"title:12maxfan1709cfm","","","12"" Max-Fan, 1709 CFM","airflow","airflow","Max-Fan",""
"title:14maxfan1823cfm","","","14"" Max-Fan, 1823 CFM","airflow","airflow","Max-Fan",""
"title:16maxfan2436cfm","","","16"" Max-Fan, 2436 CFM","airflow","airflow","Max-Fan",""
"title:18maxfan3490cfm","","","18"" Max-Fan, 3490 CFM","airflow","airflow","Max-Fan",""
"title:38specialbycanfilters","","","38-Special by Can-Filters","airflow","airflow","Can-filters",""
"title:8maxfan675cfm","","","8"" Max-Fan, 675 CFM","airflow","airflow","Max-Fan",""
"title:bigboycarbonfilter","","","Big Boy Carbon filter","airflow","airflow","Unknown",""
"title:canfilterwhocfmfancombofreightshippingonly","","","Can Filter W HO CFM Fan Combo freight shipping ONLY","airflow","airflow","Can-filters",""
"title:canfan10highoutput781cfm","","","Can-Fan 10"" high output 781 CFM","airflow","airflow","Can-Fan",""
"title:canfan12highoutput971cfm","","","Can-Fan 12"" high output 971 CFM","airflow","airflow","Can-Fan",""
"title:canfilter100w8ho620cfmfancombofreightshippingonly","","","Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)","airflow","airflow","Can-Filter",""
"title:canfilter75w8ho559cfmfancombofreightshippingonly","","","Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)","airflow","airflow","Can-Filter",""
"title:canlite14wflangeattached2200cfm","","","Can-Lite 14"" w/ Flange attached (2200 cfm)","airflow","airflow","Can-lite",""
"title:canlitefilters","","","Can-Lite Filters","airflow","airflow","Can-lite",""
"title:hurricaneinlinefan","","","Hurricane Inline Fan","airflow","airflow","Hurricane",""
"title:hurricaneinlinefan6","","","Hurricane Inline Fan 6""","airflow","airflow","Hurricane",""
"title:hurricaneinlinefan8","","","Hurricane Inline Fan 8""","airflow","airflow","Hurricane",""
"title:jetfanblower12in1140cfm","","","JetFan Blower 12 in. @1140 cfm","airflow","airflow","JetFan",""
"title:profilterreversiblecarbonfilters","","","PROfilter reversible carbon filters","airflow","airflow","PROfilter",""
"title:stealthro100200carbonfilter","","","STEALTH RO 100/200 CARBON FILTER","airflow","airflow","Stealth RO",""
"title:thermostaticallycontrolledcentrifugalfans","","","Thermostatically Controlled Centrifugal Fans","airflow","airflow","Unknown",""
"handle:teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae","","teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae","TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae","books","books","H Moon Hydro",""
"handle:teaming-with-microbes","hmh00001","teaming-with-microbes","Teaming with Microbes","books","books","H Moon Hydro",""
"handle:teaming-with-nutrients","","teaming-with-nutrients","Teaming with Nutrients","books","books","H Moon Hydro",""
"handle:rosin-pro-press-co-manual-2","hmh01775","rosin-pro-press-co-manual-2","ROSIN PRO PRESS CO. Manual","books","books","H Moon Hydro",""
