master_sku,vendor_item_number,source_woo_sku,source_shopify_sku,source_shopify_handle,title,brand,category,is_inline_fan,is_carbon_filter,is_kit,kit_components,kit_notes,airflow_cfm,fan_diameter_in,duct_size_in,max_static_pressure_inwg,power_watts,input_voltage,current_amps,speed_control_included,controller_compatible,noise_level_db,fan_type,filter_diameter_in,filter_length_in,flange_size_in,bed_depth_in,carbon_type,max_cfm_rating,pre_filter_included,weight_kg,length_cm,width_cm,height_cm,is_fragile,hazmat_flag,cost,map_price,retail_price,inventory_qty,short_description,long_description,key_features,ideal_for,includes,seo_title,seo_description,image_primary,image_alt_1,image_alt_2,image_alt_3,spec_sheet_url,needs_cfm,needs_diameter,needs_images,needs_description,needs_weight_dims,needs_component_mapping,spec_source,match_confidence,match_notes
hmh00962,1005,hmh00962,hmh00962,big-boy-kdf-85-carbon-filter-well-water-chloramines,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,Hydrologic,Carbon Filters,no,yes,no,,,,,,,,,,,,,,,,,,,,,0,12,12,12,no,no,77,0,129.00,0,,,,,,,,,,,,,yes,yes,yes,yes,no,no,vendor|woo,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00792,1099,hmh00792,hmh00792,can-fan-4-high-output-178-cfm,"Can-Fan 4"" high output 178 CFM",Can-Fan,Inline Fans,yes,no,no,,,178,4,4,,,,,,,,,,,,,,,,0,8,8,8,no,no,96.95,0,152.05,5,,,,,,,,,,,,,no,no,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00791,1099,hmh00791,hmh00791,can-fan-4-standard-output-142-cfm,"Can-Fan 4"" standard output 142 CFM",Can-Fan,Inline Fans,yes,no,no,,,142,4,4,,,,,,,,,,,,,,,,0,8,8,8,no,no,96.95,0,119.47,6,,,,,,,,,,,,,no,no,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00794,1101,hmh00794,hmh00794,can-fan-6-high-output-440-cfm,"Can-Fan 6"" high output 440 CFM",Can-Fan,Inline Fans,yes,no,no,,,440,6,6,,,,,,,,,,,,,,,,0,10,10,10,no,no,106.425,0,182.45,4,,,,,,,,,,,,,no,no,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00793,1101,hmh00793,hmh00793,can-fan-6-standard-output-270-cfm,"Can-Fan 6"" standard output 270 CFM",Can-Fan,Inline Fans,yes,no,no,,,270,6,6,,,,,,,,,,,,,,,,0,10,10,10,no,no,106.425,0,136.84,1,,,,,,,,,,,,,no,no,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00795,1103,hmh00795,hmh00795,can-fan-8-standard-output-493-cfm,"Can-Fan 8"" standard output 493 CFM",Can-Fan,Inline Fans,yes,no,no,,,493,8,8,,,,,,,,,,,,,,,,0,12,12,12,no,no,115.885,0,152.05,1,,,,,,,,,,,,,no,no,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00774,2958,hmh00774,hmh00774,vortex-powerfans,Vortex Powerfans,Vortex,Inline Fans,yes,no,no,,,,,,,,,,,,,,,,,,,,,0,6,6,6,no,no,152,0,149.95,10,,,,,,,,,,,,,yes,yes,yes,yes,no,no,vendor|woo,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00774,2958,hmh00774,hmh00774,vortex-powerfans-bundle,Vortex Powerfans,Vortex,Inline Fans,yes,no,yes,,needs component mapping,,,,,,,,,,,,,,,,,,,0,6,6,6,no,no,152,0,168.95,0,,,,,,,,,,,,,yes,yes,yes,yes,no,yes,vendor|woo,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00807,,hmh00807,hmh00807,10-max-fan-1023-cfm,"10"" Max-Fan, 1023 CFM",,Inline Fans,yes,no,no,,,1023,10,10,,,,,,,,,,,,,,,,9,11,11,14,no,no,219.0,,475.69,1,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
hmh00808,,hmh00808,hmh00808,12-max-fan-1709-cfm,"12"" Max-Fan, 1709 CFM",,Inline Fans,yes,no,no,,,1709,12,12,,,,,,,,,,,,,,,,10,13,13,14,no,no,259.0,,562.58,0,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
hmh00809,,hmh00809,hmh00809,14-max-fan-1823-cfm,"14"" Max-Fan, 1823 CFM",,Inline Fans,yes,no,no,,,1823,14,14,,,,,,,,,,,,,,,,12,15,15,14,no,no,453.22,,738.52,3,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
hmh00810,,hmh00810,hmh00810,16-max-fan-2436-cfm,"16"" Max-Fan, 2436 CFM",,Inline Fans,yes,no,no,,,2436,16,16,,,,,,,,,,,,,,,,20,17,17,14,no,no,851.4,,1216.38,1,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
hmh01325,,hmh01325,hmh01325,18-max-fan-3490-cfm,"18"" Max-Fan, 3490 CFM",,Inline Fans,yes,no,no,,,3490,18,18,,,,,,,,,,,,,,,,30,12,12,12,no,no,705.0,,1531.34,1,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
hmh00690,,hmh00690,hmh00690,38-special-by-can-filters,38-Special by Can-Filters,Can-Filters,Carbon Filters,no,yes,no,,,,,,,,,,,,,,,,,,,,,34,8,8,26,no,no,,,150.00,0,,,,,,,,,,,,,yes,yes,yes,yes,no,no,woo,40,Woo matched by SKU
hmh00806,,hmh00806,hmh00806,8-max-fan-675-cfm,"8"" Max-Fan, 675 CFM",,Inline Fans,yes,no,no,,,675,8,8,,,,,,,,,,,,,,,,8,9,9,14,no,no,147.0,,239.54,4,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
hmh00960,,hmh00960,hmh00960,big-boy-carbon-filter,Big Boy Carbon filter,,Carbon Filters,no,yes,no,,,,,,,,,,,,,,,,,,,,,2,12,12,12,no,no,38.0,,61.58,3,,,,,,,,,,,,,yes,yes,yes,yes,no,no,woo,40,Woo matched by SKU
hmh00700,,hmh00700,hmh00700,can-filter-ho-cfm-fan-combo-freight-shipping-only,Can Filter W HO CFM Fan Combo freight shipping ONLY,Can-Filters,Inline Fans,yes,yes,yes,,needs component mapping,,,,,,,,,,,,,,,,,,,100,0,0,0,no,no,,,555.53,0,,,,,,,,,,,,,yes,yes,yes,yes,no,yes,woo,40,Woo matched by SKU
hmh00796,,hmh00796,hmh00796,can-fan-10-high-output-781-cfm,"Can-Fan 10"" high output 781 CFM",Can-Fan,Inline Fans,yes,no,no,,,781,10,10,,,,,,,,,,,,,,,,19,14,14,14,no,no,159.96,,260.65,0,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
hmh00797,,hmh00797,hmh00797,can-fan-12-high-output-971-cfm,"Can-Fan 12"" high output 971 CFM",Can-Fan,Inline Fans,yes,no,no,,,971,12,12,,,,,,,,,,,,,,,,22,16,16,16,no,no,206.62,,336.69,1,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
hmh00700,,hmh00700,hmh00700,can-filter-100-w-8-ho-620-cfm-fan-combo-freight-shipping-only,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",Can-Filters,Inline Fans,yes,yes,yes,,needs component mapping,620,8,8,,,,,,,,,8,,8,,,620,,100,0,0,0,no,no,145.3,,236.77,1,,,,,,,,,,,,,no,no,yes,yes,no,yes,woo|parsed,40,Woo matched by SKU
hmh00699,,hmh00699,hmh00699,can-filter-75-w-8-ho-559-cfm-fan-combo-freight-shipping-only,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",Can-Filters,Inline Fans,yes,yes,yes,,needs component mapping,559,8,8,,,,,,,,,8,,8,,,559,,80,0,0,0,no,no,145.3,,236.77,1,,,,,,,,,,,,,no,no,yes,yes,no,yes,woo|parsed,40,Woo matched by SKU
hmh01240,,hmh01240,hmh01240,can-lite-14-w-flange-attached-2200-cfm,"Can-Lite 14"" w/ Flange attached (2200 cfm)",Can-Filters,Carbon Filters,no,yes,no,,,2200,,14,,,,,,,,,14,,14,,,2200,,68,17,17,70,no,no,228.0,,378.29,1,,,,,,,,,,,,,no,no,yes,yes,no,no,woo|parsed,40,Woo matched by SKU
