sku,handle,title,brand,primary_category,secondary_categories,price,compare_at_price,cost,inventory_qty,images,description,vendor,product_type,tags,status,source,needs_review
,,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,Hydro-Logic,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Fan 4"" high output 178 CFM",Can-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Fan 4"" standard output 142 CFM",Can-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Fan 6"" high output 440 CFM",Can-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Fan 6"" standard output 270 CFM",Can-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Fan 8"" standard output 493 CFM",Can-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,Vortex Powerfans,Vortex,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"10"" Max-Fan, 1023 CFM",Max-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"12"" Max-Fan, 1709 CFM",Max-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"14"" Max-Fan, 1823 CFM",Max-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"16"" Max-Fan, 2436 CFM",Max-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"18"" Max-Fan, 3490 CFM",Max-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,38-Special by Can-Filters,Can-filters,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"8"" Max-Fan, 675 CFM",Max-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,Big Boy Carbon filter,Unknown,airflow,,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
,,Can Filter W HO CFM Fan Combo freight shipping ONLY,Can-filters,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Fan 10"" high output 781 CFM",Can-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Fan 12"" high output 971 CFM",Can-Fan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",Can-Filter,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",Can-Filter,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Can-Lite 14"" w/ Flange attached (2200 cfm)",Can-lite,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,Can-Lite Filters,Can-lite,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,Hurricane Inline Fan,Hurricane,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Hurricane Inline Fan 6""",Hurricane,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,"Hurricane Inline Fan 8""",Hurricane,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,JetFan Blower 12 in. @1140 cfm,JetFan,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,PROfilter reversible carbon filters,PROfilter,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,STEALTH RO 100/200 CARBON FILTER,Stealth RO,airflow,,,,,,,,,,,active,masters_only,no_source_match; no_sku
,,Thermostatically Controlled Centrifugal Fans,Unknown,airflow,,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
,teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,H Moon Hydro,books,catalog_index,24.95,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/teaming-with-fungi.jpg-2017-print.jpg?v=1761679104,,H Moon Hydro,simple,,active,shopify,no_sku
hmh00001,teaming-with-microbes,Teaming with Microbes,H Moon Hydro,books,catalog_index,24.95,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/teaming_with_microbes.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify;woo,
2491,teaming-with-nutrients,Teaming with Nutrients,H Moon Hydro,catalog_index,,24.95,0,12.5,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/teaming-with-nuts.jpg2017-print.jpg?v=1761679104,jeff lowenfels book,H Moon Hydro,simple,ORGANIC,active,shopify;inventory,
hmh01775,rosin-pro-press-co-manual-2,ROSIN PRO PRESS CO. Manual,H Moon Hydro,books,catalog_index,950.00,,,0,,,H Moon Hydro,simple,,active,shopify;woo,
,"Yes,H Moon Hydro,,simple,208-400V","Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative",Easy To Transport,books,catalog_index,,,,,, foldable fixture with a 5 000 lm output and built-in carry handles. It is lightweight, easy to transport," which means that the new fixture is ready to use immediately after following a simple installation guide.,false,,,,lb,,,active",,active,shopify,no_sku
,cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation,H Moon Hydro,books,catalog_index,34.95,44.95,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/81VdkuJ-cDL._SY385.jpg?v=1761678849,,H Moon Hydro,simple,,active,shopify,no_sku
,1.5cu ft - Bag - Blend of Fine Coir,Coarse Peat,Unknown,books,catalog_index,,,,,," &amp; Super Coarse Perlite,H Moon Hydro,,simple,GROW LARGE,false,Title,Default Title,,,,,,,,,708.738078125,,0,deny,manual,35.99,38.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/B365BF015001.jpgbio-flower.jpg?v=1761678796,1,bio Flower,false,,,,oz,,,active",,,,active,shopify,unknown_brand; no_sku
co2-uno-gen-1-elp-propan,uno-gen-1-elp-propane,UNO GEN-1 elp Propane,UNO,co2,catalog_index,175.00,399.00,,100,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO-GEN-1elp-Propane.jpg?v=1761679122,,H Moon Hydro,simple,,active,shopify,
co2-uno-gen-2eng,uno-gen-2eng,UNO GEN-2eNG,UNO,co2,catalog_index,200.00,417.00,,100,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO-GEN-2eNG.jpg?v=1761679122,,H Moon Hydro,simple,,active,shopify,
co2-co2d-0-5000-ppm-dual,co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,Unknown,co2,catalog_index,500.00,945.00,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/grozone_co2d.jpg?v=1761678844,,H Moon Hydro,simple,,active,shopify,unknown_brand
,co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,Unknown,catalog_index,controllers_timers,500.00,945.00,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/grozone_co2d.jpg?v=1761678844,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,waterfarm-reservoir-4-gal,WaterFarm Reservoir - 4 gal,WaterFarm,containers_pots,catalog_index,20.00,,,0,,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-30-gallon-w-handle,The Root Pouch 30 Gallon w/ Handle,Root Pouch,containers_pots,catalog_index,15.95,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_74bd6d74-7595-4797-a15e-d52c24d1a23a.jpg?v=1761679110,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-2-gallon,The Root Pouch 2 Gallon,Root Pouch,containers_pots,catalog_index,1.41,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_52eaa3c1-4a4e-4be1-aa21-0a599e523190.jpg?v=1761679104,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-3-gallon,The Root Pouch 3 Gallon,Root Pouch,containers_pots,catalog_index,1.94,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_624d92cc-b1bd-48ad-9503-5cf6a572dbdb.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-15-gallon-w-handle,The Root Pouch 15 gallon w/ Handle,Root Pouch,containers_pots,catalog_index,8.79,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_d43b5ef4-7f6e-4723-b5bc-ef9fe2ee841b.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-10-gallon,The Root Pouch 10 Gallon,Root Pouch,containers_pots,catalog_index,4.69,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_77c71431-f6c8-477c-b33d-c857265c2f33.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-35-gallon-w-handle,The Root Pouch 35 Gallon w/ Handle,Root Pouch,containers_pots,catalog_index,25.71,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_2e76a11f-bc15-45bd-b8bc-5eeb3e5051bf.jpg?v=1761679104,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-45-gallon-w-handle,The Root Pouch 45 Gallon w/ Handle,Root Pouch,containers_pots,catalog_index,28.26,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_cff8b448-440a-4fed-954d-f24b97c4ce83.jpg?v=1761679104,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-100-gallon-w-handle,The Root Pouch 100 Gallon w/ Handle,Root Pouch,containers_pots,catalog_index,36.33,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_23920bab-9bdd-40f0-984e-80ef9687eda3.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-7-gallon,The Root Pouch 7 Gallon,Root Pouch,containers_pots,catalog_index,3.59,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_ba15ddad-aab8-418d-94b0-9e4f4ffe3a73.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-20-gallon-w-handle,The Root Pouch 20 Gallon w/ Handle,Root Pouch,containers_pots,catalog_index,13.01,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_e8fb63f3-fd3e-4ae3-8a63-d638e61b7081.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-65-gallon-w-handle,The Root Pouch 65 Gallon w/ Handle,Root Pouch,containers_pots,catalog_index,30.20,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_94201d1c-dfd6-4f7f-9faf-1f04e5e4a6c6.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-25-gallon-w-handle,The Root Pouch 25 Gallon w/ Handle,Root Pouch,containers_pots,catalog_index,14.80,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,the-root-pouch-1-gallon,The Root Pouch 1 Gallon,Root Pouch,containers_pots,catalog_index,1.00,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_41320632-fb8f-4714-a8f1-f4bd4f4b05ba.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,no_sku
,standard-black-bucket-lid,Standard Black Bucket lid,Unknown,containers_pots,catalog_index,1.98,,,0,,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,Unknown,containers_pots,catalog_index,8.99,,,0,,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,Unknown,containers_pots,catalog_index,8.99,,,0,,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
