handle,title,sku,price,vendor,brand,category,tags,source
"uno-8-big-boy-a-c-reflector","UNO 8"" Big Boy A/C Reflector","hmh01268","89.99","H Moon Hydro","H Moon Hydro","Electrical Supplies","UNO 8"" Big Boy A/C Reflector","shopify"
"sunsoaker-parabolic-reflector-w-horizonal-socket-bracket","SunSoaker Parabolic Reflector w/ Horizonal Socket bracket","hmh00513","99.00","H Moon Hydro","H Moon Hydro","Electrical Supplies","","shopify"
"panda-double-ended-reflector-medium","Panda-Double Ended Reflector- Medium","hmh01553","169.00","H Moon Hydro","H Moon Hydro","Electrical Supplies","","shopify"
"light-rail-5-motor-crossbar-8-rail","Light Rail 5 Motor, Crossbar, 8' rail","hmh00894","499.95","H Moon Hydro","Light Rail","Electrical Supplies","","shopify"
"light-rail-5-4ft-auxilary-rail","Light Rail 5 4ft auxilary rail","hmh00896","71.98","H Moon Hydro","Light Rail","Electrical Supplies","","shopify"
"light-rail-5-crossbar-mounting-kit","Light Rail 5 Crossbar Mounting Kit","hmh00895","4.95","H Moon Hydro","Light Rail","Electrical Supplies","","shopify"
"basic-600w-hps-ballast","Basic 600w HPS Ballast","hmh01247","50.00","H Moon Hydro","H Moon Hydro","Electrical Supplies","","shopify"
"8-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long","8 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long","hmh00518","89.00","H Moon Hydro","H Moon Hydro","Electrical Supplies","","shopify"
"6-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long","6 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long","hmh00519","69.95","H Moon Hydro","H Moon Hydro","Electrical Supplies","","shopify"
"240v-20ft-power-cords","240V 20ft. Power Cords","hmh01782","29.95","H Moon Hydro","H Moon Hydro","Electrical Supplies","","shopify"
"240-volt-power-cord-8-ft","240 Volt Power cord 8 ft .","hmh00512","9.95","H Moon Hydro","H Moon Hydro","Electrical Supplies","","shopify"
"10ft-lamp-extention-power-cord","10ft. lamp Extention Power cord","hmh01783","14.95","H Moon Hydro","H Moon Hydro","Electrical Supplies","","shopify"
