master_sku,vendor_item_number,source_woo_sku,source_shopify_sku,source_shopify_handle,title,brand,category,light_type,fixture_or_bulb,spectrum,dimmable,wattage_actual,wattage_equivalent,input_voltage,current_amps,ppf_umol_s,efficacy_umol_j,coverage_veg,coverage_flower,is_kit,kit_components,kit_notes,weight_kg,length_cm,width_cm,height_cm,is_fragile,hazmat_flag,ul_etl_listed,warranty_years,cost,map_price,retail_price,inventory_qty,short_description,long_description,key_features,ideal_for,includes,seo_title,seo_description,image_primary,image_alt_1,image_alt_2,image_alt_3,spec_sheet_url,needs_wattage,needs_coverage,needs_images,needs_description,needs_weight_dims,needs_component_mapping,spec_source,match_confidence,match_notes
hmh01712,2658,hmh01712,hmh01712,eye-hortilux-e-start-metal-halide-1000watt,Eye Hortilux e-Start Metal Halide  1000Watt,Hortilux,Grow Lights,,Fixture,,,1000,,,,,,,,no,,,0,14,6,6,yes,no,,,49,94.95,94.95,4,,,,,,,,,,,,,no,yes,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh01713,2658,hmh01713,hmh01713,eye-hortilux-e-start-metal-halide-lamps-2,Eye Hortilux e-Start Metal Halide Lamps,Hortilux,Grow Lights,,Fixture,,,,,,,,,,,no,,,0,0,0,0,yes,no,,,49,94.95,10.95,46,,"<p>Eye Hortilux e-Start Metal Halide Lamps  Metal Halide (MH) Lamps   <li>If you’re looking for lamps to use consistently - from starting and growing plants up to the flowering and fruit production stages of plant growth - look to Metal Halide lamps.   The Metal Halide spectrum is the best possible when growing vegetation.     e-START METAL HALIDE     <li>Available Wattages: 250w, 400w, 1000w   HORTILUX™ e-Start Metal Halide is a new family of lamps designed for use on electronic/digital ballasts.     <li>The starting and operating characteristics of electronic/digital ballasts are different than traditional magnetic core & coil ballasts.   <li>This improves lamp performance over the life of the lamp while improving results in your indoor garden.   <li>e-START METAL HALIDE lamps feature:     <p>Wide vegetative-sustaining spectrum for beginning stages of plant growth.   <p>Extended Peak Spectral Output: the quality of the spectrum is maintained over a longer lamp life.   <p>Extended time between lamp replacements: saves money.   <p>Unique designs that work with electronic/digital ballasts.   <p>Ability to operate on pulse-start magnetic Core and Coil ballasts. e-START METAL HALIDE lamps:   QUALITY     <li>Are made in the USA.   <li>Feature the exclusive HORTILUX™ Spectrum.   <li>Are individually tested before they ship.   <li>Feature a one-year warranty.   <li>ENVIRONMENTALLY FRIENDLY   <li>100% Lead Free",,,,,,,,,,,yes,yes,yes,no,no,no,vendor|woo,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh01713,2658,hmh01713,hmh01713,eye-hortilux-e-start-metal-halide-lamps,Eye Hortilux e-Start Metal Halide Lamps,Hortilux,Grow Lights,,Fixture,,,,,,,,,,,no,,,0,0,0,0,yes,no,,,49,94.95,50.00,0,,"<p>Eye Hortilux e-Start Metal Halide Lamps  Metal Halide (MH) Lamps   <li>If you’re looking for lamps to use consistently - from starting and growing plants up to the flowering and fruit production stages of plant growth - look to Metal Halide lamps.   The Metal Halide spectrum is the best possible when growing vegetation.     e-START METAL HALIDE     <li>Available Wattages: 250w, 400w, 1000w   HORTILUX™ e-Start Metal Halide is a new family of lamps designed for use on electronic/digital ballasts.     <li>The starting and operating characteristics of electronic/digital ballasts are different than traditional magnetic core & coil ballasts.   <li>This improves lamp performance over the life of the lamp while improving results in your indoor garden.   <li>e-START METAL HALIDE lamps feature:     <p>Wide vegetative-sustaining spectrum for beginning stages of plant growth.   <p>Extended Peak Spectral Output: the quality of the spectrum is maintained over a longer lamp life.   <p>Extended time between lamp replacements: saves money.   <p>Unique designs that work with electronic/digital ballasts.   <p>Ability to operate on pulse-start magnetic Core and Coil ballasts. e-START METAL HALIDE lamps:   QUALITY     <li>Are made in the USA.   <li>Feature the exclusive HORTILUX™ Spectrum.   <li>Are individually tested before they ship.   <li>Feature a one-year warranty.   <li>ENVIRONMENTALLY FRIENDLY   <li>100% Lead Free",,,,,,,,,,,yes,yes,yes,no,no,no,vendor|woo,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh01788,3039,hmh01788,hmh01788,eye-hortilux-lu-1000-de-htl-double-ended-2,Eye Hortilux® LU 1000 DE/HTL Double-Ended,Hortilux,Grow Lights,DE,Fixture,,,,,,,,,,,no,,,0,14,6,6,yes,no,,,89,0,149.95,7,,,,,,,,,,,,,yes,yes,yes,yes,no,no,vendor|woo,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh01788,3039,hmh01788,hmh01788,eye-hortilux-lu-1000-de-htl-double-ended,Eye Hortilux® LU 1000 DE/HTL Double-Ended,Hortilux,Grow Lights,DE,Fixture,,,,,,,,,,,no,,,0,14,6,6,yes,no,,,89,0,60.50,0,,,,,,,,,,,,,yes,yes,yes,yes,no,no,vendor|woo,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00879,1498,hmh00879,hmh00879,plantmax-1000w-mh-conversion-110000-lumens,"Plantmax 1000W. MH Conversion 110,000 lumens",Plantmax,Grow Lights,MH,Fixture,,,1000,,,,,,,,no,,,0,8,8,14,yes,no,,,15.69287,0,58.60,64,,,,,,,,,,,,,no,yes,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00867,1498,hmh00867,hmh00867,plantmax-1000w-mh-high-output-120000-lumens,"Plantmax 1000W. MH High Output 120,000 lumens",Plantmax,Grow Lights,MH,Fixture,,,1000,,,,,,,,no,,,0,16,6,6,yes,no,,,15.69287,0,58.60,64,,,,,,,,,,,,,no,yes,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh01123,2009,hmh01123,hmh01123,plantmax-150w-hps-high-output-16000-lumens,"Plantmax 150W. HPS High Output 16,000 lumens",Plantmax,Grow Lights,HPS,Fixture,,,150,,,,,,,,no,,,0,0,0,0,yes,no,,,6,0,68.38,90,,,,,,,,,,,,,no,yes,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh00875,1505,hmh00875,hmh00875,plantmax-220w-hps-conversion-25000-lumens,"Plantmax 220W. HPS Conversion 25,000 lumens",Plantmax,Grow Lights,HPS,Fixture,,,220,,,,,,,,no,,,0,10,3,3,yes,no,,,0,0,39.05,7,,,,,,,,,,,,,no,yes,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
hmh01188,1865,hmh01188,hmh01188,plantmax-250w-mh-conversion,Plantmax 250W. MH Conversion,Plantmax,Grow Lights,MH,Fixture,,,250,,,,,,,,no,,,0,4,4,6,yes,no,,,0,0,39.05,0,,,,,,,,,,,,,no,yes,yes,yes,no,no,vendor|woo|parsed,55,Woo matched by SKU; Vendor matched by name (fuzzy)
