master_sku,handle,title,brand,category,media_type,volume_l,volume_cuft,weight_lbs,count_each,dimensions_in,cost,map_price,retail_price,inventory_qty,short_description,long_description,image_primary,needs_volume_weight,needs_count_pack,needs_images,needs_description,spec_source,match_confidence,match_notes
premier-tech-pro-mix-hp-mycorrhizae3-8-cf,premier-tech-pro-mix-hp-mycorrhizae3-8-cf,Premier Tech Pro-Mix® HP Mycorrhizae™3.8 cf.,Pro-mix,Grow Media,soil,,3.8,3.8,,,,,66.95,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/pro-mix-3.8.jpg?v=1761679032,no,no,no,yes,parsed|shopify,40,Shopify only
premier-tech-pro-mix-hp-mycorrhizae-loose-fill,premier-tech-pro-mix-hp-mycorrhizae-loose-fill,Premier Tech Pro-Mix® HP Mycorrhizae™ - Loose Fill,Pro-mix,Grow Media,soil,,2.8,1.8,,,,,34.95,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/2.8.jpg?v=1761679032,no,no,no,yes,parsed|shopify,40,Shopify only
plant-life-easy-grow-plus-500-gm,plant-life-easy-grow-plus-500-gm,Plant Life Easy Grow Plus 500 gm,,Grow Media,other,,,0.0,,,,,30.96,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/EasyGrow500g-draftjpg_600x_97a3f584-f659-497c-974f-8ce1ff00c3d6.jpg?v=1761679013,yes,no,no,yes,shopify,40,Shopify only
mother-earth-terracraft-potting-soil,mother-earth-terracraft-potting-soil,Mother Earth® Terracraft™ Potting Soil,Mother Earth,Grow Media,soil,,,3.1,,,,,28.99,0,,"Mother Earth Terracraft Potting Soil is an all purpose potting soil for all plants, flowers, vegetables and tomatoes. When your plants can’t send their roots into the earth to gather nutrients, you need to bring the nutrients to them. How is the tricky part for most medias. Not for Mother Earth Terracraft Potting Soil. This meticulously blended soil is born of the best nature has to offer: ingredients like peat moss, perlite, forest products and earthworm castings, all to give your plants the foundation they need to flourish. Thanks to its nutrient charge, this performance soil means you can wait longer before applying fertilizer, giving you a garden that’s low on maintenance and high on reward. When it does come time to fertilize, Mother Earth LiquiCraft Grow and Mother Earth LiquiCraft Bloom liquid plant fertilizers work great paired with our potting soils.",https://cdn.shopify.com/s/files/1/0672/5730/3114/files/terra-craft.jpg?v=1761678987,yes,no,no,no,woo|shopify,60,Woo matched
introducing-the-scietetics-coco-8-block-1-5gal,introducing-the-scietetics-coco-8-block-1-5gal,"Introducing the SCIETETICS COCO 8"" BLOCK / 1.5Gal,",,Grow Media,coco,,,0.2,,,,5.00,4.88,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Coco_Feed_Schedule_-_josh_5eight.com_-_Phive.8_Mail_-_Google_Chrome_5_8_2025_2_11_07_PM.webp6_b17c6252-bd7f-423f-9a1b-542a79c68967.webp?v=1761678955,yes,no,no,yes,shopify,40,Shopify only
grodan-hugo-6in-x-6in-x-6in-pre-cut-holes,grodan-hugo-6in-x-6in-x-6in-pre-cut-holes,Grodan Hugo - 6in x 6in x 6in - Pre-Cut Holes,Grodan,Grow Media,rockwool,,,2.1,,,,297.00,250.00,10,,"[caption id=""attachment_63668"" align=""alignnone"" width=""200""]<img class=""size-medium wp-image-63668"" src=""https://hmoonhydro.com/wp-content/uploads/2024/09/GRD286616biggg-mama-200x200.jpg"" alt=""GRODAN"" width=""200"" height=""200""> #iGRODAN HUGOmage_title[/caption]",https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GRD286616biggg-mama_81a41cb5-9ec2-440a-8798-54ac5922c48c.jpg?v=1761678916,yes,yes,no,no,shopify,40,Shopify only
grodan-gro-block-improved-gr22-jumbo-with-hole-6-x-6-x-4-case-of-64,grodan-gro-block-improved-gr22-jumbo-with-hole-6-x-6-x-4-case-of-64,"Grodan Gro-Block Improved  Jumbo with Hole, 6"" x 6"" x 4"" - Case of 64",Grodan,Grow Media,rockwool,,,0.0,,6x6x4,,5.80,5.40,0,,"Grodan 6"" x 6' x 4"" gro blocks / 64 case",https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GRD286616biggg-mama.jpg?v=1761678903,yes,yes,no,no,parsed|woo|shopify,60,Woo matched
hmh00009,gardening-indoors-with-rockwool,Gardening Indoors with Rockwool,,Grow Media,rockwool,,,0.0,,,,,14.95,0,,"<b>By George F. Van Patten and Alyssa F. Bust</b><br>  (5.5"" x 8.5"", 128 pages, illustrated, index)<br><br>  If you haven't heard about rockwool, it's a very popular growing medium that is ideal for use in hydroponic systems, or as a general growing medium you could use for a potted plant. It's sterile, inert, porous, and can't be overwatered when good drainage exists. Most of Europe's fruit and vegetable crops are grown in rockwool, and it's used by commercial and hobby growers worldwide.  <br><br>  Included in the book are step by step instuctions on:  <ul>  <li>Learning to achieve 20-50% higher yields  <li>Setting up and maintaining a rockwool garden  <li>Choosing the right garden to meet your specific needs  <li>The latest tools to make using rockwool even easier  <li>Picking the right nutrients to feed your plants  <li>How to grow the absolute biggest flowers using rockwool  </ul>  <br><br>  This is the one-stop hobby resource guide for using rockwool. Start getting your taste of the the good life!  <br><br>  Whether you're a beginner, novice, or expert, there's something in this book for you. This book was also edited by garden experts from around the world, helping make a great book even better.  Order your copy today!!",,yes,yes,yes,no,woo|shopify,60,Woo matched
botanicare-organicare-true-earth-potting-mix-o-m-r-i,botanicare-organicare-true-earth-potting-mix-o-m-r-i,Botanicare Organicare True Earth Potting Mix (O.M.R.I.),Botanicare,Grow Media,soil,,,0.0,,,,24.99,20.50,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/water-only-1.jpg?v=1761678803,yes,no,no,yes,shopify,40,Shopify only
bio365-bioblend-high-porosity-blend-1-5cu-ft-bag-blend-of-fine-coir-coarse-peat-super-coarse-perlite,bio365-bioblend-high-porosity-blend-1-5cu-ft-bag-blend-of-fine-coir-coarse-peat-super-coarse-perlite,"bio365™ BIOBLEND™ High Porosity Blend - 1.5cu ft - Bag - Blend of Fine Coir, Coarse Peat, & Super Coarse Perlite",General Hydroponics,Grow Media,coco,,1.5,0.0,,,,32.99,29.99,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioblend.jpg?v=1761678795,no,no,no,yes,parsed|shopify,40,Shopify only
hmh00116,rapid-rooter-rooting-plugs,Rapid Rooter Rooting Plugs,Rapid Rooter,Grow Media,plugs,,,10,,,,,,0,,"Rapid Rooter's breakthrough technology produces a unique matrix of composted organic materials bonded together with plant-derived polymers. Rapid Rooter plugs are manufactured using a scientifically controlled process that yields large populations of beneficial microbes in the media. These naturally-occurring microbes colonize young roots, helping plants resist disease while maximizing nutrient uptake. Rapid Rooter plugs are fortified with General Hydroponic micro nutrients for abundant root growth. The optimal air-to-water ratio within the plug matrix results in explosive early root growth. Use Rapid Rooter for robust early rooting that supports explosive plant growth.",https://hmoonhydro.com/wp-content/uploads/2019/08/rapid_rooter.jpg,no,yes,no,no,woo,40,Woo only (not in Shopify)
Course:[],Course:[],with its high perlite content,General Hydroponics,Grow Media,perlite,,,,,,,,"status:imported}},0,,no,,,60,,,,,352,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,,,0,,,0,closed,2024-09-16 01:49:42",0,"increased air porosity and lower water retention. The added benefit of a fibrous peat moss and coarse perlite makes this formulation ideal for growers demanding a superior quality product adapted to their needs for watering flexibility and crop seasonality. Contains Mycorrhizae™ mycorrhizal inoculum (Glomus intraradices).,,2021-12-09 15:14:18,product,premier-tech-pro-mix-hp-mycorrhizae-loose-fill,https://hmoonhydro.com/product/premier-tech-pro-mix-hp-mycorrhizae-loose-fill/,,,Growing Medium,HP Mycorrhizae™ - Loose Fill 2.8 cf.,simple,visible,No,Domestic,No,,,instock,no,no,34.95,,,28,,,,,,,34.95,no,no,,,,,,,0,0,,,no,taxable,,1,,,0,0,,,0,,,0,,,default,,,,default,,,0,,,default,,,default,1,0,0,0,0,0,0,0,'-1,'-1,large,,,default,,{blockGraphs:[]",provides a growing environment which benefits growers looking for significant drainage capacity,,yes,no,yes,no,woo,40,Woo only (not in Shopify)
evenly hydrated and ready-to-use. It is suitable for both organic production and salt-based feeding regimens.,evenly hydrated and ready-to-use. It is suitable for both organic production and salt-based feeding regimens.,coco and perlite. Contains bioCharge® biology + bioCore® biochar BIOSTART is an living,,Grow Media,coco,,,,,,,,,0,organic propagation mix of fine peat and perlite,soilless,,yes,no,yes,no,woo,40,Woo only (not in Shopify)
and perlite,and perlite,coco and perlite. Contains Bio Charge® Biology + bio Core® Biochar. BIOBLEND™ is a clean-manufactured,Watering,Grow Media,coco,,,,,,,,,0,BIOBLEND™ is an organic,engineered media made to exacting standards in bio365's US-based controlled-environment facilities. Designed as an upgrade to the typical peat-based substrates,,yes,no,yes,no,woo,40,Woo only (not in Shopify)
maxScore:9,error:1}}},"high-quality growing medium that supports healthy root development and vigorous growth. Elevate your cultivation experience with SCIETETICS COCO,,2025-08-09 17:01:03,product,scietetics-coco-8-block-1-5gal,https://hmoonhydro.com/product/scietetics-coco-8-block-1-5gal/,Scietetics > Scietetics,,Growing Medium",Maxscore:9,Grow Media,coco,,,paragraphLength:{score:5,,,,,readability:{contentHasAssets:{error:1,0,score:0,"Nutrients &amp; Supplements > Scietetics,,simple,visible,No,,No,,,instock,no,no,,,,,,,,,,,,no,no,,,,,,,'-1,'-1,,,no,taxable,,0,,,0,0,,,0,{focus:{keyphrase:""",,no,no,yes,no,woo,40,Woo only (not in Shopify)
error:0},"additional:[]},{analysis:{basic:{metadescriptionLength:[]","high-quality growing medium that supports healthy root development and vigorous growth. Elevate your cultivation experience with SCIETETICS COCO.,,2025-04-25 18:27:43,product,block-cocos-nucifera-1-gal,https://hmoonhydro.com/product/block-cocos-nucifera-1-gal/,Scietetics > Scietetics,,Growing Medium,,simple,visible,No,,No,,,instock,no,no,3.88,3.78,,1,5,6,5,,,,3.78,no,no,,,,,,,'-1,'-1,,,no,taxable,,0,,,0,0,,,0,{focus:{keyphrase:""",Error:1},Grow Media,coco,,,maxScore:5,,,,,score:1,0,analysis:{keyphraseInTitle:{score:0,score:0,,no,no,yes,no,woo,40,Woo only (not in Shopify)
