id,handle,title,brand,vendor,material_type,size,price,sources,shopify,woo,inventory
grm-snapture-dovetail,snapture-dovetail,"Snapture Dovetail",Snapture,H Moon Hydro,accessory,,3.79,shopify,yes,no,no
grm-snapture-foot-base,snapture-foot-base,"Snapture Foot Base",Snapture,H Moon Hydro,accessory,,4.79,shopify,yes,no,no
grm-snapture-cross-fitti,snapture-cross-fitting,"Snapture Cross Fitting",Snapture,H Moon Hydro,accessory,,4.79,shopify,yes,no,no
grm-50-ft-black-white-pa,50-ft-black-white-panda-film-poly,"50 ft. Black & White Panda Film (poly)",Unknown,H Moon Hydro,reflective,50ft,52.95,shopify,yes,no,no
grm-2mm-thick-100-mylar-,2mm-thick-100-mylar-roll,"2mm Thick 100' Mylar Roll",Unknown,H Moon Hydro,reflective,100ft,88.95,shopify,yes,no,no
grm-2mm-thick-50-mylar-r,2mm-thick-50-mylar-roll,"2mm Thick 50' Mylar Roll",Unknown,H Moon Hydro,reflective,50ft,48.95,shopify,yes,no,no
grm-2mm-thick-25-mylar-r,2mm-thick-25-mylar-roll,"2mm Thick 25' Mylar Roll",Unknown,H Moon Hydro,reflective,25ft,30.95,shopify,yes,no,no
grm-25-ft-black-white-pa,25-ft-black-white-panda-film-poly,"25 ft.Black & White Panda Film (poly)",Unknown,H Moon Hydro,reflective,25ft,30.80,shopify,yes,no,no
grm-1mm-thick-100-mylar-,1mm-thick-100-mylar-roll,"1mm Thick 100' Mylar Roll",Unknown,H Moon Hydro,reflective,100ft,58.95,shopify,yes,no,no
grm-1mm-thick-25-mylar-r,1mm-thick-25-mylar-roll,"1mm Thick 25' Mylar Roll",Unknown,H Moon Hydro,reflective,25ft,20.95,shopify,yes,no,no
grm-1mm-thick-50-mylar-r,1mm-thick-50-mylar-roll,"1mm Thick 50' Mylar Roll",Unknown,H Moon Hydro,reflective,50ft,30.95,shopify,yes,no,no
grm-100-ft-black-white-p,100-ft-black-white-panda-film-poly,"100 ft. Black & White Panda Film (poly)",Unknown,H Moon Hydro,reflective,100ft,100.50,shopify,yes,no,no
