sku,handle,title,brand,vendor,harvesting_type,quantity,unit,pack_size,micron,material,color,source,shopify,woo,inventory,needs_images,needs_description,work_queue
hmh00770,spin-pro-manual-trimmer,Spin Pro Manual Trimmer,H Moon Hydro,H Moon Hydro,trimmer_manual,,,,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_specs"
hmh01490,drying-rack-4-tier-2,Drying Rack - 4 Tier,H Moon Hydro,H Moon Hydro,drying_rack,4,tier,,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh00819,drying-rack-scale,Drying Rack Scale,H Moon Hydro,H Moon Hydro,drying_rack,,,,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
hmh00615,bypass-hand-shears,Bypass Hand Shears,H Moon Hydro,H Moon Hydro,scissors,,,,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_specs"
1828,spinpro-trimmer,Spinpro Trimmer,Spin Pro,Spin Pro,trimmer_manual,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
332,craft-scissors,Craft Scissors,ARS,ARS,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
288,oxo-floral-snips,OXO Floral Snips,OXO Good Grips,OXO Good Grips,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
289,oxo-bypass-pruners,OXO Bypass Pruners,OXO Good Grips,OXO Good Grips,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
419,auto-trimmer-rotor-only,Auto Trimmer rotor only,Trimpro,Trimpro,trimmer_automatic,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
422,auto-trimmer-7-16-1-4-grating-,Auto Trimmer (7/16 & 1/4 Grating),Trimpro,Trimpro,trimmer_automatic,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
428,small-auto-trimmer-trimpro,Small Auto trimmer trimpro,Trimpro,Trimpro,trimmer_automatic,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2347,auto-trimmer-automatic,auto trimmer automatic,trimpro,trimpro,trimmer_automatic,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2333,garden-shears,Garden shears,Bond,Bond,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2334,shears-pruners,shears pruners,Bond,Bond,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2501,drying-rack-net-white-gray,drying rack net white gray,UNO,UNO,drying_rack,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2240,adjustable-hand-crank-trimmer,Adjustable hand crank trimmer,trimpro,trimpro,trimmer_manual,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
,2-titanium-shear,"2"" Titanium shear",,,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2638,dry-up-drying-rack-22-,"Dry up Drying rack 22""",Dry up,Dry up,drying_rack,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2896,shearperfectionsteel-bonsai-60m,ShearPerfectionSteel Bonsai 60m,,,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2963,shear-perfection-2-curver,"Shear Perfection 2"" Curver",,,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2994,drying-rack-scale,Drying Rack Scale,,,drying_rack,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3028,shearperfectionshear-2-curve,"ShearPerfectionShear - 2"" curve",,,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3041,rosin-press-pneumatic-5000psi,ROSIN PRESS Pneumatic / 5000psi,ROSIN PRESS,ROSIN PRESS,rosin_press,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3042,rosin-press-manual-h12t-6-x8-24-000-psi,"ROSIN PRESS Manual H12T 6""X8"" /24,000 psi",ROSIN PRESS,ROSIN PRESS,rosin_press,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3043,rosin-press-pneumatic-20-6-x8-2-800-lbs-preasure-needs-air-preasure,"ROSIN PRESS Pneumatic 20 6""X8""/2,800 lbs preasure
NEEDS AIR PREASURE",ROSIN PRESS,ROSIN PRESS,rosin_press,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3044,rosin-press-el-automatic-6-x8-no-air-needed-automatic,"ROSIN PRESS EL Automatic 6""X8""/NO AIR NEEDED AUTOMATIC",ROSIN PRESS,ROSIN PRESS,rosin_press,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2714,,,Shear Perfection,Shear Perfection,other,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2639,dry-up-drying-rack-32-,"Dry up Drying Rack 32""",Dry up,Dry up,drying_rack,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3054,rosin-filter-bags-mixed-24ct-,ROSIN Filter bags Mixed 24ct.,,,accessory,,,24,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3067,stainless-steel-bonsai-scissor-60mm-titanium,Stainless Steel Bonsai Scissor 60mm Titanium,chin up,chin up,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3070,the-rack-drying-net-8-tiers-24-white,"The Rack Drying net 8 tiers 24"" white",chin up,chin up,drying_net,8,tier,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3102,integra-boost-67g-humidiccant-55-,integra Boost 67g Humidiccant 55%,Integra Boost,,humidity_pack,67,g,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3106,integraboost-8gm-humidiccant-55-,integraBoost 8gm Humidiccant 55%,Integra Boost,integra,humidity_pack,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
638,boveda-8g-2-way-humidity-62-,Boveda 8g 2-Way Humidity 62%,Boveda,,humidity_pack,8,g,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
640,boveda-67g-2-way-humidity-58-450-gm,Boveda 67g 2-Way Humidity 58% 450 gm,Boveda,,humidity_pack,67,g,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
820,boveda-67g-2-way-humidity-62-,Boveda 67g 2-Way Humidity 62%,Boveda,boveda,humidity_pack,67,g,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1827,fiskars-micro-tip-pruning-snips,Fiskars® Micro Tip Pruning Snips,Fiskars,,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
2699,harvest-more-trimbin-black,Harvest More® TrimBin - Black,,,trim_bin,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
1975,tnb-trimming-shears,TNB Trimming Shears,,,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3158,harvest-more-scissor-scrubber,Harvest More® Scissor Scrubber,,,scissors,,,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
3293,62-humidity-packs-10-3-holders,62% Humidity packs-10 & 3 holders,,,humidity_pack,,62% RH,,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_specs"
