id,handle,title,brand,vendor,bulb_type,wattage,lumens,color_temp,spectrum,size,price,sources,shopify,woo,inventory
hid-ultragrow-a-c-8-in-w,ultragrow-a-c-8-in-with-saftey-glass-socket-set-w-15-ft-cord,"Ultragrow A/C 8 in. with saftey glass & socket set w/ 15 ft cord",Ultragrow,H Moon Hydro,socket,,,,unknown,15ft,164.99,shopify,yes,no,no
hid-ultragrow-a-c-6-in-w,ultragrow-a-c-6-in-with-saftey-glass-socket-set-w-15-ft-cord,"Ultragrow A/C 6 in. with saftey glass & socket set w/ 15 ft cord",Ultragrow,H Moon Hydro,socket,,,,unknown,15ft,75.00,shopify,yes,no,no
hid-uno-8-big-boy-a-c-re,uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector",UNO,H Moon Hydro,cmh,,,,unknown,8in,89.99,shopify,yes,no,no
hid-solarmax-400w-mht-ve,solarmax-400w-mht-veg-conversion-w-32000-lumens,"SolarMax 400W. MHT veg/Conversion w/32,000 Lumens",SolarMax,H Moon Hydro,conversion,400W,32000,,veg,,39.00,shopify,yes,no,no
hid-solarmax-600w-hps-w-,solarmax-600w-hps-w-95000-lumens,"SolarMax 600W. HPS W/ 95,000 Lumens",SolarMax,H Moon Hydro,hps,600W,95000,,bloom,,29.00,shopify,yes,no,no
hid-sunsoaker-parabolic-,sunsoaker-parabolic-reflector-w-horizonal-socket-bracket,"SunSoaker Parabolic Reflector w/ Horizonal Socket bracket",Unknown,H Moon Hydro,cmh,,,,unknown,,99.00,shopify,yes,no,no
hid-solarmax-1000w-mht-v,solarmax-1000w-mht-veg-conversion-w-90000-lumens,"SolarMax 1000W. MHT veg/Conversion w/ 90,000 Lumens",SolarMax,H Moon Hydro,conversion,1000W,90000,,veg,,135.95,shopify,yes,no,no
hid-solarmax-1000w-hps-w,solarmax-1000w-hps-w-147000-lumens,"SolarMax 1000W. HPS w/ 147,000 Lumens",SolarMax,H Moon Hydro,hps,1000W,147000,,bloom,,39.00,shopify,yes,no,no
hid-smmh1000wv-solarmax-,smmh1000wv-solarmax-1000w-mht-metal-hailde-veg-85000-lumens,"SMMH1000WV SolarMax 1000W MHT Metal Hailde Veg. 85,000 Lumens",SolarMax,H Moon Hydro,accessory,1000W,85000,,veg,,123.95,shopify,yes,no,no
hid-sunblaster-25-watt-g,sunblaster-25-watt-green-visual-lamp-standard-socket,"SunBlaster 25 watt green Visual lamp-standard socket",SunBlaster,H Moon Hydro,socket,25W,,,unknown,,9.88,shopify,yes,no,no
hid-sunblaster-200w-cf-6,sunblaster-200w-cf-6400k-2,"Sunblaster 200W CF 6400k",SunBlaster,H Moon Hydro,accessory,200W,,6400K,unknown,,109.95,shopify,yes,no,no
hid-t5-cfl-2-plantmax-da,t5-cfl-2-plantmax-day-24w-6500k-tube-2520-lumens,"T5 CFL 2' Plantmax Day 24W. 6500K tube 2520 lumens",PlantMax,H Moon Hydro,t5,24W,2520,6500K,veg,2ft,8.95,shopify,yes,no,no
hid-t5-high-output-fluor,t5-high-output-fluorescent-lamps,"T5 High Output Fluorescent Lamps",Unknown,H Moon Hydro,t5,,,,unknown,,14.95,shopify,yes,no,no
hid-t5-cfl-4-plantmax-wa,t5-cfl-4-plantmax-warm-54w-3000k-tube-4800-lumens,"T5 CFL 4' Plantmax Warm 54W. 3000K tube 4800 lumens",PlantMax,H Moon Hydro,t5,54W,4800,3000K,bloom,4ft,10.95,shopify,yes,no,no
hid-t5-cfl-2-plantmax-wa,t5-cfl-2-plantmax-warm-24w-3000k-tube-2280-lumens,"T5 CFL 2' Plantmax Warm 24W 3000K tube 2,280 lumens",PlantMax,H Moon Hydro,t5,24W,2280,3000K,bloom,2ft,8.95,shopify,yes,no,no
hid-solarmax-400w-mh-gol,solarmax-400w-mh-gold-36000-lumens,"SolarMax 400W. MH Gold 36,000 Lumens",SolarMax,H Moon Hydro,mh,400W,36000,,unknown,,39.00,shopify,yes,no,no
hid-solarmax-400w-mht-me,solarmax-400w-mht-metal-halide-veg-32000-lumens,"SolarMax 400W. MHT Metal Halide Veg. 32,000 Lumens",SolarMax,H Moon Hydro,mh,400W,32000,,veg,,115.95,shopify,yes,no,no
hid-sunblaster-nanodome,sunblaster-nanodome,"Sunblaster Nanodome",SunBlaster,H Moon Hydro,accessory,,,,unknown,,6.95,shopify,yes,no,no
hid-solarmax-600w-mht-ve,solarmax-600w-mht-veg-conversion-w-55000-lumens,"SolarMax 600W. MHT veg/Conversion w/ 55,000 Lumens",SolarMax,H Moon Hydro,conversion,600W,55000,,veg,,129.95,shopify,yes,no,no
hid-solarmax-400w-hps-w-,solarmax-400w-hps-w-55000-lumens,"SolarMax 400W. HPS W/ 55,000 Lumens",SolarMax,H Moon Hydro,hps,400W,55000,,bloom,,39.00,shopify,yes,no,no
hid-solarmax-1000w-mh-go,solarmax-1000w-mh-gold-110000-lumens,"SolarMax 1000W. MH Gold 110,000 Lumens",SolarMax,H Moon Hydro,mh,1000W,110000,,unknown,,70.00,shopify,yes,no,no
hid-socket-set-w-15-cord,socket-set-w-15-cord,"Socket Set w/ 15' Cord",Unknown,H Moon Hydro,socket,,,,unknown,15ft,19.95,shopify,yes,no,no
hid-sunblaster-t5-strip-,sunblaster-t5-strip-connector,"Sunblaster T5 Strip Connector",SunBlaster,H Moon Hydro,t5,,,,unknown,,9.95,shopify,yes,no,no
hid-sunblaster-125w-cf-2,sunblaster-125w-cf-2500k-2,"Sunblaster 125W CF 2500k",SunBlaster,H Moon Hydro,accessory,125W,,2500K,unknown,,59.95,shopify,yes,no,no
