sku,handle,title,brand,vendor,product_type,diameter,length,flow_rate,source,shopify,woo,inventory,needs_images,needs_description,work_queue
hmh00951,union-connector-1-4-in,UNION CONNECTOR 1/4 in.,H Moon Hydro,H Moon Hydro,fitting,"1/4""",,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00949,union-connector-3-8-in,UNION CONNECTOR 3/8 in.,H Moon Hydro,H Moon Hydro,fitting,"3/8""",,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00850,snapture-cross-fitting,Snapture Cross Fitting,H Moon Hydro,H Moon Hydro,fitting,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh01482,sunblaster-t5-strip-connector,Sunblaster T5 Strip Connector,H Moon Hydro,H Moon Hydro,fitting,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh00959,stealth-ro-100-200-pressure-booster-pump,STEALTH RO 100/200/ PRESSURE BOOSTER PUMP,H Moon Hydro,H Moon Hydro,pump_water,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh00839,screen-fitting-bag-of-10,Screen Fitting (bag of 10),H Moon Hydro,H Moon Hydro,fitting,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00613,mondi-mist-spray-delux-compression-sprayer-1-2-qt,Mondi Mist & Spray Delux Compression Sprayer 1.2 qt,H Moon Hydro,H Moon Hydro,emitter,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00612,mondi-mist-spray-premium-compression-sprayer-1-5-qt,Mondi Mist & Spray Premium Compression Sprayer 1.5 qt,H Moon Hydro,H Moon Hydro,emitter,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00917,mag-drive-7-pump-700-gph,Mag Drive #7 Pump 700 gph,H Moon Hydro,H Moon Hydro,pump_water,,,700 GPH,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00918,mag-drive-pump-filter,mag drive pump filter,H Moon Hydro,H Moon Hydro,pump_water,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh00916,mag-drive-3-pump-350-gph,Mag Drive #3 Pump 350 gph,H Moon Hydro,H Moon Hydro,pump_water,,,350 GPH,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00915,mag-drive-2-pump-250-gph,Mag Drive #2 Pump 250 gph,H Moon Hydro,H Moon Hydro,pump_water,,,250 GPH,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,hydro-logic-110v-pressure-booster-pump-for-stealth,Hydro-Logic® 110V Pressure Booster Pump for Stealth,H Moon Hydro,H Moon Hydro,pump_water,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,hydro-logic-evolution-ro1000-1000-gpd,Hydro-Logic® Evolution RO1000™ - 1000 GPD,H Moon Hydro,H Moon Hydro,pump_water,,,,shopify,TRUE,FALSE,FALSE,FALSE,FALSE,
hmh00838,extension-fitting-bag-of-10,Extension Fitting (bag of 10),H Moon Hydro,H Moon Hydro,fitting,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00946,float-valve-3-8-in-qc-tall-boy,FLOAT VALVE 3/8 in. QC -TALL BOY,H Moon Hydro,H Moon Hydro,valve,"3/8""",,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
