master_sku,handle,title,brand,category,nutrient_type,form,size_value,size_unit,is_concentrate,cost,map_price,retail_price,inventory_qty,short_description,long_description,image_primary,needs_size,needs_images,needs_description,spec_source,match_confidence,match_notes
hmh01067,ultra-premium-connoisseur-part-b-1-lt,Ultra-premium Connoisseur Part-B (1 lt),Advanced Nutrients,Nutrients,base,liquid,1,l,,,,39.50,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedConnoisseurA_08218612-4e70-4413-ad7d-528205b2543c.jpg?v=1761679127,no,no,yes,parsed|woo|shopify,60,Woo matched
hmh00414,verde-growth-catalyst-1-qt,Verde Growth Catalyst 1 qt,,Nutrients,other,liquid,1,qt,,,,22.50,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/verde_1e560153-cda7-4bd5-8760-d86674163eef.jpg?v=1761679127,no,no,yes,parsed|woo|shopify,60,Woo matched
hmh01364,vitamino-amino-acid-supplement-gallon,Vitamino Amino Acid Supplement Gallon,,Nutrients,additive,liquid,1,gal,,,,75.65,0,,,,no,yes,yes,parsed|woo|shopify,60,Woo matched
hmh01066,ultra-premium-connoisseur-part-a-1-gal,Ultra-premium Connoisseur Part-A (1 gal),Advanced Nutrients,Nutrients,base,liquid,1,gal,,,,95.00,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedConnoisseurA_4bfd15d4-1fa4-4643-91b3-3e427fc86c09.jpg?v=1761679121,no,no,yes,parsed|woo|shopify,60,Woo matched
hmh01065,ultra-premium-connoisseur-part-a-1-lt,Ultra-premium Connoisseur Part-A (1 lt),Advanced Nutrients,Nutrients,base,liquid,1,l,,,,39.50,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedConnoisseurA_57a12fe5-bb06-4a6c-9307-803c48f0002f.jpg?v=1761679122,no,no,yes,parsed|woo|shopify,60,Woo matched
hmh01068,ultra-premium-connoisseur-part-b-1-gal,Ultra-premium Connoisseur Part-B (1 gal),Advanced Nutrients,Nutrients,base,liquid,1,gal,,,,95.00,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedConnoisseurA.jpg?v=1761679116,no,no,yes,parsed|woo|shopify,60,Woo matched
hmh01363,vitamino-amino-acid-supplement-quart,Vitamino Amino Acid Supplement Quart,,Nutrients,additive,liquid,1,qt,,,,30.59,0,,,,no,yes,yes,parsed|woo|shopify,60,Woo matched
hmh01071,voodoo-juice-root-booster-1-gal,VooDoo Juice Root Booster (1 gal),Advanced Nutrients,Nutrients,additive,liquid,1,gal,,,,330.00,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/voodoo_0ab48b01-3f4c-4be6-a205-565ddab61124.jpg?v=1761679116,no,no,yes,parsed|woo|shopify,60,Woo matched
hmh01070,voodoo-juice-root-booster-1-lt,VooDoo Juice Root Booster (1 lt),Advanced Nutrients,Nutrients,additive,liquid,1,l,,,,107.04,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/voodoo_dee04df6-6919-4430-b3a8-83fdbbbb678e.jpg?v=1761679116,no,no,yes,parsed|woo|shopify,60,Woo matched
hmh00415,verde-growth-catalyst-1-gal,Verde Growth Catalyst 1 gal,,Nutrients,other,liquid,1,gal,,,,80.00,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/verde.jpg?v=1761679110,no,no,yes,parsed|woo|shopify,60,Woo matched
