sku,handle,title,brand,vendor,product_type,volume,volume_unit,source,shopify,woo,inventory,needs_images,needs_description,work_queue
hmh00978,replacemnt-probe-for-control-wizard-accurate-ph3-meter,Replacemnt probe for Control Wizard Accurate pH3 Meter,H Moon Hydro,H Moon Hydro,other,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
hmh00974,ph-200-waterproof-ph-meter-2,PH-200: Waterproof pH Meter,H Moon Hydro,H Moon Hydro,ph_meter,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00976,ph-probe-electrode-3-lead-wire,pH probe electrode 3' lead wire,H Moon Hydro,H Moon Hydro,combo_meter,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh00995,ph-test-kit-1-oz,pH Test Kit 1 oz,H Moon Hydro,H Moon Hydro,test_kit,1,oz,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00991,ph-7-0-calibration-solution-8-oz,pH 7.0 Calibration Solution 8 oz.,H Moon Hydro,H Moon Hydro,calibration_solution,8,oz,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00992,ph-7-0-calibration-solution-qt,pH 7.0 Calibration Solution qt.,H Moon Hydro,H Moon Hydro,calibration_solution,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00989,ph-4-01-calibration-solution-8-oz,pH 4.01 Calibration Solution 8 oz.,H Moon Hydro,H Moon Hydro,calibration_solution,8,oz,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00990,ph-4-01-calibration-solution-qt,pH 4.01 Calibration Solution qt.,H Moon Hydro,H Moon Hydro,calibration_solution,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh01233,nutradip-ph-meter,Nutradip pH Meter,H Moon Hydro,H Moon Hydro,ph_meter,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh01232,nutradip-ec-tds-ppm-meter,Nutradip EC TDS PPM Meter,H Moon Hydro,H Moon Hydro,ec_meter,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00966,8-oz-twin-pack-electrode-cleaning-solution-a-b,8 oz twin pack electrode cleaning solution #A & #B,H Moon Hydro,H Moon Hydro,cleaning_solution,8,oz,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00967,8oz-electrode-storage-solution,8oz electrode storage solution,H Moon Hydro,H Moon Hydro,storage_solution,8,oz,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh00993,1500-ppm-calibration-solution-8-oz,1500 ppm Calibration Solution 8 oz.,H Moon Hydro,H Moon Hydro,calibration_solution,8,oz,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
1950,probe-replacement-for-ph-3-pen,Probe Replacement for pH-3 Pen,Control Wizard,Control Wizard,electrode,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
337,4-01-meter-calibration-solution,4.01 Meter Calibration Solution,General Hydroponics,General Hydroponics,calibration_solution,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
338,7-0-meter-calibration-solution,7.0 Meter Calibration Solution,General Hydroponics,General Hydroponics,calibration_solution,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
