sku,handle,title,brand,vendor,product_type,volume,count,dimensions,source,shopify,woo,inventory,needs_images,needs_description,work_queue
hmh01198,mondi-propagation-tray-insert-55,Mondi Propagation Tray Insert 55,H Moon Hydro,H Moon Hydro,tray,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh01197,mondi-propagation-tray,Mondi Propagation Tray,H Moon Hydro,H Moon Hydro,tray,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh01196,mondi-mini-greenhouse-humidity-dome-7-with-vents,"Mondi Mini Greenhouse Humidity Dome 7"" with vents",H Moon Hydro,H Moon Hydro,dome,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh01195,mondi-mini-greenhouse-humidity-dome-4-with-vents,"Mondi Mini Greenhouse Humidity Dome 4"" with vents",H Moon Hydro,H Moon Hydro,dome,,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
hmh01744,hydrodynamics-clonex-mist-100-ml,HydroDynamics Clonex Mist 100 ml,Clonex,H Moon Hydro,other,100 ml,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
hmh01745,hydrodyamics-clonex-mist-300ml,Hydrodyamics Clonex Mist 300Ml,Clonex,H Moon Hydro,other,300 ml,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_classification"
hmh01418,heat-mat-dual-tray,Heat Mat Dual Tray,H Moon Hydro,H Moon Hydro,tray,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh01417,heat-mat-single-tray,Heat Mat Single Tray,H Moon Hydro,H Moon Hydro,tray,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh01419,heat-mat-thermostat,Heat Mat Thermostat,H Moon Hydro,H Moon Hydro,heat_mat,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description"
hmh01746,clonex-mist-750ml-rtu,Clonex mist 750ml RTU,Clonex,H Moon Hydro,other,750 ml,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_classification"
hmh01747,clonex-mist-concentrate-qt,Clonex Mist Concentrate Qt.,Clonex,H Moon Hydro,other,,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
hmh01359,clonex-mist-100ml-spray-bottle,Clonex Mist 100ml Spray Bottle,Clonex,H Moon Hydro,other,100 ml,,,shopify,TRUE,FALSE,FALSE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
,athena-cuts-rooting-gel-7-oz,Athena Cuts Rooting Gel 7 oz.,H Moon Hydro,H Moon Hydro,cloning_gel,7 oz,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,athena-cuts-rooting-gel-compound-14oz,Athena Cuts Rooting Gel Compound - 14oz,H Moon Hydro,H Moon Hydro,cloning_gel,14 oz,,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
1856,propagation-solution,Propagation solution,FHD,FHD,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
1662,7-humididty-dome-vented-mini-greenhouse-,"7"" Humididty Dome Vented (mini greenhouse)`",Mondi,Mondi,dome,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1663,4-humidity-dome-vented-mini-greenhouse-,"4"" Humidity Dome Vented (mini greenhouse)",Mondi,Mondi,dome,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2017,rooting-compound-gel-hormone,Rooting compound gel hormone,ez clone,ez clone,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2076,humidity-dome-for-pt-cloner,Humidity dome for PT cloner,FHD,FHD,clone_machine,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
