sku,handle,title,brand,vendor,strain,seed_type,pack_size,source,shopify,woo,inventory,needs_images,needs_description,work_queue
,white-rhino-feminised-afghan-x-brazilian-x-south-indian-photo-5-seed,White Rhino (Feminised) Afghan x Brazilian x South Indian Photo-5 Seed,H Moon Hydro,H Moon Hydro,White Rhino (Feminised) Afghan x Brazilian x South Indian Photo-,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,turtle-taffy-auto-seed-8pk,Turtle Taffy Auto – Seed 8pk,H Moon Hydro,H Moon Hydro,Turtle Taffy Auto – Seed,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,white-widow-auto-seed-8-pack,White Widow Auto – Seed -8 Pack,H Moon Hydro,H Moon Hydro,White Widow Auto – Seed -,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,white-rhino-feminised-afghan-x-brazilian-x-south-indian-5-seed,White Rhino (Feminised) Afghan x Brazilian x South Indian-5 seed,H Moon Hydro,H Moon Hydro,White Rhino (Feminised) Afghan x Brazilian x South Indian-,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,white-widow-auto-feminised-white-widow-x-ruderalis-5-seed,White Widow Auto (Feminised) White Widow x Ruderalis-5 Seed,H Moon Hydro,H Moon Hydro,White Widow Auto (Feminised) White Widow x Ruderalis-,auto_feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,4of32-wonder-pie-feminised-wedding-cake-x-og-kush-5-seed,Wonder Pie (Feminised) Wedding Cake x OG Kush/ 5 Seed,H Moon Hydro,H Moon Hydro,Wonder Pie (Feminised) Wedding Cake x OG Kush/,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,super-lemon-haze-x-rs11-feminised-5-seed,Super Lemon Haze x RS11 (Feminised) -5 Seed,H Moon Hydro,H Moon Hydro,Super Lemon Haze x RS11 (Feminised) -,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze-5-seed,Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze 5- Seed,H Moon Hydro,H Moon Hydro,Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze 5- Seed,feminized,,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_pack_size"
,super-lemon-haze-x-gmo-feminised-5-seed,Super Lemon Haze x GMO (Feminised) -5 Seed,H Moon Hydro,H Moon Hydro,Super Lemon Haze x GMO (Feminised) -,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,super-bud-feminised-big-bud-x-skunk-photo-5-seed,Super Bud (Feminised) Big Bud x Skunk Photo. 5 Seed,H Moon Hydro,H Moon Hydro,Super Bud (Feminised) Big Bud x Skunk Photo.,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,Skywalker Auto Skywalker OG x Gelato #41 Auto 5 seed,H Moon Hydro,H Moon Hydro,Skywalker Auto Skywalker OG x Gelato #41 Auto,unknown,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,super-lemon-haze-feminised-lemon-skunk-x-super-silver-haze5-seed,Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze5 Seed,H Moon Hydro,H Moon Hydro,Super Lemon Haze (Feminised) Lemon Skunk x Super Silver Haze,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,FALSE,
,super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,Super Bud Auto (Feminised) Super Bud x Ruderalis 5 Seed,H Moon Hydro,H Moon Hydro,Super Bud Auto (Feminised) Super Bud x Ruderalis,auto_feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,skunk-auto-feminised-skunk-x-ruderalis-5-seed,Skunk Auto (Feminised) Skunk x Ruderalis 5 Seed,H Moon Hydro,H Moon Hydro,Skunk Auto (Feminised) Skunk x Ruderalis,auto_feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,FALSE,
,super-lemon-haze-x-pink-candy-super-lemon-haze-x-pink-candy-5-seed,Super Lemon Haze x Pink Candy Super Lemon Haze x Pink Candy- 5 Seed,H Moon Hydro,H Moon Hydro,Super Lemon Haze x Pink Candy Super Lemon Haze x Pink Candy-,unknown,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,super-critical-feminised-big-bud-x-skunk-x-white-widow-5-seed,Super Critical (Feminised) Big Bud x Skunk x White Widow-5 Seed,H Moon Hydro,H Moon Hydro,Super Critical (Feminised) Big Bud x Skunk x White Widow-,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,sugarlato-auto-feminised-kings-tart-x-gelato-41-auto-5-seed,Sugarlato Auto (Feminised) King’s Tart x Gelato #41 Auto/ 5 Seed,H Moon Hydro,H Moon Hydro,Sugarlato Auto (Feminised) King’s Tart x Gelato #41 Auto/,auto_feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,4of91-nl5-haze-mist-feminised-nl5-x-haze-x-kali-mist-5-seed,NL5 Haze Mist (Feminised) NL5 x Haze x Kali Mist. 5 Seed,H Moon Hydro,H Moon Hydro,NL5 Haze Mist (Feminised) NL5 x Haze x Kali Mist.,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,nevilles-haze-feminised-almost-pure-haze-landrace-5-seed,Neville's Haze (Feminised) Almost pure Haze Landrace 5 Seed,H Moon Hydro,H Moon Hydro,Neville's Haze (Feminised) Almost pure Haze Landrace,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,money-maker-feminised-original-master-kush-x-hindu-kush-x-skunk-5-seed,Money Maker (Feminised) Original Master Kush x Hindu Kush x Skunk-5 Seed,H Moon Hydro,H Moon Hydro,Money Maker (Feminised) Original Master Kush x Hindu Kush x Skunk-,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,mendo-breath-auto-seed-8-pack,Mendo Breath Auto – Seed-8 Pack,H Moon Hydro,H Moon Hydro,Mendo Breath Auto – Seed-,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,jack-herer-auto-feminised-jack-herer-x-ruderalis-5-seed,Jack Herer Auto (Feminised) Jack Herer x Ruderalis-5 Seed,H Moon Hydro,H Moon Hydro,Jack Herer Auto (Feminised) Jack Herer x Ruderalis-,auto_feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,8of32-kings-juice-feminised-mimosa-x-kings-kush-5-seed,King's Juice (Feminised) Mimosa x King's Kush-5 Seed,H Moon Hydro,H Moon Hydro,King's Juice (Feminised) Mimosa x King's Kush-,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,kings-kush-feminised-og-kush-x-grape-5-seed,King's Kush (Feminised) OG Kush x Grape -5 Seed,H Moon Hydro,H Moon Hydro,King's Kush (Feminised) OG Kush x Grape -,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,jacks-dream-feminised-jack-herer-x-a-m-s-5-seed,Jack’s Dream (Feminised) Jack Herer x A.M.S-5 Seed,H Moon Hydro,H Moon Hydro,Jack’s Dream (Feminised) Jack Herer x A.M.S-,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,jack-herer-feminised-haze-x-red-skunk-5-pk-seed,Jack Herer (Feminised) Haze x Red Skunk-5 pk Seed,H Moon Hydro,H Moon Hydro,Jack Herer (Feminised) Haze x Red Skunk-5 pk Seed,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,great-white-shark-feminised-super-skunk-x-brazilian-x-south-indian-5-seed,Great White Shark (Feminised) Super Skunk x Brazilian x South Indian.-5 SEED,H Moon Hydro,H Moon Hydro,Great White Shark (Feminised) Super Skunk x Brazilian x South Indian.-,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,grease-gun-auto-seed-8pk,Grease Gun Auto-Seed 8pk,H Moon Hydro,H Moon Hydro,Grease Gun Auto-Seed,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,holy-punch-feminised-the-church-x-grape-photo-5-seed,Holy Punch (Feminised) The Church x Grape Photo 5 Seed,H Moon Hydro,H Moon Hydro,Holy Punch (Feminised) The Church x Grape Photo,feminized,5,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,needs_description
,gmo-auto-seed-8pk,GMO Auto-Seed 8pk,H Moon Hydro,H Moon Hydro,GMO Auto-Seed,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,froot-by-the-foot-auto-seed-8-pk,Froot by the Foot Auto -Seed-8 pk,H Moon Hydro,H Moon Hydro,Froot by the Foot Auto -Seed-,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,gmo-og-auto-seed-8-pack,GMO OG-Auto – Seed-8 Pack,H Moon Hydro,H Moon Hydro,GMO OG-Auto – Seed-,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,garlic-jam-auto-seed-8pk,Garlic Jam Auto-Seed 8pk,H Moon Hydro,H Moon Hydro,Garlic Jam Auto-Seed,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,hawaiian-snow-feminised-hawaiian-sativa-x-laos,Hawaiian Snow (Feminised) Hawaiian sativa x Laos,H Moon Hydro,H Moon Hydro,Hawaiian Snow (Feminised) Hawaiian sativa x Laos,feminized,,shopify,TRUE,FALSE,FALSE,FALSE,FALSE,needs_pack_size
,gmo-8-auto-seed-8pk,GMO 8+ Auto-Seed 8pk,H Moon Hydro,H Moon Hydro,GMO 8+ Auto-Seed,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
,gummibears-auto-seed-8pk,Gummibears Auto-Seed 8pk,H Moon Hydro,H Moon Hydro,Gummibears Auto-Seed,unknown,8,shopify,TRUE,FALSE,FALSE,FALSE,TRUE,"needs_description, needs_type"
