master_sku,handle,title,brand,category,accessory_type,duct_diameter_in,duct_length_ft,is_insulated,clamp_diameter_in,fitting_type,controller_type,weight_lbs,box_length_in,box_width_in,box_height_in,cost,map_price,retail_price,inventory_qty,short_description,long_description,image_primary,needs_diameter,needs_length,needs_images,needs_description,needs_weight_dims,spec_source,match_confidence,match_notes
This clip fan features a robust EC motor specially redesigned in size and construction to lengthen the oscillation lifespan. Its clamp is re-engineered with a compact metal build that saves space in your grow tent and uses a vise grip-like design for greater security on tent poles. Other reinforced features include a brushless motor design,This clip fan features a robust EC motor specially redesigned in size and construction to lengthen the oscillation lifespan. Its clamp is re-engineered with a compact metal build that saves space in your grow tent and uses a vise grip-like design for greater security on tent poles. Other reinforced features include a brushless motor design,resilient carbon steel gears,10-level Dynamic Wind Modes & Fan Speeds,Ventilation Accessories,fitting,,,,,tee,,,,,,,,,0,,"and dual-ball bearings for omnidirectional mounting.,H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,38.00,39.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/infinity9inch-extera-tuff.jpg?v=1761678844,1,CLOUDRAY S9 Gen 2 Grow Tent Clip Fan 9” with Long-Life EC Motor",,yes,no,yes,no,yes,shopify,40,Shopify only
hmh00741,8-flange,"8"" Flange",,Ventilation Accessories,fitting,,,,,flange,,0.0,,,,,,26.58,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/profilter_23060aa4-67bb-4ef2-acf9-4d5118330e9f.jpg?v=1761678764,no,no,no,yes,yes,parsed|woo|shopify,60,Woo matched
hmh00800,8-in-x-25-ft-flexible-duct-w-2-clamps-included,8 in. x 25 ft flexible duct w / 2 clamps included,,Ventilation Accessories,clamp,,,,8,,,0.3,,,,,,31.95,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/flex_duct_808e9d72-2865-4723-ac72-d6745d7ea474.jpg?v=1761678756,no,no,no,yes,no,parsed|woo|shopify,60,Woo matched
hmh00740,6-flange,"6"" Flange",,Ventilation Accessories,fitting,,,,,flange,,0.1,,,,,,26.58,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/profilter_fa58fd33-719c-4dd5-b0f8-03b4c8f15c6f.jpg?v=1761678756,no,no,no,yes,no,parsed|woo|shopify,60,Woo matched
hmh00799,6-in-x-25-ft-flexible-duct-w-2-clamps-included,6 in. x 25 ft flexible duct W/ 2 clamps included,,Ventilation Accessories,clamp,,,,6,,,0.0,,,,,,24.95,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/flex_duct_58145f15-cc2c-43b4-a715-99803e88c2a8.jpg?v=1761678755,no,no,no,yes,yes,parsed|woo|shopify,60,Woo matched
hmh00784,8-in-backdraft-damper,8 in. Backdraft Damper,,Ventilation Accessories,damper,,,,,,,0.5,,,,,,36.95,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/backdraft_dampers_827c67d5-89d1-4392-865b-2599f46933be.jpg?v=1761678756,no,no,no,yes,no,parsed|woo|shopify,60,Woo matched
hmh00783,6-in-backdraft-damper,6 in. Backdraft Damper,,Ventilation Accessories,damper,,,,,,,0.0,,,,,,27.95,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/backdraft_dampers_992dcf63-aa54-42a1-b785-b34dd086ae63.jpg?v=1761678756,no,no,no,yes,yes,parsed|woo|shopify,60,Woo matched
hmh00805,8-in-hose-clamps,8 in. hose clamps,,Ventilation Accessories,clamp,,,,8,,,0.1,,,,,,4.00,0,,,,no,no,yes,yes,no,parsed|woo|shopify,60,Woo matched
hmh00804,6-in-hose-clamps,6 in. hose clamps,,Ventilation Accessories,clamp,,,,6,,,0.1,,,,,,1.90,0,,,,no,no,yes,yes,no,parsed|woo|shopify,60,Woo matched
hmh00798,4-in-x-25-ft-flexible-duct-w-2-clamps-included,4 in. x 25 ft flexible duct w/ 2 clamps included,,Ventilation Accessories,clamp,,,,4,,,0.2,,,,,,19.95,0,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/flex_duct_212bc12b-2b5a-4a38-85fd-bcbea80f621b.jpg?v=1761678744,no,no,no,yes,no,parsed|woo|shopify,60,Woo matched
