product_id,product_handle,product_title,product_status,product_vendor,product_type,variant_id,variant_title,sku,barcode,price,compare_at_price,cost_amount,cost_currency,inv_total_all_locations,inv_at_target_location,inv_detail_json
gid://shopify/Product/8043089330250,1-4-in-tubing-black-500-ft-roll,1/4 in. TUBING BLACK (500 FT. ROLL),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665809772618,Default Title,hmh00942,0012111011622,11.95,,,,5,5,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":5}]"
gid://shopify/Product/8043089363018,1-2-in-elbow-barbed-bag-of-50,1/2 in. Elbow Barbed (bag of 50),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665810100298,Default Title,hmh00827,,31.50,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043089395786,1-4-in-tubing-blue-500-ft-roll,1/4 in. TUBING BLUE (500 FT. ROLL),DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665809838154,Default Title,hmh00941,0012111011622,11.95,,,,5,5,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":5}]"
gid://shopify/Product/8043089428554,1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665809969226,Default Title,hmh00824,0793094041669,1.95,,1.07,USD,38,38,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":38}]"
gid://shopify/Product/8043089461322,1-2-in-straight-barbed-bag-of-50,1/2 in. Straight Barbed (bag of 50),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665809903690,Default Title,hmh00829,,27.50,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043089494090,1-1-4-reservoir-filter,"1 1/4"" reservoir filter",ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665809870922,Default Title,hmh00621,0757900616229,39.05,,23.95,USD,3,3,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":3}]"
gid://shopify/Product/8043089526858,1-4-in-qc-stealth-small-boy,1/4 in. QC -STEALTH & SMALL BOY,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665809805386,Default Title,hmh00947,0812111010706,4.64,,2.75,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043089559626,1-1-4-drain-overflow-tube,"1 1/4"" drain overflow tube",ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665810067530,Default Title,hmh00620,0691117772356,4.04,,2.48,USD,8,8,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":8}]"
gid://shopify/Product/8043089592394,1-grommet-bag-of-10,"1"" Grommet (bag of 10)",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665809936458,Default Title,hmh00823,0870883005306,11.24,,5.75,USD,12,12,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":12}]"
gid://shopify/Product/8043089625162,dutch-lighting-innovations-joule-series-1000w-de-120v-240v,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665810001994,Default Title,,,450.00,715.00,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043089657930,1-2-grommet-bag-of-25,"1/2"" Grommet (bag of 25)",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665810133066,Default Title,hmh00822,6911111146332,0.64,,0.21,USD,261,261,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":261}]"
gid://shopify/Product/8043089690698,dutch-lighting-innovations-joule-series-1000w-de-220v-240v,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665810165834,Default Title,SKID,,19000.00,21700.00,,,62,62,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":62}]"
gid://shopify/Product/8043089723466,1-2-in-tee-barbed-bag-of-50,1/2 in. Tee Barbed (bag of 50),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665810198602,Default Title,hmh00828,0847127008829,0.44,,0.24,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043089756234,1-2-fill-drain-fitting-bag-of-10,"1/2"" Fill & Drain Fitting (Bag of 10)",ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665810231370,Default Title,hmh00837,6911111176664,2.00,2.05,0.65,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043089789002,1-2-in-tubing-neutral-250-ft-roll,1/2 in. TUBING NEUTRAL (250 FT. ROLL),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665810034762,Default Title,hmh00945,0012111011622,11.95,,,,5,5,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":5}]"
