Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Status
,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,,Hydro-Logic,,Airflow,"category:airflow, brand:Hydro-Logic",FALSE,Title,Default Title,,,,,hmh00962,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES | H Moon Hydro,Shop BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES by Hydro-Logic at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"Can-Fan 4"" high output 178 CFM",,Can-Fan,,Airflow,"category:airflow, brand:Can-Fan",FALSE,Title,Default Title,,,,,hmh00792,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Fan 4"" high output 178 CFM","Can-Fan 4"" high output 178 CFM | H Moon Hydro","Shop Can-Fan 4"" high output 178 CFM by Can-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Can-Fan 4"" standard output 142 CFM",,Can-Fan,,Airflow,"category:airflow, brand:Can-Fan",FALSE,Title,Default Title,,,,,hmh00791,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Fan 4"" standard output 142 CFM","Can-Fan 4"" standard output 142 CFM | H Moon Hydro","Shop Can-Fan 4"" standard output 142 CFM by Can-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Can-Fan 6"" high output 440 CFM",,Can-Fan,,Airflow,"category:airflow, brand:Can-Fan",FALSE,Title,Default Title,,,,,hmh00794,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Fan 6"" high output 440 CFM","Can-Fan 6"" high output 440 CFM | H Moon Hydro","Shop Can-Fan 6"" high output 440 CFM by Can-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Can-Fan 6"" standard output 270 CFM",,Can-Fan,,Airflow,"category:airflow, brand:Can-Fan",FALSE,Title,Default Title,,,,,hmh00793,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Fan 6"" standard output 270 CFM","Can-Fan 6"" standard output 270 CFM | H Moon Hydro","Shop Can-Fan 6"" standard output 270 CFM by Can-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Can-Fan 8"" standard output 493 CFM",,Can-Fan,,Airflow,"category:airflow, brand:Can-Fan",FALSE,Title,Default Title,,,,,hmh00795,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Fan 8"" standard output 493 CFM","Can-Fan 8"" standard output 493 CFM | H Moon Hydro","Shop Can-Fan 8"" standard output 493 CFM by Can-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,Vortex Powerfans,,Vortex,,Airflow,"category:airflow, brand:Vortex",FALSE,Title,Default Title,,,,,hmh00637,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Vortex Powerfans,Vortex Powerfans | H Moon Hydro,Shop Vortex Powerfans by Vortex at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"10"" Max-Fan, 1023 CFM",,Max-Fan,,Airflow,"category:airflow, brand:Max-Fan",FALSE,Title,Default Title,,,,,hmh00807,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"10"" Max-Fan, 1023 CFM","10"" Max-Fan, 1023 CFM | H Moon Hydro","Shop 10"" Max-Fan, 1023 CFM by Max-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"12"" Max-Fan, 1709 CFM",,Max-Fan,,Airflow,"category:airflow, brand:Max-Fan",FALSE,Title,Default Title,,,,,hmh00808,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"12"" Max-Fan, 1709 CFM","12"" Max-Fan, 1709 CFM | H Moon Hydro","Shop 12"" Max-Fan, 1709 CFM by Max-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"14"" Max-Fan, 1823 CFM",,Max-Fan,,Airflow,"category:airflow, brand:Max-Fan",FALSE,Title,Default Title,,,,,hmh00809,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"14"" Max-Fan, 1823 CFM","14"" Max-Fan, 1823 CFM | H Moon Hydro","Shop 14"" Max-Fan, 1823 CFM by Max-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"16"" Max-Fan, 2436 CFM",,Max-Fan,,Airflow,"category:airflow, brand:Max-Fan",FALSE,Title,Default Title,,,,,hmh00810,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"16"" Max-Fan, 2436 CFM","16"" Max-Fan, 2436 CFM | H Moon Hydro","Shop 16"" Max-Fan, 2436 CFM by Max-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"18"" Max-Fan, 3490 CFM",,Max-Fan,,Airflow,"category:airflow, brand:Max-Fan",FALSE,Title,Default Title,,,,,hmh01325,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"18"" Max-Fan, 3490 CFM","18"" Max-Fan, 3490 CFM | H Moon Hydro","Shop 18"" Max-Fan, 3490 CFM by Max-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,38-Special by Can-Filters,,Can-filters,,Airflow,"category:airflow, brand:Can-filters",FALSE,Title,Default Title,,,,,hmh00662,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,38-Special by Can-Filters,38-Special by Can-Filters | H Moon Hydro,Shop 38-Special by Can-Filters by Can-filters at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"8"" Max-Fan, 675 CFM",,Max-Fan,,Airflow,"category:airflow, brand:Max-Fan",FALSE,Title,Default Title,,,,,hmh00806,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"8"" Max-Fan, 675 CFM","8"" Max-Fan, 675 CFM | H Moon Hydro","Shop 8"" Max-Fan, 675 CFM by Max-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,Big Boy Carbon filter,,Unknown,,Airflow,category:airflow,FALSE,Title,Default Title,,,,,hmh00960,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Big Boy Carbon filter,Big Boy Carbon filter | H Moon Hydro,Shop Big Boy Carbon filter by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,Can Filter W HO CFM Fan Combo freight shipping ONLY,,Can-filters,,Airflow,"category:airflow, brand:Can-filters",FALSE,Title,Default Title,,,,,,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Can Filter W HO CFM Fan Combo freight shipping ONLY,Can Filter W HO CFM Fan Combo freight shipping ONLY | H Moon Hydro,Shop Can Filter W HO CFM Fan Combo freight shipping ONLY by Can-filters at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"Can-Fan 10"" high output 781 CFM",,Can-Fan,,Airflow,"category:airflow, brand:Can-Fan",FALSE,Title,Default Title,,,,,hmh00796,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Can-Fan 10"" high output 781 CFM","Can-Fan 10"" high output 781 CFM | H Moon Hydro","Shop Can-Fan 10"" high output 781 CFM by Can-Fan at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
