Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Status
teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,,H Moon Hydro,,Books,"category:books, category:catalog_index, brand:H Moon Hydro",TRUE,Title,Default Title,,,,,HMH-BOK-A22548,0,shopify,0,deny,manual,24.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/teaming-with-fungi.jpg-2017-print.jpg?v=1761679104,1,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae | H Moon Hydro,Shop TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae by H Moon Hydro at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
teaming-with-microbes,Teaming with Microbes,,H Moon Hydro,,Books,"category:books, category:catalog_index, brand:H Moon Hydro",TRUE,Title,Default Title,,,,,hmh00001,0,shopify,0,deny,manual,24.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/teaming_with_microbes.jpg?v=1761679103,1,Teaming with Microbes,Teaming with Microbes | H Moon Hydro,Shop Teaming with Microbes by H Moon Hydro at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
teaming-with-nutrients,Teaming with Nutrients,jeff lowenfels book,H Moon Hydro,,Catalog Index,"category:catalog_index, brand:H Moon Hydro, ORGANIC",TRUE,Title,Default Title,,,,,2491,0,shopify,0,deny,manual,24.95,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/teaming-with-nuts.jpg2017-print.jpg?v=1761679104,1,Teaming with Nutrients,Teaming with Nutrients | H Moon Hydro,Shop Teaming with Nutrients by H Moon Hydro at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
rosin-pro-press-co-manual-2,ROSIN PRO PRESS CO. Manual,,H Moon Hydro,,Books,"category:books, category:catalog_index, brand:H Moon Hydro",TRUE,Title,Default Title,,,,,hmh01775,0,shopify,0,deny,manual,950.00,,TRUE,TRUE,,,,ROSIN PRO PRESS CO. Manual,ROSIN PRO PRESS CO. Manual | H Moon Hydro,Shop ROSIN PRO PRESS CO. Manual by H Moon Hydro at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation,,H Moon Hydro,,Books,"category:books, category:catalog_index, brand:H Moon Hydro",TRUE,Title,Default Title,,,,,HMH-BOK-5AD386,0,shopify,0,deny,manual,34.95,44.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/81VdkuJ-cDL._SY385.jpg?v=1761678849,1,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation | H Moon Hydro,Shop Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation by H Moon Hydro at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
uno-gen-1-elp-propane,UNO GEN-1 elp Propane,,UNO,,Co2,"category:co2, category:catalog_index, brand:UNO",TRUE,Title,Default Title,,,,,GEN-1eLP,0,shopify,100,deny,manual,175.00,399.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO-GEN-1elp-Propane.jpg?v=1761679122,1,UNO GEN-1 elp Propane,UNO GEN-1 elp Propane | H Moon Hydro,Shop UNO GEN-1 elp Propane by UNO at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
uno-gen-2eng,UNO GEN-2eNG,,UNO,,Co2,"category:co2, category:catalog_index, brand:UNO",TRUE,Title,Default Title,,,,,GEN-2eNG,0,shopify,100,deny,manual,200.00,417.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO-GEN-2eNG.jpg?v=1761679122,1,UNO GEN-2eNG,UNO GEN-2eNG | H Moon Hydro,Shop UNO GEN-2eNG by UNO at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,,Unknown,,Co2,"category:co2, category:catalog_index",TRUE,Title,Default Title,,,,,hmh00652,0,shopify,0,deny,manual,500.00,945.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/grozone_co2d.jpg?v=1761678844,1,CO2D: 0-5000 ppm Dual Zone CO2 Controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller | H Moon Hydro,Shop CO2D: 0-5000 ppm Dual Zone CO2 Controller by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,,Unknown,,Catalog Index,"category:catalog_index, category:controllers_timers",TRUE,Title,Default Title,,,,,hmh00652,0,shopify,0,deny,manual,500.00,945.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/grozone_co2d.jpg?v=1761678844,1,CO2D: 0-5000 ppm Dual Zone CO2 Controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller | H Moon Hydro,Shop CO2D: 0-5000 ppm Dual Zone CO2 Controller by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
waterfarm-reservoir-4-gal,WaterFarm Reservoir - 4 gal,,WaterFarm,,Containers Pots,"category:containers_pots, category:catalog_index, brand:WaterFarm",TRUE,Title,Default Title,,,,,hmh00503,0,shopify,0,deny,manual,20.00,,TRUE,TRUE,,,,WaterFarm Reservoir - 4 gal,WaterFarm Reservoir - 4 gal | H Moon Hydro,Shop WaterFarm Reservoir - 4 gal by WaterFarm at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
