Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
subculture-b-200gm-bag,SubCulture B 200gm. Bag,75G SubCulture B,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh00036,28.349523125,shopify,0,deny,manual,18.95,21.30,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/SubCulture_F-Right_Foil.jpg?v=1761679082,1,,false,,,,oz,,12.78,active
pulse-start-metal-halide-7000k-for-vegative-growth,"Pulse Start Metal Halide 7,000K for Vegative Growth",Plantmax 600w MH 7000k for Vegtative Growth,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh00856,28.349523125,shopify,4,deny,manual,78.15,,true,true,,,,,0752686296245,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/plantmax_pulse_9cf6381f-8d5c-4f79-bb29-51ca4d543164.jpg?v=1761679040,1,,false,,,,oz,,40.00,active
pulse-start-m-h-600w-10000k-for-final-flowering,"Pulse Start M.H.600W. 10,000K for Final Flowering","Plantmax 400w MH 10,000k for Final Flowering Growth",H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh00861,28.349523125,shopify,32,deny,manual,58.60,,true,true,,,,,0691111796532,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/plantmax_pulse_0b1b3c8e-6282-4a36-8b3e-49729d700675.jpg?v=1761679036,1,,false,,,,oz,,27.00,active
plagron-hydro-a-5-liter,Plagron Hydro A  5 Liter,Plagron Cocos A 0-4-2 /10 liter,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh01690,0.0,shopify,3,deny,manual,113.20,,true,true,,,,,8718104122048,,,,false,,,,lb,,56.60,active
plagron-cocos-a-liter,Plagron Cocos A liter,Plagron Cocos A 0-4-2 /10 liter,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh01684,283.49523125,shopify,3,deny,manual,113.20,,true,true,,,,,8718104122048,,,,false,,,,oz,,56.60,active
plagron-cocos-a-5-liter,Plagron Cocos A 5 liter,Plagron Cocos A 0-4-2 /10 liter,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh01685,566.9904625,shopify,3,deny,manual,113.20,,true,true,,,,,8718104122048,,,,false,,,,oz,,56.60,active
hydro-deuce-16-oz,Hydro-Deuce 16 oz,ph up 16 oz,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh00387,42.5242846875,shopify,0,deny,manual,11.73,,true,true,,,,,0000010000021,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/hydro-deuce_79d93119-c945-4046-9b87-daf83e2e0555.jpg?v=1761678943,1,,false,,,,oz,,5.00,active
flora-micro-16-oz,Flora Micro 16 oz,Physan 20™ 16 oz,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh00170,42.5242846875,shopify,1,deny,manual,11.99,,true,true,,,,,0722540001018,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FloraMicro_0a672234-f9af-4bcf-9f50-ab6ba5d4d263.jpg?v=1761678888,1,,false,,,,oz,,6.19,active
flora-bloom-275-gal,Flora Bloom 275 gal,N.C.R. Bloom 2.5 Gallon,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh01828,0.0,shopify,0,deny,manual,149.00,,true,true,,,,,3557648899999,,,,false,,,,lb,,86.00,active
flora-bloom-16-oz,Flora Bloom 16 oz,Physan 20™ 16 oz,H Moon Hydro,,simple,,false,Title,Default Title,,,,,,,,hmh00180,42.5242846875,shopify,1,deny,manual,11.99,,true,true,,,,,0722540001018,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FloraBloom_7b1c15d6-5fe8-4f8d-be75-52bcbd9344bf.jpg?v=1761678877,1,,false,,,,oz,,6.19,active
