Handle,Title,Option1 Name,Option1 Value,SKU,Barcode,Price,CompareAtPrice,Cost,Status,Vendor,ProductType,InventoryQuantity
1-4-in-tubing-black-500-ft-roll,1/4 in. TUBING BLACK (500 FT. ROLL),,,hmh00942,12111011622.0,11.95,,,ACTIVE,H Moon Hydro,simple,5
1-2-in-elbow-barbed-bag-of-50,1/2 in. Elbow Barbed (bag of 50),,,hmh00827,,31.5,,,ACTIVE,H Moon Hydro,simple,0
1-4-in-tubing-blue-500-ft-roll,1/4 in. TUBING BLUE (500 FT. ROLL),,,hmh00941,12111011622.0,11.95,,,DRAFT,H Moon Hydro,simple,5
1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",,,hmh00824,793094041669.0,1.95,,1.07,DRAFT,H Moon Hydro,simple,38
1-2-in-straight-barbed-bag-of-50,1/2 in. Straight Barbed (bag of 50),,,hmh00829,,27.5,,,ACTIVE,H Moon Hydro,simple,0
1-1-4-reservoir-filter,"1 1/4"" reservoir filter",,,hmh00621,757900616229.0,39.05,,23.95,ACTIVE,H Moon Hydro,simple,3
1-4-in-qc-stealth-small-boy,1/4 in. QC -STEALTH & SMALL BOY,,,hmh00947,812111010706.0,4.64,,2.75,ACTIVE,H Moon Hydro,simple,0
1-1-4-drain-overflow-tube,"1 1/4"" drain overflow tube",,,hmh00620,691117772356.0,4.04,,2.48,ACTIVE,H Moon Hydro,simple,8
1-grommet-bag-of-10,"1"" Grommet (bag of 10)",,,hmh00823,870883005306.0,11.24,,5.75,DRAFT,H Moon Hydro,simple,12
dutch-lighting-innovations-joule-series-1000w-de-120v-240v,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V,,,,,450.0,715.0,,ACTIVE,H Moon Hydro,simple,0
1-2-grommet-bag-of-25,"1/2"" Grommet (bag of 25)",,,hmh00822,6911111146332.0,0.64,,0.21,DRAFT,H Moon Hydro,simple,261
dutch-lighting-innovations-joule-series-1000w-de-220v-240v,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),,,SKID,,19000.0,21700.0,,ACTIVE,H Moon Hydro,simple,62
1-2-in-tee-barbed-bag-of-50,1/2 in. Tee Barbed (bag of 50),,,hmh00828,847127008829.0,0.44,,0.24,ACTIVE,H Moon Hydro,simple,0
1-2-fill-drain-fitting-bag-of-10,"1/2"" Fill & Drain Fitting (Bag of 10)",,,hmh00837,6911111176664.0,2.0,2.05,0.65,ACTIVE,H Moon Hydro,simple,0
1-2-in-tubing-neutral-250-ft-roll,1/2 in. TUBING NEUTRAL (250 FT. ROLL),,,hmh00945,12111011622.0,11.95,,,ACTIVE,H Moon Hydro,simple,5
1000-w-hps-alto-agrolite-xt-140000-lumens,1000 W HPS Alto Agrolite XT 140000 lumens,,,hmh00855,46677134686.0,79.95,,49.95,ACTIVE,H Moon Hydro,simple,16
10-in-hose-clamps,10 in. hose clamps,,,hmh01326,870883005962.0,4.3,,2.2,DRAFT,H Moon Hydro,simple,15
100-ft-diamond-silver-white-film,100 ft. Diamond Silver White Film,,,hmh01541,696859061455.0,158.36,162.0,95.0,DRAFT,H Moon Hydro,simple,4
10-max-fan-1023-cfm,"10"" Max-Fan, 1023 CFM",,,hmh00807,840470006697.0,475.69,433.31,219.0,DRAFT,H Moon Hydro,simple,1
10a-120v-w-battery-backup,10A 120V w/battery backup,,,hmh00936,,335.0,,,DRAFT,H Moon Hydro,simple,0
10-in-bucket-basket,10 in. Bucket Basket,,,hmh00832,718122809400.0,4.98,,2.25,DRAFT,H Moon Hydro,simple,20
10-x-10-x-10-y-connector,"10"" X 10"" X 10"" ""Y"" Connector",,,hmh00814,,33.29,,,ACTIVE,H Moon Hydro,simple,0
10-in-backdraft-damper,10 in. Backdraft Damper,,,hmh00785,840470004043.0,34.76,,21.33,DRAFT,H Moon Hydro,simple,2
10-can-filter-flange,"10"" CAN Filter Flange",,,hmh00726,628507302030.0,28.15,,17.28,DRAFT,H Moon Hydro,simple,2
10-in-x-25-ft-flexible-duct-w-2-clamps-included,10 in. x 25 ft flexible duct w/ 2 clamps included,,,hmh00801,1.111111111111111e+17,66.64,,40.0,DRAFT,H Moon Hydro,simple,0
10-flange,"10"" Flange",,,hmh00742,840470001042.0,16.29,,10.0,DRAFT,H Moon Hydro,simple,6
12-in-backdraft-damper,12 in. Backdraft Damper,,,hmh00786,840470004043.0,34.76,,21.33,DRAFT,H Moon Hydro,simple,2
10a-240v-w-battery-backup,10A 240V w/battery backup,,,hmh00937,,400.0,,,DRAFT,H Moon Hydro,simple,0
10ft-lamp-extention-power-cord,10ft. lamp Extention Power cord,,,hmh01783,,24.0,,20.0,ACTIVE,H Moon Hydro,simple,0
100-ft-black-white-panda-film-poly,100 ft. Black & White Panda Film (poly),,,hmh01544,696859061417.0,98.24,100.5,49.0,DRAFT,H Moon Hydro,simple,0
12-in-x-25-ft-flexible-duct-w-2-clamps-included,12 in. x 25 ft flexible duct w/ 2 clamps included,,,hmh00802,1.111111111111111e+17,66.64,,40.0,DRAFT,H Moon Hydro,simple,0
