handle,title,final_sku,sku_source,shopify_sku,inventory_sku,woo_sku
,BIG BOY KDF-85 CARBON FILTER- WELL WATER & CHLORAMINES,hmh00962,woo,,,hmh00962
,"Can-Fan 4"" high output 178 CFM",hmh00792,woo,,,hmh00792
,"Can-Fan 4"" standard output 142 CFM",hmh00791,woo,,,hmh00791
,"Can-Fan 6"" high output 440 CFM",hmh00794,woo,,,hmh00794
,"Can-Fan 6"" standard output 270 CFM",hmh00793,woo,,,hmh00793
,"Can-Fan 8"" standard output 493 CFM",hmh00795,woo,,,hmh00795
,Vortex Powerfans,hmh00637,woo,,,hmh00637
,"10"" Max-Fan, 1023 CFM",hmh00807,woo,,,hmh00807
,"12"" Max-Fan, 1709 CFM",hmh00808,woo,,,hmh00808
,"14"" Max-Fan, 1823 CFM",hmh00809,woo,,,hmh00809
,"16"" Max-Fan, 2436 CFM",hmh00810,woo,,,hmh00810
,"18"" Max-Fan, 3490 CFM",hmh01325,woo,,,hmh01325
,38-Special by Can-Filters,hmh00662,woo,,,hmh00662
,"8"" Max-Fan, 675 CFM",hmh00806,woo,,,hmh00806
,Big Boy Carbon filter,hmh00960,woo,,,hmh00960
,Can Filter W HO CFM Fan Combo freight shipping ONLY,,none,,,
,"Can-Fan 10"" high output 781 CFM",hmh00796,woo,,,hmh00796
,"Can-Fan 12"" high output 971 CFM",hmh00797,woo,,,hmh00797
,"Can-Filter 100 W/ 8"" HO 620 CFM Fan Combo (freight shipping ONLY)",hmh00700,woo,,,hmh00700
,"Can-Filter 75 W/ 8"" HO 559 CFM Fan Combo (freight shipping ONLY)",hmh00699,woo,,,hmh00699
,"Can-Lite 14"" w/ Flange attached (2200 cfm)",hmh01240,woo,,,hmh01240
,Can-Lite Filters,hmh00998,woo,,,hmh00998
,Hurricane Inline Fan,,none,,,
,"Hurricane Inline Fan 6""",hmh01245,woo,,,hmh01245
,"Hurricane Inline Fan 8""",hmh01246,woo,,,hmh01246
,JetFan Blower 12 in. @1140 cfm,hmh00781,woo,,,hmh00781
,PROfilter reversible carbon filters,,none,,,
,STEALTH RO 100/200 CARBON FILTER,hmh00957,woo,,,hmh00957
,Thermostatically Controlled Centrifugal Fans,hmh00640,woo,,,hmh00640
teaming-with-fungi-the-organic-growers-guide-to-mycorrhizae,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,HMH-BOK-A22548,derived,,,
teaming-with-microbes,Teaming with Microbes,hmh00001,shopify,hmh00001,213,hmh00001
teaming-with-nutrients,Teaming with Nutrients,2491,inventory,,2491,
rosin-pro-press-co-manual-2,ROSIN PRO PRESS CO. Manual,hmh01775,shopify,hmh01775,,hmh01775
"Yes,H Moon Hydro,,simple,208-400V","Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC,false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1099.00,1139.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/dutch-lighting-innovations-diode-series-led-multilayer-600-fs-dc-208-400v.webp?v=1761678863,1,Foldable design Plug & play principle The Dutch Lighting Innovations Diode-Series LED Multilayer 600 FS-DC is an innovative",HMH-BOK-EBA918,derived,,,
cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation,HMH-BOK-5AD386,derived,,,
1.5cu ft - Bag - Blend of Fine Coir,Coarse Peat,error:0},woo,,,error:0}
uno-gen-1-elp-propane,UNO GEN-1 elp Propane,GEN-1eLP,shopify,GEN-1eLP,,
uno-gen-2eng,UNO GEN-2eNG,GEN-2eNG,shopify,GEN-2eNG,,GEN-2eNG
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,hmh00652,shopify,hmh00652,,hmh00652
co2d-0-5000-ppm-dual-zone-co2-controller,CO2D: 0-5000 ppm Dual Zone CO2 Controller,hmh00652,shopify,hmh00652,,hmh00652
waterfarm-reservoir-4-gal,WaterFarm Reservoir - 4 gal,hmh00503,shopify,hmh00503,,hmh00503
the-root-pouch-30-gallon-w-handle,The Root Pouch 30 Gallon w/ Handle,hmh01136,shopify,hmh01136,,hmh01136
the-root-pouch-2-gallon,The Root Pouch 2 Gallon,hmh01128,shopify,hmh01128,,hmh01128
the-root-pouch-3-gallon,The Root Pouch 3 Gallon,hmh01129,shopify,hmh01129,,hmh01129
the-root-pouch-15-gallon-w-handle,The Root Pouch 15 gallon w/ Handle,hmh01133,shopify,hmh01133,,hmh01133
the-root-pouch-10-gallon,The Root Pouch 10 Gallon,hmh01132,shopify,hmh01132,,hmh01132
the-root-pouch-35-gallon-w-handle,The Root Pouch 35 Gallon w/ Handle,hmh01137,shopify,hmh01137,,hmh01137
the-root-pouch-45-gallon-w-handle,The Root Pouch 45 Gallon w/ Handle,hmh01138,shopify,hmh01138,,hmh01138
the-root-pouch-100-gallon-w-handle,The Root Pouch 100 Gallon w/ Handle,hmh01140,shopify,hmh01140,,hmh01140
the-root-pouch-7-gallon,The Root Pouch 7 Gallon,hmh01131,shopify,hmh01131,,hmh01131
the-root-pouch-20-gallon-w-handle,The Root Pouch 20 Gallon w/ Handle,hmh01134,shopify,hmh01134,,hmh01134
the-root-pouch-65-gallon-w-handle,The Root Pouch 65 Gallon w/ Handle,hmh01139,shopify,hmh01139,,hmh01139
the-root-pouch-25-gallon-w-handle,The Root Pouch 25 Gallon w/ Handle,hmh01135,shopify,hmh01135,,hmh01135
the-root-pouch-1-gallon,The Root Pouch 1 Gallon,hmh01127,shopify,hmh01127,,hmh01127
standard-black-bucket-lid,Standard Black Bucket lid,hmh01759,shopify,hmh01759,,hmh01759
standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,hmh01757,shopify,hmh01757,,hmh01757
standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,hmh01758,shopify,hmh01758,,hmh01758
self-watering-fabric-pot-base-4-pack,"Self-Watering Fabric Pot Base, 4-Pack",HMH-POT-9E1130,derived,,,
mondi-super-saucer-14,"Mondi Super Saucer 14""",hmh01193,shopify,hmh01193,,hmh01193
mondi-super-saucer-12,"Mondi Super Saucer 12""",hmh01192,shopify,hmh01192,,hmh01192
mondi-super-saucer-10,"Mondi Super Saucer 10""",hmh01191,shopify,hmh01191,,hmh01191
gro-pro-12-air-pot,"GRO PRO 12"" AIR POT",hmh01760,shopify,hmh01760,,hmh01760
f-h-d-super-saucer-8,"F.H.D. Super Saucer 8""",hmh01190,shopify,hmh01190,,hmh01190
cocotek-planter-14-in,CocoTek Planter 14 in.,hmh00115,shopify,hmh00115,,hmh00115
ac-infinity-self-watering-fabric-pot-base-xl-4-pack,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack",HMH-POT-2DA0A7,derived,,,
6-net-pot,"6"" Net Pot",hmh01322,shopify,hmh01322,1542,hmh01322
6-net-pot,"6"" Net Pot",hmh01322,shopify,hmh01322,1542,hmh01322
6-in-net-pot-case-of-50,6 in. Net-Pot (case of 50),hmh00843,shopify,hmh00843,,hmh00843
6-in-bucket-basket,6 in. Bucket Basket,hmh00831,shopify,hmh00831,,hmh00831
5-net-pot,"5"" Net Pot",hmh01323,shopify,hmh01323,814,hmh01323
5-net-pot,"5"" Net Pot",hmh01323,shopify,hmh01323,814,hmh01323
4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,hmh00833,shopify,hmh00833,,hmh00833
3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),hmh00842,shopify,hmh00842,,hmh00842
10-in-bucket-basket,10 in. Bucket Basket,hmh00832,shopify,hmh00832,,hmh00832
1-1-4-reservoir-filter,"1 1/4"" reservoir filter",hmh00621,shopify,hmh00621,,hmh00621
tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,hmh00634,shopify,hmh00634,,hmh00634
uno-single-mechanical-timer,UNO Single Mechanical Timer,hmh01321,shopify,hmh01321,2268,hmh01321
uno-single-mechanical-timer,UNO Single Mechanical Timer,hmh01321,shopify,hmh01321,2268,hmh01321
timer-frequency-duration-no-photo-eye,Timer / frequency & duration (no photo eye),hmh00930,shopify,hmh00930,,hmh00930
timer-frequency-duration-photo-eye,Timer/frequency& duration / photo-eye,hmh00931,shopify,hmh00931,,hmh00931
cyc-4p-repeat-cycle-timer,CYC-4P - Repeat Cycle Timer,hmh00630,shopify,hmh00630,,hmh00630
24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,hmh00932,shopify,hmh00932,,hmh00932
24-hour-clock-timers,24 Hour Clock Timers,hmh00933,shopify,hmh00933,,hmh00933
mechanical-timers,Mechanical Timers,hmh00629,woo,,,hmh00629
cst-1p-timer-frequency-duration,CST-1(P) Timer / frequency & duration,hmh00631,woo,,,hmh00631
24-dt-1-24-hour-clock-timer,24-DT-1 -- 24 Hour Clock Timer,hmh00632,woo,,,hmh00632
thermostatically-controlled-centrifugal-fans,Thermostatically Controlled Centrifugal Fans,hmh00640,woo,,,hmh00640
digital-timers,Digital Timers,hmh01320,woo,,,hmh01320
uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector",hmh01268,shopify,hmh01268,,
uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector",hmh01268,shopify,hmh01268,,
sunsoaker-parabolic-reflector-w-horizonal-socket-bracket,SunSoaker Parabolic Reflector w/ Horizonal Socket bracket,hmh00513,shopify,hmh00513,,hmh00513
sunsoaker-parabolic-reflector-w-horizonal-socket-bracket,SunSoaker Parabolic Reflector w/ Horizonal Socket bracket,hmh00513,shopify,hmh00513,,hmh00513
panda-double-ended-reflector-medium,Panda-Double Ended Reflector- Medium,hmh01553,shopify,hmh01553,,hmh01553
light-rail-5-motor-crossbar-8-rail,"Light Rail 5 Motor, Crossbar, 8' rail",hmh00894,shopify,hmh00894,,hmh00894
light-rail-5-4ft-auxilary-rail,Light Rail 5 4ft auxilary rail,hmh00896,shopify,hmh00896,,hmh00896
light-rail-5-crossbar-mounting-kit,Light Rail 5 Crossbar Mounting Kit,hmh00895,shopify,hmh00895,,hmh00895
basic-600w-hps-ballast,Basic 600w HPS Ballast,hmh01247,shopify,hmh01247,,hmh01247
basic-600w-hps-ballast,Basic 600w HPS Ballast,hmh01247,shopify,hmh01247,,hmh01247
8-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long,"8 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long",hmh00518,shopify,hmh00518,,hmh00518
8-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long,"8 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long",hmh00518,shopify,hmh00518,,hmh00518
6-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long,"6 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long",hmh00519,shopify,hmh00519,,hmh00519
6-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long,"6 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long",hmh00519,shopify,hmh00519,,hmh00519
240v-20ft-power-cords,240V 20ft. Power Cords,hmh01782,shopify,hmh01782,,hmh01782
240-volt-power-cord-8-ft,240 Volt Power cord 8 ft .,hmh00512,shopify,hmh00512,,hmh00512
10ft-lamp-extention-power-cord,10ft. lamp Extention Power cord,hmh01783,shopify,hmh01783,,hmh01783
ac-infinity-controller-ai-environmental-controller,AC Infinity/CONTROLLER AI+ Environmental Controller,HMH-ENV-A87362,derived,,,
all-mesh-extraction-bags-3-bag-kit,All Mesh Extraction Bags - 3 Bag Kit,hmh01259,shopify,hmh01259,,hmh01259
aphrodites-extraction-gallon,Aphrodite's Extraction Gallon,hmh01373,shopify,hmh01373,,hmh01373
aphrodites-extraction-quart,Aphrodite's Extraction Quart,hmh01372,shopify,hmh01372,,hmh01372
premier-tech-pro-mix-hp-mycorrhizae3-8-cf,Premier Tech Pro-Mix® HP Mycorrhizae™3.8 cf.,HMH-GRO-AA78A8,derived,,,
premier-tech-pro-mix-hp-mycorrhizae-loose-fill,Premier Tech Pro-Mix® HP Mycorrhizae™ - Loose Fill,HMH-GRO-2AADC2,derived,,,
plant-life-easy-grow-plus-500-gm,Plant Life Easy Grow Plus 500 gm,HMH-GRO-E46C02,derived,,,
mother-earth-terracraft-potting-soil,Mother Earth® Terracraft™ Potting Soil,HMH-GRO-27B437,derived,,,
introducing-the-scietetics-coco-8-block-1-5gal,"Introducing the SCIETETICS COCO 8"" BLOCK / 1.5Gal,",HMH-GRO-4AABAF,derived,,,
grodan-hugo-6in-x-6in-x-6in-pre-cut-holes,Grodan Hugo - 6in x 6in x 6in - Pre-Cut Holes,HMH-GRO-263574,derived,,,
grodan-gro-block-improved-gr22-jumbo-with-hole-6-x-6-x-4-case-of-64,"Grodan Gro-Block Improved  Jumbo with Hole, 6"" x 6"" x 4"" - Case of 64",HMH-GRO-21D6A8,derived,,,
gardening-indoors-with-rockwool,Gardening Indoors with Rockwool,hmh00009,shopify,hmh00009,,hmh00009
botanicare-organicare-true-earth-potting-mix-o-m-r-i,Botanicare Organicare True Earth Potting Mix (O.M.R.I.),HMH-GRO-810EA9,derived,,,
bio365-bioblend-high-porosity-blend-1-5cu-ft-bag-blend-of-fine-coir-coarse-peat-super-coarse-perlite,"bio365™ BIOBLEND™ High Porosity Blend - 1.5cu ft - Bag - Blend of Fine Coir, Coarse Peat, & Super Coarse Perlite",HMH-GRO-06967D,derived,,,
rapid-rooter-rooting-plugs,Rapid Rooter Rooting Plugs,hmh00116,woo,,,hmh00116
