Handle,Title,SKU,Price,Inventory,Value
dutch-lighting-innovations-joule-series-1000w-de-220v-240v,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),SKID,19000.0,62,1178000.0
scietetics-ful-v-tech-element-transfer-system-255-gallon,Scietetics Ful V Tech Element Transfer System 255 Gallon,,14000.0,3,42000.0
scietetics-ful-v-tech-element-transfer-system-55-gallon,Scietetics Ful V Tech Element Transfer System 55 Gallon,,2999.0,8,23992.0
uno-gen-2eng,UNO GEN-2eNG,GEN-2eNG,200.0,100,20000.0
uno-gen-1-elp-propane,UNO GEN-1 elp Propane,GEN-1eLP,175.0,100,17500.0
purple-label-indica,Purple Label * Indica,,75.97,100,7597.0
green-label-wash,Green Label * WASH,,75.97,100,7597.0
amber-label-sativa,Amber Label * Sativa,,75.97,100,7597.0
yellow-label-finisher,Yellow Label * Finisher,,75.97,99,7521.03
gold-label-hybrid,GOLD LABEL * HYBRID,,75.97,99,7521.03
alfa-grease-alfalfa-extract,Alfa Grease * Alfalfa Extract,,32.97,100,3297.0
super-grease-canna-super-labs,Super Grease * Canna Super Labs,,29.97,100,2997.0
grow-grease-fermented-vegetative-plant-juice,Grow Grease * Fermented Vegetative Plant Juice,,29.97,100,2997.0
bloom-grease-fermented-flowering-plant-juice,Bloom Grease * Fermented Flowering Plant Juice,,29.97,100,2997.0
golden-gun-nano-sulfur,Golden Gun * Nano Sulfur,,29.97,99,2967.0299999999997
grodan-hugo-6in-x-6in-x-6in-pre-cut-holes,Grodan Hugo - 6in x 6in x 6in - Pre-Cut Holes,,250.0,10,2500.0
og-grease-trace-booster,OG Grease * Trace Booster,,19.97,100,1997.0
blue-grease-algae-extract,Blue Grease * Algae Extract,,19.97,100,1997.0
bison-extract-liquid-compost-tea,Bison Extract * Liquid Compost Tea,,19.97,100,1997.0
scietetics-ful-v-tech-element-transfer-system-2-5-gallon,Scietetics Ful V Tech Element Transfer System 2.5 Gallon,,140.0,8,1120.0
cloudray-s9-gen-2-grow-tent-clip-fan-9-oscillating,"CLOUDRAY S9, Gen 2 Grow Tent Clip Fan 9” Oscillating",,99.0,10,990.0
scietetics-ful-v-tech-element-transfer-system-5-gallon,Scietetics Ful V Tech Element Transfer System 5 Gallon,,250.0,3,750.0
scietetics-ful-v-tech-element-transfer-system-gallon,Scietetics Ful V Tech Element Transfer System Gallon,,69.0,8,552.0
scietetics-ful-v-tech-element-transfer-system-15-gallon,Scietetics Ful V Tech Element Transfer System 15 Gallon,,69.0,8,552.0
