Id,Name,Slug,"Term Taxonomy Id",Taxonomy,"Parent Id","Parent Slug",Description,"Term Group",Count,"Category Image","Woocommerce Term Meta"
48,"MAKE AMERICA GROW AGAIN",make-america-grow-again,48,product_cat,0,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
118,"Complete Light Systems",complete-light-systems,118,product_cat,107,,"Complete Light Systems",0,0,,"a:3:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}}"
142,"Humboldt Nutrients",humboldt-nutrients,142,product_cat,105,,"Humboldt Nutrients",0,0,,"a:4:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:3:""138"";}}"
229,"Compact Flourescent",compact-flourescent,229,product_cat,117,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
236,"Nutrilife SM-90",nutrilife-sm-90,236,product_cat,105,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
237,"COMPLTET LIGT SYSTEMS",compltet-ligt-systems,237,product_cat,107,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
243,Books,books,243,product_cat,0,,,0,8,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""8"";}}"
253,"Humboldt Nutrients",humboldt-nutrients-nutrients-supplements,253,product_cat,245,,,0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""5"";}}"
258,HYGROZYME,hygrozyme,258,product_cat,245,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
259,"RTI Mycorrhizal",rti-mycorrhizal,259,product_cat,245,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
269,"Compact Flourescent",compact-flourescent-bulbs,269,product_cat,268,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
270,Combo:Ballast/Reflector,comboballast-reflector,270,product_cat,262,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
282,Philips,philips,282,product_cat,268,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
283,Plantmax,plantmax,283,product_cat,268,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
285,SolarMAX,solarmax,285,product_cat,268,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
287,"Garden Tools",garden-tools,287,product_cat,0,,,0,6,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""5"";}}"
292,"Climate Controllers",climate-controllers,292,product_cat,0,,,0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""11"";}}"
293,"GroZone Controllers",grozone-controllers,293,product_cat,292,climate-controllers,,0,10,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""6"";}}"
294,"R&amp;M C.A.P. Controllers",rm-c-a-p-controllers,294,product_cat,292,climate-controllers,,0,5,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""5"";}}"
300,"DigiLamp 945 CMH",digilamp-945-cmh,300,product_cat,268,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
314,"IMPULSE 1000 W D/E",impulse-1000-w-d-e,314,product_cat,268,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
328,"Nutrilife SM-90",nutrilife-sm-90-nutrients-supplements,328,product_cat,245,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
329,"COMPLTET LIGT SYSTEMS",compltet-ligt-systems-grow-lights-ballast,329,product_cat,262,,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
332,"Nutrients &amp; Supplements",nutrients-supplements,332,product_cat,0,,,0,7,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:3:""193"";}}"
333,"General Hydroponics",general-hydroponics,333,product_cat,332,nutrients-supplements,,0,127,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""10"";}}"
335,"General Organics",general-organics,335,product_cat,332,nutrients-supplements,,0,40,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
337,"Propagation Supplies",propagation-supplies,337,product_cat,0,,,0,47,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""21"";}}"
338,"Atami B`Cuzz",atami-bcuzz,338,product_cat,332,nutrients-supplements,,0,61,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""17"";}}"
341,"Future Harvest Development",future-harvest-development,341,product_cat,332,nutrients-supplements,,0,118,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""19"";}}"
342,"Humboldt Nutrients",humboldt-nutrients-nutrients-supplements,342,product_cat,332,nutrients-supplements,,0,0,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""32"";}}"
343,Nutrients,nutrients,343,product_cat,342,humboldt-nutrients-nutrients-supplements,,0,52,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""13"";}}"
345,"Organic Nutrients",organic-nutrients,345,product_cat,342,humboldt-nutrients-nutrients-supplements,,0,48,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""12"";}}"
347,"Plant Enhancements",plant-enhancements,347,product_cat,342,humboldt-nutrients-nutrients-supplements,,0,39,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""9"";}}"
348,"Natural Science Research",natural-science-research,348,product_cat,332,nutrients-supplements,,0,12,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
350,HYGROZYME,hygrozyme-nutrients-supplements,350,product_cat,332,nutrients-supplements,,0,6,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
351,"RTI Mycorrhizal",rti-mycorrhizal-nutrients-supplements,351,product_cat,332,nutrients-supplements,,0,14,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""9"";}}"
352,"Growing Medium",growing-medium,352,product_cat,0,,,0,50,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""20"";}}"
353,"Pots &amp; Containers",pots-containers,353,product_cat,0,,,0,25,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""9"";}}"
354,"Grow Lights Ballast",grow-lights-ballast,354,product_cat,0,,,0,15,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""86"";}}"
355,"Magnetic Ballasts",magnetic-ballasts,355,product_cat,354,grow-lights-ballast,,0,13,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""4"";}}"
