Product Title,SKU,Quantity,Unit Price,Total Value
“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),SKID,62,$19000.00,$1178000.00
Scietetics Ful V Tech Element Transfer System 255 Gallon,,3,$14000.00,$42000.00
Scietetics Ful V Tech Element Transfer System 55 Gallon,,8,$2999.00,$23992.00
UNO GEN-2eNG,GEN-2eNG,100,$200.00,$20000.00
UNO GEN-1 elp Propane,GEN-1eLP,100,$175.00,$17500.00
Purple Label * Indica,,100,$75.97,$7597.00
Green Label * WASH,,100,$75.97,$7597.00
Amber Label * Sativa,,100,$75.97,$7597.00
Yellow Label * Finisher,,99,$75.97,$7521.03
GOLD LABEL * HYBRID,,99,$75.97,$7521.03
Alfa Grease * Alfalfa Extract,,100,$32.97,$3297.00
Super Grease * Canna Super Labs,,100,$29.97,$2997.00
Grow Grease * Fermented Vegetative Plant Juice,,100,$29.97,$2997.00
Bloom Grease * Fermented Flowering Plant Juice,,100,$29.97,$2997.00
Golden Gun * Nano Sulfur,,99,$29.97,$2967.03
Grodan Hugo - 6in x 6in x 6in - Pre-Cut Holes,,10,$250.00,$2500.00
OG Grease * Trace Booster,,100,$19.97,$1997.00
Blue Grease * Algae Extract,,100,$19.97,$1997.00
Bison Extract * Liquid Compost Tea,,100,$19.97,$1997.00
Scietetics Ful V Tech Element Transfer System 2.5 Gallon,,8,$140.00,$1120.00
"CLOUDRAY S9, Gen 2 Grow Tent Clip Fan 9” Oscillating",,10,$99.00,$990.00
Scietetics Ful V Tech Element Transfer System 5 Gallon,,3,$250.00,$750.00
Scietetics Ful V Tech Element Transfer System Gallon,,8,$69.00,$552.00
Scietetics Ful V Tech Element Transfer System 15 Gallon,,8,$69.00,$552.00
