priority,unitsSold,hasSizeToken,sizeToken,hasLiquidHint,liquidCategory,nonLiquidCategory,blockedByNameTerm,Type,SKU,Name,Brands,Categories
1,27.0,no,,no,no,yes,no,simple,hmh01759,Standard Black Bucket lid,Standard Black,containers_pots
2,0,no,,no,yes,no,no,simple,2473,ZeroTol HC fungicide Algaecide,BFG,pest_control
3,0,no,,no,yes,no,no,simple,221,Zero Tolerance Pesticide,Nickel City Wholesale Garden Supply,pest_control
4,0,no,,yes,yes,no,no,simple,hmh00056,Yield Up 9-47-9,Nickel City Wholesale Garden Supply,nutrients
5,0,no,,no,yes,no,no,simple,3559,Yellow Sensor cards 3x4.5-30 pk,BFG,pest_control
6,0,no,,no,no,no,no,simple,1691,Y-Connector 8x8x8,NGW,irrigation
7,0,no,,no,no,no,no,simple,1690,Y-Connector 8x6x6,NGW,irrigation
8,0,no,,no,no,no,no,simple,1689,Y-Connector 6x6x6,NGW,irrigation
9,0,no,,no,no,no,no,simple,1688,Y-Connector 6x4x4,NGW,irrigation
10,0,no,,no,no,no,no,simple,1687,Y-Connector 4x4x4,NGW,irrigation
11,0,no,,no,no,no,no,simple,1693,Y-Connector 12x12x12,NGW,irrigation
12,0,no,,no,no,no,no,simple,1694,Y-Connector 12x10x10,NGW,irrigation
13,0,no,,no,no,no,no,simple,1692,Y-Connector 10x8x8,NGW,irrigation
14,0,no,,yes,yes,no,no,simple,3271,Xtreme Gardening Azos 2,Hawthorne Hydoponics LLC,nutrients
15,0,no,,no,no,no,no,simple,3611,Wormganic OMIR Worm Castings1ft,BFG,grow_media
16,0,no,,no,no,yes,no,simple,709,Worm Gear Clamp 8,Nickel City Wholesale Garden Supply,Accessories
17,0,no,,no,no,yes,no,simple,708,Worm Gear Clamp 6,Nickel City Wholesale Garden Supply,Accessories
18,0,no,,no,no,yes,no,simple,707,Worm Gear Clamp 4,Nickel City Wholesale Garden Supply,Accessories
19,0,no,,no,no,yes,no,simple,1125,Worm Gear Clamp 12,Nickel City Wholesale Garden Supply,Accessories
20,0,no,,no,no,yes,no,simple,1126,Worm Gear Clamp 10,Nickel City Wholesale Garden Supply,Accessories
21,0,no,,no,no,no,no,simple,2113,White CO2 Washer,Nickel City Wholesale Garden Supply,co2
22,0,no,,no,no,no,no,simple,2149,Waterpower Pump Filter,Nickel City Wholesale Garden Supply,irrigation
23,0,no,,no,no,no,no,simple,807,Watering Wand w/ Thumb Slide,Nickel City Wholesale Garden Supply,irrigation
24,0,no,,no,no,yes,no,simple,2146,Waterfarm Outer Bucket,Nickel City Wholesale Garden Supply,containers_pots
25,0,no,,no,no,yes,no,simple,2145,Waterfarm Inner Bucket,Nickel City Wholesale Garden Supply,containers_pots
26,0,no,,no,no,no,no,simple,832,WaterPower 120 Pump,Nickel City Wholesale Garden Supply,irrigation
27,0,no,,no,no,no,no,simple,1453,Water purfication filter Tap,,water_filtration
28,0,no,,no,no,no,no,simple,2881,Water Catalytic Carbon Filter,Sunlight Supply inc.,water_filtration
29,0,no,,no,no,no,no,simple,3467,Wachsen Rolling Bench 10'-13,D.L. Wholesale,Hydroponics Components
30,0,no,,no,no,yes,no,simple,3473,Wachsen Bud Sorter Blue Trellis,D.L. Wholesale,Accessories
31,0,no,,no,no,no,no,simple,3646,Wachsen 5' Rolling Bench 10'-13,D.L. Wholesale,irrigation
32,0,no,,no,no,no,no,simple,3493,Wachs4'RollingBench13.5-19.5trl,D.L. Wholesale,Hydroponics Components
33,0,no,,no,no,yes,no,simple,2958,Vortex Powerfans,Nickel City Wholesale Garden Supply,airflow
34,0,no,,no,no,no,no,simple,721,Vortex 16XL V-Series Inline,Nickel City Wholesale Garden Supply,irrigation
35,0,no,,yes,yes,no,no,simple,hmh01020,VooDoo Juice Root Booster,Voodoo Juice,nutrients
36,0,no,,no,no,no,no,simple,3250,Voltage Converter inverter5000W,Amazon,Lighting Equipment
37,0,no,,no,no,yes,no,simple,3440,Voltage Converter inverter3000W,Amazon,Accessories
38,0,no,,no,no,no,no,simple,3287,Voltage Converter inverter1000W,@Flowers-HEMP,Lighting Equipment
39,0,no,,no,no,yes,no,simple,1082,Vine Clip,NGW,Accessories
40,0,no,,no,no,yes,no,simple,2049,Velcro Plant Ties,NGW,Accessories
41,0,no,,yes,yes,no,no,simple,3321,Vegan Mix 3-2-2 - - OMRI,BFG,nutrients
42,0,no,,no,no,no,no,simple,3362,VP DOME 48x18x72,Athena,propagation
43,0,no,,no,no,no,no,simple,hmh00607,VEGETATIVE - MH Ballast,,grow_lights
44,0,no,,no,no,no,no,simple,hmh00606,VEGETATIVE - HPS Ballast,,grow_lights
45,0,no,,yes,yes,no,no,simple,3062,VC- PKBoost SuperFlower1-13-6,Sunlight Supply inc.,nutrients
46,0,no,,no,no,yes,no,simple,1766,Uv Sterilizer Kit,Nickel City Wholesale Garden Supply,Environment Control
47,0,no,,yes,no,no,no,simple,1444,Upgrade Kit SB-Stealth RO100,Nickel City Wholesale Garden Supply,water_filtration
48,0,no,,no,no,yes,no,simple,1445,Upgrade Kit R0100 to RO200,Nickel City Wholesale Garden Supply,Environment Control
49,0,no,,yes,no,no,no,simple,1863,Ultragrow Re-Cool Tube 6,Nickel City Wholesale Garden Supply,Lighting Equipment
50,0,no,,yes,no,no,no,simple,752,Ultragrow Cool Tube,Nickel City Wholesale Garden Supply,grow_lights
51,0,no,,no,no,no,no,simple,757,Ultragrow A/C . with saftey glass & socket set w/ 15 ft cord,Nickel City Wholesale Garden Supply,hid_bulbs
52,0,no,,yes,no,no,no,simple,1299,Ultragrow 4'-8 Tube T5 Fixture,Nickel City Wholesale Garden Supply,grow_lights
53,0,no,,no,no,no,no,simple,3659,UltraGrow 6 lamp T5 /4ft,Nickel City Wholesale Garden Supply,grow_lights
54,0,no,,no,no,yes,no,simple,2667,UltraGrow 240v Mechanical Timer,Nickel City Wholesale Garden Supply,controllers_timers
