parent_sku,parent_name,subline,subline_children_count,subline_children,regular_children_count,suggested_action
hmh00057,Bud Boom,Liquid,6,Liquid Bud Boom 250ml | Liquid Bud Boom 1L | Liquid Bud Boom 4L | Liquid Bud Boom 500ml | Liquid Bud Boom  2.5 gal | Liquid Bud Boom 6 gal,3,"Split ""Liquid"" children into separate grouped parent ""Bud Boom Liquid"""
hmh00058,Bud Start,Liquid,5,Liquid Bud Start 500ml | Liquid Bud Start  6 gal | Liquid Bud Start 250ml | Liquid Bud Start 4L | Liquid Bud Start 1L,2,"Split ""Liquid"" children into separate grouped parent ""Bud Start Liquid"""
hmh00059,Carbo Blast,Liquid,5,Liquid Carbo Blast 500ml | Liquid Carbo Blast 1L | Liquid Carbo Blast 4L | Liquid Carbo Blast 2.5 Gal | Liquid Carbo Blast 6 Gal.,3,"Split ""Liquid"" children into separate grouped parent ""Carbo Blast Liquid"""
hmh00066,Ton O Bud 0-10-6,Liquid,6,Liquid Ton-O-Bud 250ml | Liquid Ton-O-Bud 500ml | Liquid Ton-O-Bud 1L | Liquid Ton-O-Bud 4L | Liquid Ton-O-Bud 2.5 gal | Liquid Ton O Bud 6 gal,3,"Split ""Liquid"" children into separate grouped parent ""Ton O Bud 0-10-6 Liquid"""
hmh00143,ONA Block,Pro,1,ONA Pro Block 6oz,1,"Split ""Pro"" children into separate grouped parent ""ONA Block Pro"""
hmh00145,ONA Gel,Pro,4,ONA Pro Gel (1 qt) | ONA Pro Gel (1 gal) | ONA Pro Gel Bucket (5 gal) | Ona Pro Gel Pail (1 Gal),4,"Split ""Pro"" children into separate grouped parent ""ONA Gel Pro"""
hmh00584,Accessories & Components,Pro,1,FLOAT KIT MERLIN GARDEN PRO,21,"Split ""Pro"" children into separate grouped parent ""Accessories & Components Pro"""
hmh00648,Can Filter Flanges,Max,4,14″ Can Filter Flange Max | 16″ Can Filter Flange Max | 18″ Can Filter Flange Max | 20″ Can Filter Flange Max,3,"Split ""Max"" children into separate grouped parent ""Can Filter Flanges Max"""
hmh00661,PROfilter reversible carbon filters,Pro,11,PRO 50 – 6″ Reversible-450 cfm. | PRO 70s – 6″ Non-rev.-400 cfm. | PRO 75 – 6″ Reversible – 640 cfm. | PRO 100 – 8″ Reversible – 900 cfm(freight shipping ONLY) | PRO 125 – 10″ Reversible – 1140 cfm (freight shipping ONLY) | Pre-Filter for Model Pro 45s | Pre-Filter for Model Pro 50 | Pre-Filter for Model Pro 70s | Pre-Filter for Model Pro 75 | Pre-Filter for Model Pro 100 | Pre-Filter for Model Pro 125,5,"Split ""Pro"" children into separate grouped parent ""PROfilter reversible carbon filters Pro"""
hmh01004,Big Bud Bloom Booster,Powder,2,Big Bud Bloom Booster (130g powder) | Big Bud Bloom Booster (500g powder),3,"Split ""Powder"" children into separate grouped parent ""Big Bud Bloom Booster Powder"""
hmh01352,ONA Spray,Pro,1,ONA Pro Spray 8oz,1,"Split ""Pro"" children into separate grouped parent ""ONA Spray Pro"""
hmh01748,Clonex Root Maximizer - Granular/ for soil applications,Soluble,3,Clonex Mycorrhizae Root Maximizer 4 OZ Soluble | Clonex Mycorrhizae Root Maximizer 8 OZ Soluble | Clonex Mycorrhizae Root Maximizer 1 pound Soluble,0,"Split ""Soluble"" children into separate grouped parent ""Clonex Root Maximizer - Granular/ for soil applications Soluble"""
