id,sku,name,type,categories,img_file,img_url,score,name_tokens,matching_tokens,flag_reason
75857,hmh01352-pro,ONA Spray Pro,grouped,Odor Control,ONA-Gel-collage.jpg,https://hmoonhydro.com/wp-content/uploads/2019/08/ONA-Gel-collage.jpg,0.333,ona pro spray,ona,
75856,hmh00143-pro,ONA Block Pro,grouped,Odor Control,OCMOBK150DWAC.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/OCMOBK150DWAC.jpg,0.000,block ona pro,,LOW_SCORE (0.00)
75855,hmh00648-max,Can Filter Flanges Max,grouped,Air &amp; Filtration,can-filters-flanges.jpg,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,1.000,,,
75854,hmh00998,Can-Lite Filters,grouped,Air &amp; Filtration,Can-Lite-Filters.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/Can-Lite-Filters.jpg,1.000,filters lite,filters lite,
74510,282,BioThrive,variable,Hydroponic Systems | Organic Growing | Nutrients &amp; Supplements,biothrive.jpg,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,1.000,biothrive,biothrive,
74508,750,BioChar FlowerFinisher1-5-7/,simple,Hydroponic Systems | Indoor Growing | Organic Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,biochar flowerfinisher,,LOW_SCORE (0.00)
74506,HMH-BIO365ST-7C156C4D,Bio 365 Start,variable,Beginner Kits | Hydroponic Systems | Indoor Growing | Organic Growing | Growing Media,Dramm_K-30_20-BIO_Dual_Start_PulsFOG_main_image.png,https://hmoonhydro.com/wp-content/uploads/2026/02/Dramm_K-30_20-BIO_Dual_Start_PulsFOG_main_image.png,1.000,bio start,bio start,
74505,387,Bimatrix Xtra-Long Slab,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,vidawool_slap_pallet_image_1_2.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/vidawool_slap_pallet_image_1_2.jpg,0.000,bimatrix long slab xtra,,LOW_SCORE (0.00)
74504,388,BiMatrix Slab,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bimatrix slab,,LOW_SCORE (0.00)
74503,677,Big Up Powder 0-33-23,variable,Hydroponic Systems | Indoor Growing | Organic Growing | Nutrients &amp; Supplements,12217.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/12217.jpg,0.000,big powder up,,LOW_SCORE (0.00)
74502,208,Big Shot Measuring Glass,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,740625-01_1.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/740625-01_1.jpg,0.000,big glass measuring shot,,LOW_SCORE (0.00)
74501,3595,Big Foot MYCORRHIZAL,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,Dramm_MSO_Sprayer_100_package_main_image.png,https://hmoonhydro.com/wp-content/uploads/2026/02/Dramm_MSO_Sprayer_100_package_main_image.png,0.000,big foot mycorrhizal,,LOW_SCORE (0.00)
74500,3552,Big Eas4.7 ft x 4.7 ft x 6.5 ft,simple,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,big eas,,LOW_SCORE (0.00)
74499,240,Big Bud 10L,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,big-bud-liquid-1l-advanced-nutrients_1_1-2.png,https://hmoonhydro.com/wp-content/uploads/2026/02/big-bud-liquid-1l-advanced-nutrients_1_1-2.png,1.000,big bud,big bud,
74498,2215,Big Boy,variable,Beginner Kits | Water &amp; Filtration,8767_20188.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/8767_20188.jpg,0.500,big boy,,
74496,1405,Beyond Buds by Ed Rosenthal,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,beyond buds ed rosenthal,,LOW_SCORE (0.00)
74495,1614,Better Bloom 500 gm,simple,Commercial Growing | Hydroponic Systems | Nutrients &amp; Supplements,Advanced_Nutrients_pH_Perfect_Sensi_Bloom_Part_B.png,https://hmoonhydro.com/wp-content/uploads/2026/02/Advanced_Nutrients_pH_Perfect_Sensi_Bloom_Part_B.png,0.333,better bloom gm,bloom,
74494,959,Beldon Square Black Pot 5X5X6,simple,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Plastic Pots,activeaqua-9x9squareblack-01.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/activeaqua-9x9squareblack-01.jpg,0.000,beldon black pot square,,LOW_SCORE (0.00)
74493,2852,Beldon Jumbo Sq. 5.5x5.5x6,simple,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,beldon jumbo sq,,LOW_SCORE (0.00)
74492,306,Beastie Bloomz 0 - 50 - 30,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,11575.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/11575.jpg,0.000,beastie bloomz,,LOW_SCORE (0.00)
74491,3354,BC-RB6 ROX 4x4x2.5/36 216 pices,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,grodan_stonewool_rockwool_big_mama_gro_block_8_inch_8_x_8_x_8_713088-01.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/grodan_stonewool_rockwool_big_mama_gro_block_8_inch_8_x_8_x_8_713088-01.jpg,0.000,bc pices rb rox,,LOW_SCORE (0.00)
74490,474,BC Bags smell proof bags sm-100,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bags bc proof sm smell,,LOW_SCORE (0.00)
74489,465,BC Bags smell proof bags sm 25/,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bags bc proof sm smell,,LOW_SCORE (0.00)
74488,477,BC Bags smell prof large-100 cs,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bags bc cs large prof smell,,LOW_SCORE (0.00)
