id,sku,name,type,categories,img_file,img_url,score,name_tokens,matching_tokens,flag_reason
75856,hmh00143-pro,ONA Block Pro,grouped,Odor Control,OCMOBK150DWAC.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/OCMOBK150DWAC.jpg,0.000,block ona pro,,LOW_SCORE (0.00)
74508,750,BioChar FlowerFinisher1-5-7/,simple,Hydroponic Systems | Indoor Growing | Organic Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,biochar flowerfinisher,,LOW_SCORE (0.00)
74505,387,Bimatrix Xtra-Long Slab,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,vidawool_slap_pallet_image_1_2.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/vidawool_slap_pallet_image_1_2.jpg,0.000,bimatrix long slab xtra,,LOW_SCORE (0.00)
74504,388,BiMatrix Slab,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bimatrix slab,,LOW_SCORE (0.00)
74503,677,Big Up Powder 0-33-23,variable,Hydroponic Systems | Indoor Growing | Organic Growing | Nutrients &amp; Supplements,12217.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/12217.jpg,0.000,big powder up,,LOW_SCORE (0.00)
74502,208,Big Shot Measuring Glass,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,740625-01_1.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/740625-01_1.jpg,0.000,big glass measuring shot,,LOW_SCORE (0.00)
74501,3595,Big Foot MYCORRHIZAL,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,Dramm_MSO_Sprayer_100_package_main_image.png,https://hmoonhydro.com/wp-content/uploads/2026/02/Dramm_MSO_Sprayer_100_package_main_image.png,0.000,big foot mycorrhizal,,LOW_SCORE (0.00)
74500,3552,Big Eas4.7 ft x 4.7 ft x 6.5 ft,simple,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,big eas,,LOW_SCORE (0.00)
74496,1405,Beyond Buds by Ed Rosenthal,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,beyond buds ed rosenthal,,LOW_SCORE (0.00)
74494,959,Beldon Square Black Pot 5X5X6,simple,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Plastic Pots,activeaqua-9x9squareblack-01.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/activeaqua-9x9squareblack-01.jpg,0.000,beldon black pot square,,LOW_SCORE (0.00)
74493,2852,Beldon Jumbo Sq. 5.5x5.5x6,simple,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,beldon jumbo sq,,LOW_SCORE (0.00)
74492,306,Beastie Bloomz 0 - 50 - 30,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,11575.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/11575.jpg,0.000,beastie bloomz,,LOW_SCORE (0.00)
74491,3354,BC-RB6 ROX 4x4x2.5/36 216 pices,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,grodan_stonewool_rockwool_big_mama_gro_block_8_inch_8_x_8_x_8_713088-01.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/grodan_stonewool_rockwool_big_mama_gro_block_8_inch_8_x_8_x_8_713088-01.jpg,0.000,bc pices rb rox,,LOW_SCORE (0.00)
74490,474,BC Bags smell proof bags sm-100,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bags bc proof sm smell,,LOW_SCORE (0.00)
74489,465,BC Bags smell proof bags sm 25/,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bags bc proof sm smell,,LOW_SCORE (0.00)
74488,477,BC Bags smell prof large-100 cs,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bags bc cs large prof smell,,LOW_SCORE (0.00)
74487,466,BC Bags smell prof large 25/pk,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,bags bc large pk prof smell,,LOW_SCORE (0.00)
74485,829,Basket Stake,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,dl-wholesale-252585_l.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/dl-wholesale-252585_l.jpg,0.000,basket stake,,LOW_SCORE (0.00)
74482,2005,Bamboo Stakes 4',simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,800848_l_1.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/800848_l_1.jpg,0.000,bamboo stakes,,LOW_SCORE (0.00)
74481,2329,Bamboo Stake 6',simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,hgbb6_1.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/hgbb6_1.jpg,0.000,bamboo stake,,LOW_SCORE (0.00)
74480,775,BadBoy T5 4'-8 Fixture w/ bulbs,simple,Grow Lights &amp; Ballasts | Hydroponic Systems | Indoor Growing | T5 Fluorescent,750441_l.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/750441_l.jpg,0.000,badboy bulbs fixture,,LOW_SCORE (0.00)
74479,774,BadBoy T5 4'-6 Fixture w/ Bulbs,simple,Grow Lights &amp; Ballasts | Hydroponic Systems | Indoor Growing | T5 Fluorescent,750441_l-2.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/750441_l-2.jpg,0.000,badboy bulbs fixture,,LOW_SCORE (0.00)
74478,773,BadBoy T5 4'-4 Fixture w/ Bulbs,simple,Grow Lights &amp; Ballasts | Hydroponic Systems | Indoor Growing | T5 Fluorescent,750441_l-4.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/750441_l-4.jpg,0.000,badboy bulbs fixture,,LOW_SCORE (0.00)
74477,777,BadBoy T5 4'-16 Fixture w/ Bulb,simple,Grow Lights &amp; Ballasts | Hydroponic Systems | Indoor Growing | T5 Fluorescent,750441_l-6.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/750441_l-6.jpg,0.000,badboy bulb fixture,,LOW_SCORE (0.00)
74476,776,BadBoy T5 4'-12 Fixture w/ bulb,simple,Grow Lights &amp; Ballasts | Hydroponic Systems | Indoor Growing | T5 Fluorescent,750441_l-8.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/750441_l-8.jpg,0.000,badboy bulb fixture,,LOW_SCORE (0.00)
74475,717,Backdraft Damper 8,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,403006.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/403006.jpg,0.000,backdraft damper,,LOW_SCORE (0.00)
74474,716,Backdraft Damper 6,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,403006_l.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/403006_l.jpg,0.000,backdraft damper,,LOW_SCORE (0.00)
74470,1066,B'Cuzz Tabzz,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,cuzz tabzz,,LOW_SCORE (0.00)
74469,1075,B'Cuzz Soil Nutrition B,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,cuzz nutrition soil,,LOW_SCORE (0.00)
74468,1074,B'Cuzz Soil Nutrition A,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,cuzz nutrition soil,,LOW_SCORE (0.00)
74465,1062,B'Cuzz Root Stimulator,simple,Hydroponic Systems | Organic Growing | Nutrients &amp; Supplements,canna_rhizotonic1.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/canna_rhizotonic1.jpg,0.000,cuzz root stimulator,,LOW_SCORE (0.00)
74463,1071,B'Cuzz Hydro Nutrition B,variable,Hydroponic Systems | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,cuzz hydro nutrition,,LOW_SCORE (0.00)
74462,1070,B'Cuzz Hydro Nutrition A,variable,Hydroponic Systems | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,cuzz hydro nutrition,,LOW_SCORE (0.00)
74459,1069,B'Cuzz Flavor-C,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,cuzz flavor,,LOW_SCORE (0.00)
74451,2909,B.T.Seabird Guano 11,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,vgs1702.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/vgs1702.jpg,0.000,guano seabird,,LOW_SCORE (0.00)
74450,1561,B-52 Lt,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,advanced-nutrients-b52-1l.png,https://hmoonhydro.com/wp-content/uploads/2026/02/advanced-nutrients-b52-1l.png,0.000,lt,,LOW_SCORE (0.00)
74448,3320,AZOMITE® SR Powder,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,723630-01.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/723630-01.jpg,0.000,azomite powder sr,,LOW_SCORE (0.00)
74447,1079,AzaSol™ .75,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,1457622-1_1.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/1457622-1_1.jpg,0.000,azasol,,LOW_SCORE (0.00)
74445,1531,Auxilary Trolly,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,auxilary trolly,,LOW_SCORE (0.00)
74444,3292,Autopot 4 pot /12 .res,simple,Containers &amp; Pots | Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,geopot-4-xl_5ce04afe-d184-48b1-994f-a7bab8e53416.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/geopot-4-xl_5ce04afe-d184-48b1-994f-a7bab8e53416.jpg,0.000,autopot pot res,,LOW_SCORE (0.00)
74438,3216,Athena Reset Clean Line 5,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,cl-res_5-gal_01_3.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/cl-res_5-gal_01_3.jpg,0.000,athena clean line reset,,LOW_SCORE (0.00)
74437,3218,Athena RENEW Clean Line 5,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,cl-ren_5-gal_01_3.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/cl-ren_5-gal_01_3.jpg,0.000,athena clean line renew,,LOW_SCORE (0.00)
74429,HMH-ATHENAPK-63502B17,Athena PK Bloom Booster-1,variable,Hydroponic Systems | Organic Growing | Nutrients &amp; Supplements,CYCO_Swell_275GAL_main_image.svg,https://hmoonhydro.com/wp-content/uploads/2026/02/CYCO_Swell_275GAL_main_image.svg,0.000,athena bloom booster pk,,LOW_SCORE (0.00)
74428,HMH-NUT-56GZ5R,Athena Mildew Control 32,simple,Beginner Kits | Hydroponic Systems | Organic Growing | Nutrients &amp; Supplements,DAB_EUROINOX_with_MASControl.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/DAB_EUROINOX_with_MASControl.jpg,0.000,athena control mildew,,LOW_SCORE (0.00)
74416,3217,Athena Clean Line Perafoam 5 Ga,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,cl-per_5-gal_01_2.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/cl-per_5-gal_01_2.jpg,0.000,athena clean ga line perafoam,,LOW_SCORE (0.00)
74415,3213,Athena Clean Line Perafoam 1 Ga,variable,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,cl-per_1-gal_01_2.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/cl-per_1-gal_01_2.jpg,0.000,athena clean ga line perafoam,,LOW_SCORE (0.00)
74411,HMH-NUT-A5YX6V,Athena Bloom B 1,simple,Hydroponic Systems | Nutrients &amp; Supplements,lq-blb-1g.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/lq-blb-1g.jpg,0.000,athena bloom,,LOW_SCORE (0.00)
74407,HMH-ATHENABL-D4188ACC,Athena Bloom A 1,variable,Hydroponic Systems | Nutrients &amp; Supplements,lq-blb-1g-2.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/lq-blb-1g-2.jpg,0.000,athena bloom,,LOW_SCORE (0.00)
74406,HMH-NUT-MOC4I8,Athena Balance 1,simple,Commercial Growing | Nutrients &amp; Supplements,lq-sil-1g.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/lq-sil-1g.jpg,0.000,athena balance,,LOW_SCORE (0.00)
74405,3152,Athena Balance (osmoregulation),variable,Commercial Growing | Nutrients &amp; Supplements,pro-up_01_1-2.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/pro-up_01_1-2.jpg,0.000,athena balance osmoregulation,,LOW_SCORE (0.00)
74403,2381,Ask Ed Marijuana Success,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,category-nutrients-supplements.png,https://hmoonhydro.com/wp-content/uploads/2026/02/category-nutrients-supplements.png,0.000,ask ed marijuana success,,LOW_SCORE (0.00)
74402,3499,Armory Beneficial,simple,Hydroponic Systems | Indoor Growing | Nutrients &amp; Supplements,746604.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/746604.jpg,0.000,armory beneficial,,LOW_SCORE (0.00)
74399,3485,AquaVita 925 Sump Pump,simple,Hydroponic Systems | Indoor Growing | Irrigation &amp; Watering,510925_l.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/510925_l.jpg,0.000,aquavita pump sump,,LOW_SCORE (0.00)
