sku,name,type,dec31_image,feb12_image,local_file,status
hmh00001,Teaming with Microbes,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/teaming_with_microbes.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/9901e240__teaming_with_microbes.jpg,,IMAGE_CHANGED
hmh00003,Gardening Indoors with Soil & Hydroponics,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/gardening_indoors2.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/a9cd7184__gardening_indoors2.jpg,,IMAGE_CHANGED
hmh00006,Gardening Indoors with Cuttings,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/thumb_books_gardening_indoors_cuttings.gif,https://hmoonhydro.com/wp-content/uploads/2026/02/7259f990__thumb_books_gardening_indoors_cuttings.gif,,IMAGE_CHANGED
hmh00011,FloraBlend,variable,https://hmoonhydro.com/wp-content/uploads/2019/09/FloraBlend-qt.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/General-Hydroponics_product_FloraBlend-new-quart-1600x1600-1.png,,IMAGE_CHANGED
hmh00013,FloraBlend 2.5,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/d87d89e2__florablend.jpg,,IMAGE_CHANGED
hmh00014,FloraBlend 6,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/d87d89e2__florablend.jpg,,IMAGE_CHANGED
hmh00016,Flora Series,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraSeries.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/84edb4f2__FloraSeries.jpg,,IMAGE_CHANGED
hmh00017,FloraNova Series,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraNovaSeries.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/a83aa8b4__FloraNovaSeries.jpg,,IMAGE_CHANGED
hmh00018,Maxi Series,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/MaxiSeries.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/c836d291__MaxiSeries.jpg,,IMAGE_CHANGED
hmh00026,FloraDuo Complete,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flora-duo.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/7a6a0bb4__flora-duo.jpg,,IMAGE_CHANGED
hmh00027,Floralicious Series,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Floralicious.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/f5af46a6__Floralicious.jpg,,IMAGE_CHANGED
hmh00033,Liquid KoolBloom™ 0 - 10 - 10,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Liquid_KoolBloom.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/cb0afb5a__Liquid_KoolBloom.jpg,,IMAGE_CHANGED
hmh00036,SubCulture B 200gm. Bag,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/SubCulture_F-Right_Foil.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/fa774e47__SubCulture_F-Right_Foil.jpg,,IMAGE_CHANGED
hmh00040,B'Cuzz BIO-NRG Flavor,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/nrg_flavor.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/a319abe0__nrg_flavor.jpg,,IMAGE_CHANGED
hmh00043,B'Cuzz PK 13/14,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/pk1314.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/b36f654b__bcuzz-booster-pack.jpg,,IMAGE_CHANGED
hmh00052,Better Bloom 12-34-12,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/Better-Bloom-2kg_001.jpg,https://hmoonhydro.com/wp-content/uploads/2019/08/betterbloom.jpg,,IMAGE_CHANGED
hmh00053,Jungle Green 17-15-17,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Jungle-Green-2kg_001.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/c083ebed__Jungle-Green-2kg_001.jpg,,IMAGE_CHANGED
hmh00060,Prop-O-Gator Plant Food,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Propogator.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/a513ef32__Propogator.jpg,,IMAGE_CHANGED
hmh00068,Humboldt Grow 2-1-6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_grow.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/9f5ba5ad__humboldt_grow.jpg,,IMAGE_CHANGED
hmh00069,Humboldt Micro 5-0-1,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_micro.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/30bbb556__humboldt_micro.jpg,,IMAGE_CHANGED
hmh00070,Humboldt Bloom 0-6-5,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_bloom.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/c226d933__humboldt_bloom.jpg,,IMAGE_CHANGED
hmh00076,DueceDuece,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/duece_duece.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/fbe07095__duece_duece.jpg,,IMAGE_CHANGED
hmh00093,Humboldt Honey ES,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_honey_es.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/49752464__humboldt_honey_es.jpg,,IMAGE_CHANGED
hmh00094,Humboldt Roots,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_roots.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2f046ca5__humboldt_roots.jpg,,IMAGE_CHANGED
hmh00096,Humboldt Sticky Foliar Feed,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_sticky.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/fe096596__humboldt_sticky.jpg,,IMAGE_CHANGED
hmh00099,All-Purpose feeder packs.- 20 ct,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/xtreme_all-purpose.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/060603a6__xtreme_all-purpose.jpg,,IMAGE_CHANGED
hmh00101,Mykos - Mycorrhizal Inoculant Granular,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/xtreme_mykos.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/ffa32cb2__xtreme_mykos.jpg,,IMAGE_CHANGED
hmh00104,CalCarb Calcium Carbonate Foliar Spray,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/xtreme_calcarb.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/4a586b88__xtreme_calcarb.jpg,,IMAGE_CHANGED
hmh00118,BASIC Magnetic Ballast,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/BAL-1000VLG-2-outlets.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/215a69c4__BAL-1000VLG-2-outlets.jpg,,IMAGE_CHANGED
hmh00150,Doktor Doom Fogger,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/doctor_doom-fogger.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/0229bb7f__doctor_doom-fogger.jpg,,IMAGE_CHANGED
hmh00158,Safer Garden Fungicide 32oz RTU Spray,simple,https://hmoonhydro.com/wp-content/uploads/2019/09/024654554504.jpg||https://hmoonhydro.com/wp-content/uploads/2019/09/safer-brand-organic-disease-control-5450-6-c3_1000.jpg,"https://hmoonhydro.com/wp-content/uploads/2026/02/585d1685__safer-brand-organic-disease-control-5450-6-c3_1000.jpg, https://hmoonhydro.com/wp-content/uploads/2019/09/safer-brand-organic-disease-control-5450-6-c3_1000.jpg",,IMAGE_CHANGED
hmh00159,Block-IR Infra-Red Barrier,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/block-ir.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2cb3bf9a__block-ir.jpg,,IMAGE_CHANGED
hmh00160,BioThrive Grow 1,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e598e768__biothrive.jpg,,IMAGE_CHANGED
hmh00162,BioThrive Grow 2.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e598e768__biothrive.jpg,,IMAGE_CHANGED
hmh00163,BioThrive Bloom 1,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e598e768__biothrive.jpg,,IMAGE_CHANGED
hmh00190,FloraNova Bloom 1,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/FNovaBloom.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/56d280f3__Better-Bloom-2kg_001.jpg,,IMAGE_CHANGED
hmh00192,FloraNova Bloom 2.5,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/FNovaBloom.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/56d280f3__Better-Bloom-2kg_001.jpg,,IMAGE_CHANGED
