sku,name,type,dec31_image,local_file,status,slug_stem_tried
hmh00012,FloraBlend gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/florablend.jpg,hmoonhydro.com\wp-content\uploads\2019\08\florablend.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00161,BioThrive Grow 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,hmoonhydro.com\wp-content\uploads\2019\08\biothrive.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00164,BioThrive Bloom 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,hmoonhydro.com\wp-content\uploads\2019\08\biothrive.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00166,Hard Water Flora Micro 1 qt,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraMicroHW.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraMicroHW.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00167,Hard Water Flora Micro 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraMicroHW.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraMicroHW.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00172,Flora Micro 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraMicro.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraMicro.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00177,FloraGro 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraGro.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraGro.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00182,Flora Bloom 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraBloom.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraBloom.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00187,FloraNova Grow 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FNovaGrow.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FNovaGrow.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00191,FloraNova Bloom 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FNovaBloom.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FNovaBloom.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00200,Diamond Nectar 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Diamond_Nectar.jpg,hmoonhydro.com\wp-content\uploads\2019\08\Diamond_Nectar.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00205,FloraDuo A 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flora-duo.jpg,hmoonhydro.com\wp-content\uploads\2019\08\flora-duo.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00210,FloraDuo B 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flora-duo.jpg,hmoonhydro.com\wp-content\uploads\2019\08\flora-duo.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00214,Floralicious Bloom 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraliciousBloom.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraliciousBloom.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00217,Floralicious Grow 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraliciousGrow.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraliciousGrow.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00224,FloraNectar FruitnFusion 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraNectar.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraNectar.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00227,FloraNectar Pineapple 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraNectar.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraNectar.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00229,Flora Shield 1 qt,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraShield.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraShield.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00230,Flora Shield 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraShield.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraShield.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00242,Rapid Start 275 ml,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Rapid-Start.jpg,hmoonhydro.com\wp-content\uploads\2019\08\Rapid-Start.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00244,Rapid Start 1 qt,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Rapid-Start.jpg,hmoonhydro.com\wp-content\uploads\2019\08\Rapid-Start.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00246,BioBud 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biobud.jpg,hmoonhydro.com\wp-content\uploads\2019\08\biobud.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00248,BioMarine 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biomarine.jpg,hmoonhydro.com\wp-content\uploads\2019\08\biomarine.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00250,BioRoot 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bioroot.jpg,hmoonhydro.com\wp-content\uploads\2019\08\bioroot.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00252,BioWeed 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bio-weed.jpg,hmoonhydro.com\wp-content\uploads\2019\08\bio-weed.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00254,CaMg+ 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/camg.jpg,hmoonhydro.com\wp-content\uploads\2019\08\camg.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00256,Diamond Black 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/DiamondBlackbottle.jpg,hmoonhydro.com\wp-content\uploads\2019\08\DiamondBlackbottle.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00260,B'Cuzz BIO-NRG Flavor-C 5L,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/nrg_flavor.jpg,hmoonhydro.com\wp-content\uploads\2019\08\nrg_flavor.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00264,B'Cuzz Hydro A 5L,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/hydro.jpg,hmoonhydro.com\wp-content\uploads\2019\08\hydro.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00266,B'Cuzz Hydro B 5L,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/hydro.jpg,hmoonhydro.com\wp-content\uploads\2019\08\hydro.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00278,B'Cuzz Growth Stimulator - 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/grow.jpg,hmoonhydro.com\wp-content\uploads\2019\08\grow.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00284,B'Cuzz Root Stimulator - 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/root.jpg,hmoonhydro.com\wp-content\uploads\2019\08\root.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00302,Better Bloom 10 kg,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/betterbloom.jpg,hmoonhydro.com\wp-content\uploads\2019\08\betterbloom.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00305,Jungle Green 10 kg,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/junglegreen.jpg,hmoonhydro.com\wp-content\uploads\2019\08\junglegreen.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00307,Royal Black 4 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/royal_black.jpg,hmoonhydro.com\wp-content\uploads\2019\08\royal_black.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00309,Royal Gold 4 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/royal_gold.jpg,hmoonhydro.com\wp-content\uploads\2019\08\royal_gold.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00312,Yield Up 9-47-9 10 kg,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/yieldup.jpg,hmoonhydro.com\wp-content\uploads\2019\08\yieldup.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00318,Carbo Blast 2.5 kg,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/carboblast.jpg,hmoonhydro.com\wp-content\uploads\2019\08\carboblast.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00320,Prop-O-Gator 500 ml,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Propogator.jpg,hmoonhydro.com\wp-content\uploads\2019\08\Propogator.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00321,Prop-O-Gator 1 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Propogator.jpg,hmoonhydro.com\wp-content\uploads\2019\08\Propogator.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00330,Double Super B+ 4 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/super_b_extra_strength.jpg,hmoonhydro.com\wp-content\uploads\2019\08\super_b_extra_strength.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00331,Double Super B+ 10 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/super_b_extra_strength.jpg,hmoonhydro.com\wp-content\uploads\2019\08\super_b_extra_strength.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00332,Double Super B+ 23 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/super_b_extra_strength.jpg,hmoonhydro.com\wp-content\uploads\2019\08\super_b_extra_strength.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00342,Humboldt Grow 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_grow.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_grow.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00346,Mayan Microzyme1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_mayan.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_mayan.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00351,Humboldt Bloom 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_bloom.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_bloom.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00359,Humboldt Sea Cal 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_sea-cal.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_sea-cal.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00362,Humboldt Sea Mag 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_sea-mag.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_sea-mag.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00365,Humboldt Master A 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_master_a.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_master_a.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00369,Humboldt Master B 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_master_b.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_master_b.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00373,Humboldt DueceDuece 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/duece_duece.jpg,hmoonhydro.com\wp-content\uploads\2019\08\duece_duece.jpg,PRODUCT_ABSENT_FROM_FEB12,
