Published,Tags,Type,Vendor,Body (HTML),Title,Handle,Variant SKU,Variant Price,Variant Barcode,Cost per item
,,,,,,,GEN-1eLP,390.02,0051000001153,275.0
,,,,,,,GEN-2eNG,200.00,,
,,,,,,,SKID,19000.00,,
,,,,,,,hmh00001,24.39,9780881927771,14.95
,,,,,,,hmh00003,24.39,9781878823328,14.95
,,,,,,,hmh00006,14.61,9781878823205,8.97
,,,,,,,hmh00009,14.61,9781878823229,8.99
,,,,,,,hmh00011,58.45,0892753002628,35.0
,,,,,,,hmh00012,200.00,,100.0
,,,,,,,hmh00013,45.00,0682863044744,22.5
,,,,,,,hmh00014,115.89,0793094019217,59.95
,,,,,,,hmh00036,18.95,,12.78
,,,,,,,hmh00037,18.98,0793094015868,6.9
,,,,,,,hmh00038,56.25,,
,,,,,,,hmh00099,5.86,0689076421768,3.0
,,,,,,,hmh00100,5.86,0689076421768,3.0
,,,,,,,hmh00102,58.60,0736211711731,27.0
,,,,,,,hmh00115,18.28,0793094981262,9.35
,,,,,,,hmh00146,59.95,0624493168001,32.0
,,,,,,,hmh00147,199.99,,
,,,,,,,hmh00151,14.99,,
,,,,,,,hmh00160,24.23,0793094051224,9.0
,,,,,,,hmh00161,79.95,0793094051231,26.24
,,,,,,,hmh00162,151.93,0793094051248,55.12
,,,,,,,hmh00163,23.64,0793094051323,8.92
,,,,,,,hmh00164,72.85,0793094051330,24.99
,,,,,,,hmh00165,130.48,0793094051347,60.0
,,,,,,,hmh00166,21.13,0793094014120,7.97
,,,,,,,hmh00167,35.46,0837654466124,18.14
,,,,,,,hmh00168,112.99,0793094014144,42.15
,,,,,,,hmh00169,184.79,0793094016179,85.0
,,,,,,,hmh00170,11.99,0722540001018,6.19
,,,,,,,hmh00171,21.13,0793094014120,7.97
,,,,,,,hmh00172,35.46,0837654466124,18.14
,,,,,,,hmh00173,112.99,0793094014144,42.15
,,,,,,,hmh00174,184.79,0793094016179,85.0
,,,,,,,hmh00175,11.73,0000010000021,5.0
,,,,,,,hmh00176,15.99,0793094014229,7.25
,,,,,,,hmh00177,40.99,0793094014236,15.94
,,,,,,,hmh00178,92.99,0793094014243,34.7
,,,,,,,hmh00179,177.99,0793094014274,70.0
,,,,,,,hmh00180,11.99,,6.19
,,,,,,,hmh00181,36.39,0793094016322,13.75
,,,,,,,hmh00182,67.00,1466787879974,33.0
,,,,,,,hmh00183,149.00,3557648899999,86.0
,,,,,,,hmh00184,45.00,0682863044706,22.5
,,,,,,,hmh00185,11.99,,6.19
,,,,,,,hmh00186,28.89,0793094013727,13.42
,,,,,,,hmh00187,45.00,0682863044720,22.5
,,,,,,,hmh00188,200.00,,100.0
,,,,,,,hmh00189,11.99,,6.19
,,,,,,,hmh00190,29.84,0793094013826,13.42
,,,,,,,hmh00191,67.00,1466787879974,33.0
,,,,,,,hmh00192,149.00,3557648899999,86.0
,,,,,,,hmh00193,17.99,0793094012119,7.67
,,,,,,,hmh00194,124.19,0793094012133,59.0
,,,,,,,hmh00195,79.95,0714360020751,53.58
,,,,,,,hmh00196,17.99,0793094012218,7.67
,,,,,,,hmh00197,124.50,0793094012232,59.0
,,,,,,,hmh00198,79.95,0714360020751,53.58
,,,,,,,hmh00199,18.19,0793094013529,8.63
,,,,,,,hmh00200,48.99,0793094013536,23.0
,,,,,,,hmh00201,97.99,0793094013543,46.0
,,,,,,,hmh00202,45.00,0682863044706,22.5
,,,,,,,hmh00203,11.73,0000010000021,5.0
,,,,,,,hmh00204,16.37,0793094016827,7.5
,,,,,,,hmh00205,40.96,0793094016834,17.0
,,,,,,,hmh00206,92.99,0793094016841,37.5
,,,,,,,hmh00207,146.63,0793094016858,75.0
,,,,,,,hmh00208,11.73,0000010000021,5.0
,,,,,,,hmh00209,16.37,0793094016827,7.5
,,,,,,,hmh00210,40.96,0793094016834,17.0
,,,,,,,hmh00211,92.99,0793094016742,37.5
,,,,,,,hmh00212,146.63,0793094016858,75.0
,,,,,,,hmh00213,29.84,0793094013826,13.42
,,,,,,,hmh00214,87.48,0793094013833,40.25
,,,,,,,hmh00215,200.74,0793094013840,92.0
,,,,,,,hmh00216,28.89,0793094013727,13.42
,,,,,,,hmh00217,87.48,0793094013734,40.25
,,,,,,,hmh00218,200.74,0793094013741,92.0
,,,,,,,hmh00219,24.99,0793094013864,11.0
,,,,,,,hmh00220,9.98,0793094013901,4.0
,,,,,,,hmh00221,100.00,0682863045024,50.0
,,,,,,,hmh00222,87.48,0793094013734,40.25
,,,,,,,hmh00223,22.99,0793094016018,10.5
,,,,,,,hmh00224,263.00,0793094018059,131.25
,,,,,,,hmh00225,139.95,0793094016049,66.15
,,,,,,,hmh00226,22.99,0793094016612,11.55
,,,,,,,hmh00227,62.99,0793094016636,29.4
,,,,,,,hmh00228,14.61,0793094015073,7.48
,,,,,,,hmh00229,28.10,0793094015080,14.38
,,,,,,,hmh00230,78.69,0793094015097,40.25
,,,,,,,hmh00232,45.00,0682863044720,22.5
,,,,,,,hmh00233,45.00,0682863044744,22.5
,,,,,,,hmh00234,115.89,0793094019217,59.95
,,,,,,,hmh00235,19.99,,
,,,,,,,hmh00236,19.99,0689319019967,11.52
,,,,,,,hmh00237,229.71,0793094013185,117.5
,,,,,,,hmh00238,84.50,0757900201289,46.5
,,,,,,,hmh00239,39.95,0849969009606,19.95
,,,,,,,hmh00240,66.50,0080359021000,33.25
