Item Number,Item Name,Item Description,Brief Description,Alternate Lookup,Attribute,Size,Average Unit Cost,Regular Price,MSRP,Custom Price 1,Custom Price 2,Custom Price 3,Custom Price 4,UPC,Tax Code,Order Cost,Order By Unit,Sell By Unit,Item Type,Base Unit of Measure,Income Account,Company Reorder Point,COGS Account,Asset Account,Print Tags,Unorderable,Serial Tracking,Eligible for Commission,Department Name,Department Code,Vendor Name,Vendor Code,Manufacturer,Weight,Qty 1,Qty 2,Qty 3,Qty 4,Qty 5,Qty 6,Qty 7,Qty 8,Qty 9,Qty 10,Qty 11,Qty 12,Qty 13,Qty 14,Qty 15,Qty 16,Qty 17,Qty 18,Qty 19,Qty 20,On Order Qty,Reorder Point 1,Reorder Point 2,Reorder Point 3,Reorder Point 4,Reorder Point 5,Reorder Point 6,Reorder Point 7,Reorder Point 8,Reorder Point 9,Reorder Point 10,Reorder Point 11,Reorder Point 12,Reorder Point 13,Reorder Point 14,Reorder Point 15,Reorder Point 16,Reorder Point 17,Reorder Point 18,Reorder Point 19,Reorder Point 20,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Eligible for Rewards,Vendor Name 2,UPC 2,Alternate Lookup 2,Order Cost 2,Vendor Name 3,UPC 3,Alternate Lookup 3,Order Cost 3,Vendor Name 4,UPC 4,Alternate Lookup 4,Order Cost 4,Vendor Name 5,UPC 5,Alternate Lookup 5,Order Cost 5,Unit of Measure 1,# of Base Units for UOM 1,UPC for UOM 1,Alternate Lookup for UOM 1,Regular Price for UOM 1,MSRP for UOM 1,Custom Price 1 for UOM 1,Custom Price 2 for UOM 1,Custom Price 3 for UOM 1,Custom Price 4 for UOM 1,Unit of Measure 2,# of Base Units for UOM 2,UPC for UOM 2,Alternate Lookup for UOM 2,Regular Price for UOM 2,MSRP for UOM 2,Custom Price 1 for UOM 2,Custom Price 2 for UOM 2,Custom Price 3 for UOM 2,Custom Price 4 for UOM 2,Unit of Measure 3,# of Base Units for UOM 3,UPC for UOM 3,Alternate Lookup for UOM 3,Regular Price for UOM 3,MSRP for UOM 3,Custom Price 1 for UOM 3,Custom Price 2 for UOM 3,Custom Price 3 for UOM 3,Custom Price 4 for UOM 3,Sync to Mobile,__qty_total__,__on_order_qty__,__regular_price__
1956,Ultimate Plant Cage,Plant cage support,,,,1 Pc,8.25,17.55,0,17.6,17.55,17.55,17.55,0816140010072,Tax,8.25,,,Inventory,,,,,,Yes,No,No,No,Accessories,ACC,NGW,NGW,,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,10.0,0,17.55
1960,Hanna 1382 ppm Packet,1382 calibration packet,,,,20 ml,0,1.55,0,1.55,1.55,1.55,1.55,69111111160463,Tax,0,,,Inventory,,,,,,Yes,No,No,Yes,Accessories,ACC,,,,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,26.0,0,1.55
1853,CarboLoad Liquid 10L,Liquid Carbs,,,,10 Lt,74.33,149.93,0,149.93,149.93,149.93,149.93,0845268000412,Tax,74.33,,,Inventory,,,,,,Yes,No,No,No,Nutrients,NUT,Advanced Nutrients,AN,Advanced Nutrients,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1.0,0,149.93
1855,Rapidtest Digital Soil pH,Digital pH soil meter,,,,1 Pc,14.59,27.36,0,27.4,27.36,27.36,27.36,0035307018472,Tax,14.59,,,Inventory,,,,,,Yes,No,No,No,Accessories,ACC,NGW,NGW,Rapidtest,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,-1.0,0,27.36
1875,HCT-1,Hydro Cycle Timer 1 min on & 4 min off,,,,1 Box,53.33333,96.6,0,96.6,96.6,96.6,96.6,0741559020216,Tax,80,,,Inventory,,,,,,Yes,No,No,No,Accessories,ACC,Nickel City Wholesale Garden Supply,NCW,greenair products,0,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,15.0,0,96.6
1884,Rockwool Conditioner Qt,Neutralizes pH in rockwool soak,,,,1 Qt,0,14.66,0,14.66,14.66,14.66,14.66,0659627006007,Tax,7.5,,,Inventory,,,,,,Yes,No,No,No,Nutrients,NUT,NGW,NGW,europonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,0,14.66
1915,CAN 99 Filter,1236 CFM Carbon Filter,,,,1 Pc,0,256.11,0,256.11,256.11,256.11,256.11,0840470000137,Tax,0,,,Inventory,,,,,,Yes,Yes,No,No,Environment Control,ENV,NGW,NGW,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,0,256.11
1936,Monster Expansion Kit,"Contains 3 pots, tubing & fittings to expand th eMonster Ebb & grow System",,,,1 Kit,40,97.7,0,97.7,97.7,97.7,97.7,0051000105639,Tax,40,,,Inventory,,,,,,Yes,No,No,No,Complete Systems,SYS,NGW,NGW,CAP,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,11.0,0,97.7
1652,Micro-Pore Single XL,oxygen diffuser,,,,1 Pc,0,26.34,0,26.3,26.34,26.34,26.34,6911111110323,Tax,17,,,Inventory,,,,,,Yes,No,No,No,Accessories,ACC,NGW,NGW,Deep Water,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,9.0,0,26.34
1681,Tiger Bloom 5Gal,Bloom Formula,,,,5 Gal,0,270.72,0,270.72,270.72,270.72,270.72,0752289790355,Tax,166.15,,,Inventory,,,,,,Yes,No,No,No,Nutrients,NUT,Nickel City Wholesale Garden Supply,NCW,Fox Farm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1.0,0,270.72
