Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score
hmh00555,zero-tolerance-pest-control-gal,Zero Tolerance <b>Pest Control</b> gal,75.00,0,221,Zero Tolerance Pesticide Gal,0.891,5,58.65,221,Zero Tolerance Pesticide Gal,1 Gal,5,58.65,0,Nickel City Wholesale Garden Supply,0.891,auto-high,,220,Zero Tolerance Fungicide Gal,0.844,1,Zero Tolerance Fungicide Qt,0.621
hmh00311,yield-up-9-47-9-2-kg,Yield Up 9-47-9 2 kg,94.99,0,2847,Yield Up 10 Kg.,0.977,3,232.70,2847,Yield Up 10 Kg.,10kg,3,232.70,0,Nickel City Wholesale Garden Supply,0.977,auto-high,,1619,Yield Up 2kg,0.816,2107,Easy Grow Plus 2 Kg.,0.696
hmh01587,uno-2-speed-10-in-line-blower-845-cfm,"UNO-2 Speed 10"" in line Blower 845 cfm",129.00,0,2623,"UNO 2 speed 10"" Fan 845cfm",0.986,2,215.00,2623,"UNO 2 speed 10"" Fan 845cfm",1 box,2,215.00,0,Nickel City Wholesale Garden Supply,0.986,auto-high,,2625,"UNO 2 speed 8"" fan 750 CFM",0.891,2627,"UNO 2 speed 4"" fan 190 CFM",0.878
hmh00554,zero-tolerance-herbal-fungicide-gal,Zero Tolerance <b>Herbal Fungicide</b> gal,60.00,0,220,Zero Tolerance Fungicide Gal,1.104,13,58.65,220,Zero Tolerance Fungicide Gal,1 Gal,13,58.65,0,Nickel City Wholesale Garden Supply,1.104,auto-high,,1,Zero Tolerance Fungicide Qt,1.035,221,Zero Tolerance Pesticide Gal,0.888
hmh00310,yield-up-9-47-9-500-gm,Yield Up 9-47-9 500 gm,26.95,0,2847,Yield Up 10 Kg.,0.801,3,232.70,2847,Yield Up 10 Kg.,10kg,3,232.70,0,Nickel City Wholesale Garden Supply,0.801,auto-high,,1618,Yield Up 500g,0.672,1816,Easy Grow Plus 500 gm,0.585
hmh01067,ultra-premium-connoisseur-part-b-1-lt,Ultra-premium Connoisseur Part-B (1 lt),39.50,0,238,Connoisseur (Part-A)GROW Lt,1.144,15,30.89,238,Connoisseur (Part-A)GROW Lt,1 Lt,15,30.89,0,Advanced Nutrients,1.144,auto-high,,2180,Connoisseur A Lt Bloom (pHP),0.900,2179,Connoisseur Bloom A Lt pHP,0.859
hmh01237,xtreme-tea-brews-90-gm-pack,Xtreme Tea Brews 90 gm pack,10.99,0,2124,Flo-N-Brew Tea Kit,0.585,2,58.60,,,,0,,0,,0.585,low-score,Ambiguous: Δ=0.120,2192,Xtreme Tea 90g,0.465,2191,Xtreme Tea 90g 10ct Bag,0.409
hmh00778,vortex-12-in-2050-cfm-v-series,"Vortex 12 in., 2050 cfm - V-Series",799.00,0,525,"Vortex 12"" Inline Fan",0.721,8,403.66,525,"Vortex 12"" Inline Fan",1 Box,8,403.66,0,Nickel City Wholesale Garden Supply,0.721,needs-review,auto-resolved: price proximity,526,"Vortex 12""L Inline Fan",0.690,2279,"Q-Max 12"" Fan",0.674
hmh00521,ultragrow-a-c-8-in-with-saftey-glass-socket-set-w-15-ft-cord,Ultragrow A/C 8 in. with saftey glass & socket set w/ 15 ft cord,164.99,0,758,"Ultragrow A/C 8""",1.006,8,69.00,758,"Ultragrow A/C 8""",1 Box,8,69.00,0,Nickel City Wholesale Garden Supply,1.006,auto-high,,757,"Ultragrow A/C 6""",0.901,752,"Ultragrow Cool Tube 8""",0.766
hmh00414,verde-growth-catalyst-1-qt,Verde Growth Catalyst 1 qt,22.50,0,216,Greenfuse Growth Qt,0.958,2,48.86,216,Greenfuse Growth Qt,1 Qt,2,48.86,0,NGW,0.958,auto-high,,542,Verde Qt,0.866,60,E.J. Microblast Qt,0.746
hmh00312,yield-up-9-47-9-10-kg,Yield Up 9-47-9 10 kg,232.00,0,2847,Yield Up 10 Kg.,1.097,3,232.70,2847,Yield Up 10 Kg.,10kg,3,232.70,0,Nickel City Wholesale Garden Supply,1.097,auto-high,,1619,Yield Up 2kg,0.564,1751,Big Up Powder 10lb,0.464
hmh01414,tritans-trawl-gallon,Tritan's Trawl Gallon,36.00,0,2373,Tritan's Trawl Gal,1.009,0,36.95,2373,Tritan's Trawl Gal,1 Gal,0,36.95,0,Nickel City Wholesale Garden Supply,1.009,auto-high,,2372,Tritan's Trawl Qt,0.823,3411,Athena I.P.M. /5 Gal,0.566
hmh01475,winter-frost-quart,Winter Frost Quart,44.30,0,2423,Winter Frost Qt,1.182,49,48.28,2423,Winter Frost Qt,1 Qt,49,48.28,0,Nickel City Wholesale Garden Supply,1.182,auto-high,,2685,Winter Frost 5 gal,0.985,2684,Winter Frost 2.5 gal,0.978
hmh01364,vitamino-amino-acid-supplement-gallon,Vitamino Amino Acid Supplement Gallon,75.65,0,2306,Vitamino Gal,1.327,0,75.65,2306,Vitamino Gal,1 Gal,0,75.65,0,Sunlight Supply inc.,1.327,auto-high,,2307,Vitamino Qt,1.103,2363,Athena's Aminas Gal,0.830
hmh00768,trimpro-rotor-exit-chute,TRIMPRO ROTOR Exit Chute,17.00,0,419,Trimpro Rotor,0.693,3,1559.11,419,Trimpro Rotor,Box,3,1559.11,0,Nickel City Wholesale Garden Supply,0.693,needs-review,Verify vs alt 2347 (score 0.598),2347,Trimpro Rotor w/ Workstation,0.598,423,Trimpro w/ Workstation GM,0.402
hmh00775,vortex-6-in-450-cfm,"Vortex 6 in., 450 cfm",215.95,0,522,"Vortex 6"" Inline Fan",0.937,10,211.09,522,"Vortex 6"" Inline Fan",1 Box,10,211.09,0,Nickel City Wholesale Garden Supply,0.937,auto-high,,1134,PRO Filter 50,0.718,2444,"Can Lite 6"" Mini 420 CFM",0.662
,white-rhino-feminised-afghan-x-brazilian-x-south-indian-photo-5-seed,White Rhino (Feminised) Afghan x Brazilian x South Indian Photo-5 Seed,45.00,0,756,"Uno 42"" Parabolic",0.445,10,99.89,,,,0,,0,,0.445,low-score,Ambiguous: Δ=0.180,2823,D.T.E. Neem Seed Meal 6-1-2/5lb,0.264,1216,PS-1 Day/Night Photo Switch,0.192
