Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score
hmh00829,1-2-in-straight-barbed-bag-of-50,1/2 in. Straight Barbed (bag of 50),27.5,0.0,3422.0,"1/4"" TUBING BARBED tee (100/pk)",0.625,9.0,19.56,,,,0.0,,0,,0.625,low-score,Ambiguous: Δ=0.005,2295.0,CAN Storage Bags,0.62,1390.0,"1/4"" Straight Connector-5pk",0.612
hmh00814,10-x-10-x-10-y-connector,"10"" X 10"" X 10"" ""Y"" Connector",33.29,0.0,1016.0,"3/8"" Union Connector",0.623,1.0,4.89,,,,0.0,,0,,0.623,low-score,Ambiguous: Δ=0.047,1694.0,Y-Connector 12x10x10,0.576,783.0,"Tee 1/4""",0.565
hmh00759,trimbox-workstation-stand-only,TRIMBOX Workstation STAND ONLY,395.0,0.0,2201.0,Bucket Master Stand,0.622,18.0,9.77,,,,0.0,,0,,0.622,low-score,Ambiguous: Δ=0.170,423.0,Trimpro w/ Workstation GM,0.452,2833.0,Lightrail 4.0 Drive Motor Only,0.434
hmh01765,bi-pin-socket-adpter-for-pgzx18,BI-PIN Socket adpter for PGZX18,16.95,0.0,2787.0,315 Socket set Adapter,0.622,26.0,13.95,,,,0.0,,0,,0.622,low-score,High stock (~26) - manual confirmation,2875.0,58 Mogal Socket H.I.D.,0.419,2595.0,Double Ended Socket Set,0.347
hmh00827,1-2-in-elbow-barbed-bag-of-50,1/2 in. Elbow Barbed (bag of 50),31.5,0.0,3422.0,"1/4"" TUBING BARBED tee (100/pk)",0.621,9.0,19.56,,,,0.0,,0,,0.621,low-score,Ambiguous: Δ=0.024,2548.0,FloraFlex 8 in FloraCap 2.0,0.596,2869.0,"Reducer Tee 1/2"" to 3/8""",0.593
hmh00634,tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,132.0,0.0,2268.0,UNO Single Mechanical Timer,0.618,106.0,13.95,,,,0.0,,0,,0.618,low-score,High stock (~106) - manual confirmation,2706.0,UltraGrow 24 Hour Timer 120V,0.58,1245.0,CD-6NG Co2 Generator,0.394
,super-bud-feminised-big-bud-x-skunk-photo-5-seed,,,,1675.0,Fox Farm Big Bloom 5Gal,0.616,2.0,236.0,,,,0.0,,0,,0.616,low-score,Ambiguous: Δ=0.008,1660.0,Bud boom qt 0-6-5,0.609,3005.0,FoxFarm Bloom 0 - 0.5 - 0.7 gal,0.606
,super-bud-auto-feminised-super-bud-x-ruderalis-5-seed,,,,1660.0,Bud boom qt 0-6-5,0.615,5.0,15.99,,,,0.0,,0,,0.615,low-score,Ambiguous: Δ=0.002,2286.0,Bud Boom 0-6-5,0.613,1978.0,G.O. Bio Bud 2.5Gal,0.596
hmh01557,cocotek-grow-b-qts,CocoTek Grow B Qts.,15.89,0.0,3359.0,CocoTek BLOOM-B 6 Ga,0.615,0.0,99.0,,,,0.0,,0,,0.615,low-score,Ambiguous: Δ=0.001,661.0,"CocoTek 14"" Planter",0.614,1814.0,FLOWER BOX F.H.D.4/qts.,0.602
hmh00844,2-in-site-plug-case-of-20,2 in. Site Plug (case of 20),10.6,0.0,2548.0,FloraFlex 8 in FloraCap 2.0,0.615,130.0,8.25,,,,0.0,,0,,0.615,low-score,High stock (~130) - manual confirmation,797.0,"3"" Site Plug",0.602,798.0,"4"" Site Plug",0.602
,super-bud-feminised-big-bud-x-skunk-photo-5-seed,Super Bud (Feminised) Big Bud x Skunk Photo. 5 Seed,40.0,0.0,3097.0,FoxFarm Big Bloom 2.5 Gallon,0.614,0.0,167.49,,,,0.0,,0,,0.614,low-score,Ambiguous: Δ=0.032,1675.0,Fox Farm Big Bloom 5Gal,0.581,3005.0,FoxFarm Bloom 0 - 0.5 - 0.7 gal,0.576
hmh01556,cocotek-grow-a-qts,CocoTek grow A Qts.,15.89,0.0,661.0,"CocoTek 14"" Planter",0.614,0.0,18.28,,,,0.0,,0,,0.614,low-score,Ambiguous: Δ=0.006,3360.0,CocoTek BLOOM-A 6 G.,0.608,656.0,"CocoTek 8"" Basket Liner",0.597
hmh00900,6-ft-add-a-lamp-pkg-includes-rail-pushrod-trolley-hardware,6 ft add-a-lamp pkg. Includes rail pushrod trolley & hardware,59.95,0.0,895.0,Add-A-Lamp Hardware Kit,0.612,12.0,23.41,,,,0.0,,0,,0.612,low-score,Ambiguous: Δ=0.104,3148.0,OD Tray 4 ft x 6 ft - Black,0.508,3659.0,UltraGrow 6 lamp T5 /4ft,0.494
,scietetics-production-powder-bloom,Scietetics Production Powder Bloom,120.0,0.0,3501.0,N.C.R Bloom 1 gallon,0.611,-3.0,67.0,,,,0.0,,0,,0.611,low-score,Ambiguous: Δ=0.011,3502.0,N.C.R. Bloom 2.5 Gallon,0.601,677.0,Big Up Powder 8oz,0.591
hmh00850,snapture-cross-fitting,Snapture Cross Fitting,4.79,0.0,2610.0,"Reducer Fitting 1/2"" to 3/8""",0.608,219.0,0.24,,,,0.0,,0,,0.608,low-score,High stock (~219) - manual confirmation,2611.0,"3/8"" to 1/4"" Reducer Fitting",0.589,823.0,Screen Fitting,0.586
hmh01600,lec-315-240v-2,LEC 315 240V,429.0,0.0,2787.0,315 Socket set Adapter,0.608,26.0,13.95,,,,0.0,,0,,0.608,low-score,High stock (~26) - manual confirmation,2954.0,GREENPOWER FIXTURES HORIZ. 315,0.525,2612.0,Philips LEC 315 3100K Bulb,0.462
hmh01297,2mm-thick-25-mylar-roll,2mm Thick 25' Mylar Roll,30.95,0.0,2382.0,Flash-Gro 25' Roll,0.606,9.0,27.17,,,,0.0,,0,,0.606,low-score,Ambiguous: Δ=0.022,874.0,Block-IR 25' Roll,0.583,1378.0,Panda Film 100' Roll,0.459
hmh00923,1mm-thick-25-mylar-roll,1mm Thick 25' Mylar Roll,20.95,0.0,2382.0,Flash-Gro 25' Roll,0.606,9.0,27.17,,,,0.0,,0,,0.606,low-score,Ambiguous: Δ=0.022,874.0,Block-IR 25' Roll,0.583,1378.0,Panda Film 100' Roll,0.459
,nevilles-haze-feminised-almost-pure-haze-landrace-5-seed,,,,26.0,Pure Blend Pro Grow 5Gal,0.605,1.0,274.42,,,,0.0,,0,,0.605,low-score,Ambiguous: Δ=0.014,21.0,Pure Blend Pro Grow 2.5G,0.59,24.0,Pure Blend Pro Bloom 5Gal,0.588
,8of32-kings-juice-feminised-mimosa-x-kings-kush-5-seed,King's Juice (Feminised) Mimosa x King's Kush-5 Seed,45.0,0.0,3607.0,N.C.R. GROW Juice 2.5 Gallon,0.603,1.0,180.39,,,,0.0,,0,,0.603,low-score,Ambiguous: Δ=0.118,2356.0,Zeus Juice 2.5Gal,0.485,2715.0,Earth Juice Rainbow Mix Grow,0.271
hmh00978,replacemnt-probe-for-control-wizard-accurate-ph3-meter,Replacemnt probe for Control Wizard Accurate pH3 Meter,34.95,0.0,2832.0,Accurate pH 4 replacement probe,0.601,0.0,34.95,,,,0.0,,0,,0.601,low-score,Ambiguous: Δ=0.179,1950.0,pH-3 Replacement Probe,0.423,2983.0,Light control 8 light 120/240,0.402
hmh00731,20-can-filter-flange-max,"20"" Can Filter Flange Max",45.0,0.0,2986.0,"COMBO Max 14 w/Can 150 & 14"" Fl",0.601,0.0,1110.0,,,,0.0,,0,,0.601,low-score,Ambiguous: Δ=0.090,539.0,"CAN 12"" Flange",0.511,536.0,"CAN 6"" Flange",0.504
hmh00524,badboy-ho-t-5-4-ft-triphosphor-bloom-54-w-2900-k,"BADBOY HO T-5 4 ft Triphosphor Bloom 54 W, 2900 K",15.98,0.0,3136.0,Athena Bloom A 4-0-5 Gal.,0.6,8.0,45.0,,,,0.0,,0,,0.6,low-score,Ambiguous: Δ=0.004,3137.0,Athena Bloom B 0.7-6.5 Gal.,0.596,776.0,BadBoy T5 4'-12 Fixture w/ bulb,0.591
hmh00467,miniblocks-1-5-x-1-5-x-1-5-6-15mm-hole98-plugs-per-matt,"Miniblocks 1.5 x 1.5 x 1.5, 6/15mm hole<br>(98 plugs per matt)",19.95,0.0,3616.0,NETAFIM hole plug,0.599,100.0,0.66,,,,0.0,,0,,0.599,low-score,High stock (~100) - manual confirmation,3114.0,Grodon start plugs R/W 50 plugs,0.518,799.0,"6"" Site Plug",0.505
hmh00997,3-pack-1-5-v-batteries-for-hm-digital-meters,3-pack 1.5 V batteries for HM Digital Meters,8.95,0.0,1183.0,3 kg Digital Scale with 1.88 L,0.597,3.0,42.95,,,,0.0,,0,,0.597,low-score,Ambiguous: Δ=0.013,3555.0,Luster Leaf Digital Ph meter,0.584,2659.0,PK APATITE 2.5 Gal,0.553
hmh00758,trimbox,TRIMBOX,895.0,0.0,430.0,Trimbox Bag Replacement,0.596,0.0,38.12,,,,0.0,,0,,0.596,low-score,Ambiguous: Δ=0.070,428.0,Trimbox,0.526,,,
,skywalker-auto-skywalker-og-x-gelato-41-auto-5-seed,Skywalker Auto Skywalker OG x Gelato #41 Auto 5 seed,70.0,0.0,3257.0,"G.M.O. Auto ""OG""",0.595,0.0,50.0,,,,0.0,,0,,0.595,low-score,Ambiguous: Δ=0.050,3571.0,GELATO #41 @Flowers 32%,0.545,3535.0,Gelato #41 Simi FullTerm 11 G.,0.444
hmh00147,ona-storm,ONA Storm,199.99,0.0,2164.0,Ona Pro Gel Gal,0.594,-4.0,39.05,,,,0.0,,0,,0.594,low-score,Ambiguous: Δ=0.054,1717.0,Ona Mist Dispenser,0.54,2488.0,ONA Gel Apple Crumble Qt,0.481
,flowerbomb-kush-feminised-green-crack-x-og-kush-photo-5-seed,,,,2676.0,Spring Green 5 gal,0.591,1.0,214.6,,,,0.0,,0,,0.591,low-score,Ambiguous: Δ=0.003,2675.0,Spring Green 2.5 gal,0.588,452.0,TallBoy Green CocoCarbon Filter,0.578
hmh00903,robo-stick-lamp-stabilizer,Robo-Stick lamp stabilizer,31.95,0.0,364.0,Robo Stik,0.588,3.0,31.23,,,,0.0,,0,,0.588,low-score,Ambiguous: Δ=0.082,2979.0,"Sunblaster 18"" lamp",0.507,3659.0,UltraGrow 6 lamp T5 /4ft,0.462
hmh01237,xtreme-tea-brews-90-gm-pack,Xtreme Tea Brews 90 gm pack,10.99,0.0,2124.0,Flo-N-Brew Tea Kit,0.585,2.0,58.6,,,,0.0,,0,,0.585,low-score,Ambiguous: Δ=0.120,2192.0,Xtreme Tea 90g,0.465,2191.0,Xtreme Tea 90g 10ct Bag,0.409
hmh00926,2mm-thick-50-mylar-roll,2mm Thick 50' Mylar Roll,48.95,0.0,2828.0,Poly Tubing Black 1/4 in 50 ft,0.585,5.0,11.95,,,,0.0,,0,,0.585,low-score,Ambiguous: Δ=0.002,875.0,Block-IR 50' Roll,0.583,2829.0,Poly Tubing Black 3/8 in 50 ft,0.568
hmh00924,1mm-thick-50-mylar-roll,1mm Thick 50' Mylar Roll,30.95,0.0,2828.0,Poly Tubing Black 1/4 in 50 ft,0.585,5.0,11.95,,,,0.0,,0,,0.585,low-score,Ambiguous: Δ=0.002,875.0,Block-IR 50' Roll,0.583,2829.0,Poly Tubing Black 3/8 in 50 ft,0.568
hmh00939,mlc-16-lights-120-240-volt-universal-x-plug,"MLC 16 Lights (120/240 volt, Universal X-Plug)",619.95,0.0,2983.0,Light control 8 light 120/240,0.584,1.0,299.0,,,,0.0,,0,,0.584,low-score,Ambiguous: Δ=0.111,1214.0,LT4-120 4 Light Timer,0.473,1222.0,LT4-120-B 4 Light Timer,0.471
,cannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-complete-guide-to-marijuana-and-hemp-cultivationcannabis-growers-handbook-the-compl,Cannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp CultivationCannabis Grower's Handbook: The Complete Guide to Marijuana and Hemp Cultivation,34.95,0.0,3196.0,Cannabis Growers Handbook,0.584,0.0,44.95,,,,0.0,,0,,0.584,low-score,Ambiguous: Δ=0.281,971.0,M.J. Horticulture/Medical Bible,0.303,,Cannabis Seed AUTO,0.226
,ac-infinity-self-watering-fabric-pot-base-xl-4-pack,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack",89.99,0.0,2876.0,Square Plastic Pot Black 4 in,0.584,10.0,0.28,,,,0.0,,0,,0.584,low-score,Ambiguous: Δ=0.044,1188.0,"Cow Pot 4""  /12 per",0.54,1989.0,4 x 4 jiffy pots (10/$3.00),0.529
,money-maker-feminised-original-master-kush-x-hindu-kush-x-skunk-5-seed,,,,565.0,Master-A 5Gal,0.583,6.0,251.61,,,,0.0,,0,,0.583,low-score,Ambiguous: Δ=0.000,569.0,Master-B 5Gal,0.583,564.0,Master-A 2.5Gal,0.567
hmh00332,double-super-b-23-liter,Double Super B+ 23 liter,448.98,0.0,1857.0,Super Double B+ 500ml,0.583,4.0,22.98,,,,0.0,,0,,0.583,low-score,Ambiguous: Δ=0.091,1586.0,Super Double B+ Lt,0.492,1589.0,Super Double B+ 23L,0.468
hmh00151,doktor-doom-spider-mite-knock-out,Doktor Doom Spider Mite Knock Out,14.99,0.0,344.0,Spider Mite Knockout 16oz,0.581,41.0,19.75,,,,0.0,,0,,0.581,low-score,High stock (~41) - manual confirmation,1436.0,"TDS Monitor 1/4"" in/out",0.389,3355.0,Russet  MITE control.8 oz.,0.385
,flowerbomb-kush-feminised-green-crack-x-og-kush-photo-5-seed,Flowerbomb Kush (Feminised) Green Crack x OG Kush photo 5 Seed,50.0,0.0,2675.0,Spring Green 2.5 gal,0.58,1.0,120.7,,,,0.0,,0,,0.58,low-score,Ambiguous: Δ=0.004,2676.0,Spring Green 5 gal,0.576,452.0,TallBoy Green CocoCarbon Filter,0.575
,spin-pro-wire-replacments,,,,1885.0,PRO REPLACMENT charcoal 15lb,0.575,4.0,49.95,,,,0.0,,0,,0.575,low-score,Ambiguous: Δ=0.105,1141.0,Pre-Filter PRO 75,0.47,1142.0,Pre-Filter PRO 50,0.47
hmh01675,pure-clean-powerful-natural-enzymes,Pure Clean Powerful natural enzymes,32.0,0.0,2977.0,Plagron Pure Clean 500 ml,0.575,9.0,33.6,,,,0.0,,0,,0.575,low-score,Ambiguous: Δ=0.040,2560.0,Pure Enzym Lt,0.535,3216.0,Athena Reset Clean Line 5 Gal.,0.42
GEN-2eNG,uno-gen-2eng,UNO GEN-2eNG,200.0,100.0,999.0,UNO-GEN-1elp Propane,0.573,1.0,399.0,,,,0.0,,0,,0.573,low-score,Ambiguous: Δ=0.028,1308.0,GEN-2eNG Nat. Gas Co2 Generator,0.545,3494.0,UNO 4x8 Grow Tent,0.536
,jack-herer-feminised-haze-x-red-skunk-5-pk-seed,Jack Herer (Feminised) Haze x Red Skunk-5 pk Seed,44.0,0.0,2659.0,PK APATITE 2.5 Gal,0.572,-1.0,321.0,,,,0.0,,0,,0.572,low-score,Ambiguous: Δ=0.014,3568.0,Jacks 5-50-18 UltraViolet 1kg,0.558,3357.0,Ionic PK Boost 2.5 Gallon,0.545
