Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score,delta
hmh00822,1-2-grommet-bag-of-25,"1/2"" Grommet (bag of 25)",17.0,0.0,963.0,Grow Bag 5Gal,0.697,261.0,0.64,,,,0.0,,0,,0.697,ambiguous,High stock (~261) - manual confirmation,1924.0,Grow Bag 5Gal 25Pk,0.675,2874.0,25 mesh bubble bag 5 gallon,0.67,0.02199999999999991
hmh00824,1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",22.0,0.0,788.0,"Grommet 1""",0.677,38.0,1.95,,,,0.0,,0,,0.677,ambiguous,High stock (~38) - manual confirmation,789.0,"Grommet 1 1/4""",0.676,1924.0,Grow Bag 5Gal 25Pk,0.668,0.0010000000000000009
hmh00861,pulse-start-m-h-600w-10000k-for-final-flowering,"Pulse Start M.H.600W. 10,000K for Final Flowering",79.95,0.0,1484.0,"Pulse Start 400w MH 10,000k",1.096,32.0,58.6,,,,0.0,,0,,1.096,ambiguous,High stock (~32) - manual confirmation,1490.0,"Pulse Start 1000w MH 10,000k",1.093,1486.0,Pulse Start 600w MH 3000k,0.655,0.0030000000000001137
hmh00204,floraduo-a-1-qt,FloraDuo A 1 qt,15.89,0.0,193.0,FloraDuo (Part-B) Qt,1.337,21.0,16.37,,,,0.0,,0,,1.337,ambiguous,High stock (~21) - manual confirmation,195.0,FloraDuo (Part-A) Qt,1.337,196.0,FloraDuo (Part-B) Gal,0.921,0.0
hmh00209,floraduo-b-1-qt,FloraDuo B 1 qt,15.89,0.0,193.0,FloraDuo (Part-B) Qt,1.327,21.0,16.37,,,,0.0,,0,,1.327,ambiguous,High stock (~21) - manual confirmation,195.0,FloraDuo (Part-A) Qt,1.316,196.0,FloraDuo (Part-B) Gal,0.911,0.010999999999999899
hmh00293,holland-secret-grow-4l,Holland Secret Grow 4L,37.95,0.0,1575.0,Holland Secret Micro 4L. 5-0-2,1.154,13.0,42.98,,,,0.0,,0,,1.154,ambiguous,Ambiguous: Δ=0.015,1579.0,Holland Secret Bloom 4L. 0-6-4,1.139,1577.0,Holland Secret Grow 4L 2-1-7,0.957,0.014999999999999902
hmh01691,plagron-hydro-b-liter,Plagron Hydro B Liter,14.75,0.0,1803.0,Coco B Plagron liter,0.881,12.0,20.95,,,,0.0,,0,,0.881,ambiguous,Ambiguous: Δ=0.010,3520.0,Coco A Plagron liter,0.871,2207.0,Plagron Cocos B 0-4-2 /10 liter,0.79,0.010000000000000009
hmh00364,humboldt-master-a-1-qt,Humboldt Master A 1 qt,23.4,0.0,562.0,Master-A Qt,1.181,10.0,22.87,,,,0.0,,0,,1.181,ambiguous,Ambiguous: Δ=0.009,566.0,Master-B Qt,1.172,574.0,FlavorFul Qt,0.93,0.009000000000000119
hmh00368,humboldt-master-b-1-qt,Humboldt Master B 1 qt,23.4,0.0,566.0,Master-B Qt,1.181,9.0,22.87,,,,0.0,,0,,1.181,ambiguous,Ambiguous: Δ=0.009,562.0,Master-A Qt,1.172,574.0,FlavorFul Qt,0.93,0.009000000000000119
hmh00205,floraduo-a-1-gal,FloraDuo A 1 gal,35.89,0.0,196.0,FloraDuo (Part-B) Gal,1.346,7.0,40.96,,,,0.0,,0,,1.346,ambiguous,Ambiguous: Δ=0.000,197.0,FloraDuo (Part-A) Gal,1.346,3138.0,Athena Grow A 4-0-1 Gal.,1.114,0.0
hmh00210,floraduo-b-1-gal,FloraDuo B 1 gal,35.89,0.0,196.0,FloraDuo (Part-B) Gal,1.336,7.0,40.96,,,,0.0,,0,,1.336,ambiguous,Ambiguous: Δ=0.010,197.0,FloraDuo (Part-A) Gal,1.326,3138.0,Athena Grow A 4-0-1 Gal.,1.114,0.010000000000000009
hmh00685,diamond-black-6-gal,Diamond Black 6 gal,209.98,0.0,275.0,Diamond Black Gal,0.871,6.0,52.95,,,,0.0,,0,,0.871,ambiguous,Ambiguous: Δ=0.000,3451.0,Diamond Black Gal,0.871,3137.0,Athena Bloom B 0.7-6.5 Gal.,0.835,0.0
hmh00256,diamond-black-1-gal,Diamond Black 1 gal,52.3,0.0,275.0,Diamond Black Gal,1.22,6.0,52.95,,,,0.0,,0,,1.22,ambiguous,Ambiguous: Δ=0.000,3451.0,Diamond Black Gal,1.22,274.0,Diamond Black Qt,0.958,0.0
hmh00037,subculture-m-200gm-bag,SubCulture M 200gm. Bag,39.98,0.0,375.0,SubCulture M 75g,0.675,6.0,18.98,,,,0.0,,0,,0.675,ambiguous,Ambiguous: Δ=0.010,374.0,SubCulture B 75g.,0.665,2666.0,SubCulture-B 75 Gram,0.533,0.010000000000000009
