Variant SKU,Handle,Title,POS Item Number,Alt1 Item Number,Match Score,Alt1 Score,Score Gap,Review Status,Review Notes,Status Reason,Best Metric Advantage Count,Alt Metric Advantage Count,Heuristic Signals,Recommended Action,Recommendation Rationale
hmh00824,1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",788,789,0.677,0.676,0.0010000000000000009,manual-alt-stronger,Needs review: close alt 789 (Δ=0.001),token overlap: best 1 >= alt 1.0; number overlap: alt 2.0 > best 1; size overlap: best 0 >= alt 0.0; price delta: alt 0.8891 closer than best 0.9114; fuzzy ratio: best 0.2857142857142857 >= alt 0.2833333333333333,3,2,fuzzy ratio: best 0.2857142857142857 >= alt 0.2833333333333333; number overlap: alt 2.0 > best 1; price delta: alt 0.8891 closer than best 0.9114; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
hmh01544,100-ft-black-white-panda-film-poly,100 ft. Black & White Panda Film (poly),2634,1378,0.771,0.771,0.0,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh00855,1000-w-hps-alto-agrolite-xt-140000-lumens,1000 W HPS Alto Agrolite XT 140000 lumens,1493,1504,0.632,0.631,0.0010000000000000009,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh00833,4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,2398,3658,0.642,0.626,0.016000000000000014,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Score gap 0.016 exceeds 0.015 threshold.
hmh01709,badboy-ho-t-5-triphosphor-bloom-54w-2900k,BadBoy HO T-5 Triphosphor Bloom 54W 2900K,3137,3281,0.656,0.654,0.0020000000000000018,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh00533,badboy-t-5-4-ft-6-lamp-fixture-324-w,BADBOY T-5 4 ft - 6 Lamp Fixture 324 W,773,777,0.692,0.69,0.0020000000000000018,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh00534,badboy-t-5-4-ft-8-lamp-fixture-432-w,BADBOY T-5 4 ft - 8 Lamp Fixture 432 W,773,775,0.692,0.685,0.006999999999999895,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh00261,bcuzz-bio-nrg-growth-c-1l,B'Cuzz BIO-NRG Growth-C 1L,135,1069,0.743,0.702,0.041000000000000036,manual-alt-stronger,Verify vs alt 1069 (score 0.702),token overlap: alt 3.0 > best 2; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0228 <= alt 0.0228; fuzzy ratio: best 0.5426356589147286 >= alt 0.3676470588235294,4,1,fuzzy ratio: best 0.5426356589147286 >= alt 0.3676470588235294; number overlap: best 0 >= alt 0.0; price delta: best 0.0228 <= alt 0.0228; size overlap: best 0 >= alt 0.0; token overlap: alt 3.0 > best 2,keep,Score gap 0.041 provides margin over alt.
hmh01226,bcuzz-coco-nutrition-componet-a-1l,B'Cuzz CoCo Nutrition Componet A 1L,2098,2097,0.702,0.693,0.009000000000000008,manual-alt-stronger,Needs review: close alt 2097 (Δ=0.009),token overlap: best 3 >= alt 3.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0000 <= alt 0.0056; fuzzy ratio: alt 0.532608695652174 > best 0.4971751412429379,4,1,fuzzy ratio: alt 0.532608695652174 > best 0.4971751412429379; number overlap: best 0 >= alt 0.0; price delta: best 0.0000 <= alt 0.0056; size overlap: best 0 >= alt 0.0; token overlap: best 3 >= alt 3.0,keep,Best candidate retains overall advantage.
hmh01228,bcuzz-coco-nutrition-componet-a-5l,B'Cuzz CoCo Nutrition Componet A 5L,1072,2098,0.731,0.727,0.0040000000000000036,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,switch,Score gap ≤ 0.005; recommend alt for closer fit.
hmh01229,bcuzz-coco-nutrition-componet-b-5l,B'Cuzz CoCo Nutrition Componet B 5L,2098,1073,0.739,0.731,0.008000000000000007,manual-review,auto-resolved: text similarity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh00276,bcuzz-growth-stimulator-12oz,B'Cuzz Growth Stimulator - 12oz,135,1185,0.777,0.762,0.015000000000000013,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Score gap 0.015 exceeds 0.015 threshold.
,bloom-grease-fermented-flowering-plant-juice,Bloom Grease * Fermented Flowering Plant Juice,365,3649,0.685,0.649,0.03600000000000003,manual-alt-stronger,Verify vs alt 3649 (score 0.649),token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: alt 0.4415584415584415 > best 0.4331210191082802,4,1,fuzzy ratio: alt 0.4415584415584415 > best 0.4331210191082802; number overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; size overlap: best 0 >= alt 0.0; token overlap: best 2 >= alt 2.0,keep,Score gap 0.036 provides margin over alt.
hmh01713,eye-hortilux-e-start-metal-halide-lamps-2,Eye Hortilux e-Start Metal Halide Lamps,2649,1744,0.64,0.626,0.014000000000000012,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh01038,final-phase-1-lt,Final Phase (1 lt),266,255,0.741,0.733,0.008000000000000007,manual-review,auto-resolved: token overlap,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
hmh00180,flora-bloom-16-oz,Flora Bloom 16 oz,29,3154,0.773,0.755,0.018000000000000016,manual-alt-stronger,Needs review: close alt 3154 (Δ=0.018),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.1290 closer than best 0.1540; fuzzy ratio: best 0.4 >= alt 0.3673469387755102,4,1,fuzzy ratio: best 0.4 >= alt 0.3673469387755102; number overlap: best 1 >= alt 1.0; price delta: alt 0.1290 closer than best 0.1540; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
hmh01828,flora-bloom-275-gal,Flora Bloom 275 gal,3502,3281,0.97,0.966,0.0040000000000000036,manual-alt-stronger,Needs review: close alt 3281 (Δ=0.004),token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.9378 closer than best 0.9537; fuzzy ratio: best 0.5271317829457365 >= alt 0.5203252032520326,4,1,fuzzy ratio: best 0.5271317829457365 >= alt 0.5203252032520326; number overlap: best 0 >= alt 0.0; price delta: alt 0.9378 closer than best 0.9537; size overlap: best 0 >= alt 0.0; token overlap: best 2 >= alt 2.0,switch,Alt offers closer price alignment with similar score.
hmh00170,flora-micro-16-oz,Flora Micro 16 oz,29,3154,0.773,0.755,0.018000000000000016,manual-alt-stronger,Needs review: close alt 3154 (Δ=0.018),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.0455 closer than best 0.0686; fuzzy ratio: best 0.4 >= alt 0.3673469387755102,4,1,fuzzy ratio: best 0.4 >= alt 0.3673469387755102; number overlap: best 1 >= alt 1.0; price delta: alt 0.0455 closer than best 0.0686; size overlap: best 0 >= alt 0.0; token overlap: best 1 >= alt 1.0,switch,Alt offers closer price alignment with similar score.
,gummibears-auto-seed-8pk,,356,3563,0.635,0.598,0.03700000000000003,manual-alt-stronger,Verify vs alt 3563 (score 0.598),token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: alt 0.3529411764705882 > best 0.2954545454545454,4,1,fuzzy ratio: alt 0.3529411764705882 > best 0.2954545454545454; number overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; size overlap: best 0 >= alt 0.0; token overlap: best 2 >= alt 2.0,keep,Score gap 0.037 provides margin over alt.
hmh01395,herculean-harvest-gallon,Herculean Harvest Gallon,2358,2359,0.761,0.748,0.013000000000000012,manual-review,auto-resolved: price proximity,Needs human confirmation,0,0,,keep,Moderate score gap; maintain current pairing pending review.
