Variant SKU,Title,Variant Price,POS Item Number,POS Item Name,Match Score,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Review Notes,best_price_delta,alt_price_delta,best_tokens,alt_tokens,best_numbers,alt_numbers,best_size,alt_size,best_ratio,alt_ratio
hmh01685,Plagron Cocos A 5 liter,52.5,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.553,2207.0,Plagron Cocos B 0-4-2 /10 liter,1.538,Needs review: close alt 2207 (Δ=0.014),1.1561904761904762,1.1523809523809523,3,3.0,1,1.0,0,0.0,0.6052631578947368,0.5789473684210527
hmh01687,Plagron Cocos B  5 liter,52.5,2207.0,Plagron Cocos B 0-4-2 /10 liter,1.553,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.538,Needs review: close alt 2208 (Δ=0.014),1.1523809523809523,1.1561904761904762,3,3.0,1,1.0,0,0.0,0.6052631578947368,0.5789473684210527
hmh00353,Humboldt Bloom 5 gal,117.0,3281.0,Athena Bloom A 5 Gal,1.502,3282.0,Athena Bloom B 5 Gal,1.502,Needs review: close alt 3282 (Δ=0.000),0.7094017094017094,0.7094017094017094,2,2.0,1,1.0,0,0.0,0.512,0.512
hmh00342,Humboldt Grow 1 gal,29.84,3138.0,Athena Grow A 4-0-1 Gal.,1.471,3139.0,Athena Grow B 1-3-5 Gal.,1.471,Needs review: close alt 3139 (Δ=0.000),0.5080428954423593,0.5080428954423593,1,1.0,1,1.0,0,0.0,0.4566929133858268,0.4566929133858268
hmh01493,Ona Pro Gel Pail (1 Gal),39.95,2164.0,Ona Pro Gel Gal,1.442,1909.0,ONA Pro Gel Pail Gal,1.44,Needs review: close alt 1909 (Δ=0.002),0.022528160200250454,0.022528160200250454,4,5.0,1,1.0,0,0.0,0.6050420168067226,0.5645161290322581
,,0.0,3579.0,AUTO GMO Auto,1.385,3257.0,"G.M.O. Auto ""OG""",1.377,Needs review: close alt 3257 (Δ=0.008),inf,inf,3,3.0,1,1.0,0,0.0,0.4444444444444444,0.4411764705882353
hmh01686,Plagron Cocos B  liter,14.0,2207.0,Plagron Cocos B 0-4-2 /10 liter,1.349,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.334,Needs review: close alt 2208 (Δ=0.015),7.071428571428571,7.085714285714286,3,3.0,0,0.0,0,0.0,0.6351351351351351,0.6081081081081081
hmh01684,Plagron Cocos A liter,14.0,2208.0,Plagron Cocos A 0-4-2 /10 liter,1.349,2207.0,Plagron Cocos B 0-4-2 /10 liter,1.334,Needs review: close alt 2207 (Δ=0.015),7.085714285714286,7.071428571428571,3,3.0,0,0.0,0,0.0,0.6351351351351351,0.6081081081081081
hmh00205,FloraDuo A 1 gal,35.89,196.0,FloraDuo (Part-B) Gal,1.346,197.0,FloraDuo (Part-A) Gal,1.346,Needs review: close alt 197 (Δ=0.000),0.1412649763165227,0.14182223460573964,2,2.0,1,1.0,0,0.0,0.5925925925925926,0.5925925925925926
hmh00204,FloraDuo A 1 qt,15.89,193.0,FloraDuo (Part-B) Qt,1.337,195.0,FloraDuo (Part-A) Qt,1.337,Needs review: close alt 195 (Δ=0.000),0.03020767778477032,0.03020767778477032,2,2.0,1,1.0,0,0.0,0.5769230769230769,0.5769230769230769
hmh00210,FloraDuo B 1 gal,35.89,196.0,FloraDuo (Part-B) Gal,1.336,197.0,FloraDuo (Part-A) Gal,1.326,Needs review: close alt 197 (Δ=0.010),0.1412649763165227,0.14182223460573964,2,2.0,1,1.0,0,0.0,0.5740740740740741,0.5555555555555556
hmh00209,FloraDuo B 1 qt,15.89,193.0,FloraDuo (Part-B) Qt,1.327,195.0,FloraDuo (Part-A) Qt,1.316,Needs review: close alt 195 (Δ=0.011),0.03020767778477032,0.03020767778477032,2,2.0,1,1.0,0,0.0,0.5576923076923077,0.5384615384615384
hmh00405,Bloom Natural 5 gal,421.2,3136.0,Athena Bloom A 4-0-5 Gal.,1.301,3137.0,Athena Bloom B 0.7-6.5 Gal.,1.276,Needs review: close alt 3137 (Δ=0.025),0.8931623931623932,0.8931623931623932,2,2.0,1,1.0,0,0.0,0.5116279069767442,0.46616541353383456
hmh00256,Diamond Black 1 gal,52.3,275.0,Diamond Black Gal,1.22,3451.0,Diamond Black Gal,1.22,Needs review: close alt 3451 (Δ=0.000),0.01242829827915881,0.01242829827915881,3,3.0,1,1.0,0,0.0,0.6065573770491803,0.6065573770491803
