Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score,Review Status,Status Reason,Score Delta vs Alt
hmh00824,1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",22.0,0.0,788.0,"Grommet 1""",0.677,38.0,1.95,788,"Grommet 1""",1 Pc,38.0,1.95,0,Nickel City Wholesale Garden Supply,0.677,needs-review,Needs review: close alt 789 (Δ=0.001),789,"Grommet 1 1/4""",0.676,1924.0,Grow Bag 5Gal 25Pk,0.668,manual-alt-stronger,token overlap: best 1 >= alt 1.0; number overlap: alt 2.0 > best 1; size overlap: best 0 >= alt 0.0; price delta: alt 0.8891 closer than best 0.9114; fuzzy ratio: best 0.2857142857142857 >= alt 0.2833333333333333,0.0010000000000000009
hmh00621,1-1-4-reservoir-filter,"1 1/4"" reservoir filter",7.59,0.0,729.0,G.H. 20Gal Reservoir Only,0.675,1.0,53.74,1465,20gal Reservoir Lid,1 Pc,3.0,39.05,0,NGW,0.666,needs-review,auto-resolved: alt price proximity,1465,20gal Reservoir Lid,0.666,727.0,G.H. 5Gal Reservoir Only,0.665,ready-alt-validated,token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 4.1449 <= alt 4.1449; fuzzy ratio: best 0.4740740740740741 >= alt 0.4740740740740741; Score delta 0.000,0.0
hmh00837,1-2-fill-drain-fitting-bag-of-10,"1/2"" Fill & Drain Fitting (Bag of 10)",15.9,0.0,1546.0,"Short Tub Outlet Fitting 1/2""",0.749,0.0,2.0,1546,"Short Tub Outlet Fitting 1/2""",1 Pc,0.0,2.0,0,NGW,0.749,needs-review,Verify vs alt 2610 (score 0.639),261,"Reducer Fitting 1/2"" to 3/8""",0.639,2895.0,"Tru Hole1 1/8-1 1/4"" Fitting",0.631,ready-strong-gap,Match score exceeds alt by 0.110,0.10999999999999999
hmh00822,1-2-grommet-bag-of-25,"1/2"" Grommet (bag of 25)",17.0,0.0,963.0,Grow Bag 5Gal,0.697,261.0,0.64,963,Grow Bag 5Gal,1 Pc,261.0,0.64,0,NGW,0.697,needs-review,Needs review: close alt 1924 (Δ=0.022),1924,Grow Bag 5Gal 25Pk,0.675,2874.0,25 mesh bubble bag 5 gallon,0.67,ready-alt-validated,token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.9624 <= alt 0.9782; fuzzy ratio: best 0.4424778761061947 >= alt 0.4032258064516129; Score delta 0.022,0.02199999999999991
hmh00823,1-grommet-bag-of-10,"1"" Grommet (bag of 10)",19.0,0.0,1924.0,Grow Bag 5Gal 25Pk,0.682,0.0,0.37,921,Pump Filter Bag Large,1 Pc,12.0,11.24,0,NGW,0.672,needs-review,auto-resolved: alt price proximity,921,Pump Filter Bag Large,0.672,788.0,"Grommet 1""",0.657,ready-alt-validated,token overlap: best 1 >= alt 1.0; number overlap: best 2 >= alt 2.0; size overlap: best 0 >= alt 0.0; price delta: best 0.4084 <= alt 0.4084; fuzzy ratio: best 0.3676470588235294 >= alt 0.3676470588235294; Score delta 0.000,0.0
hmh01326,10-in-hose-clamps,10 in. hose clamps,2.8,0.0,1126.0,"Worm Gear Clamp 10""",0.776,15.0,4.3,1126,"Worm Gear Clamp 10""",1 Pc,15.0,4.3,0,Nickel City Wholesale Garden Supply,0.776,needs-review,Verify vs alt 705 (score 0.684),705,"Flexible Ducting 10""x25'",0.684,2987.0,"14"" x 25' Can Duct w/ 2 clamps",0.67,ready-strong-gap,Match score exceeds alt by 0.092,0.09199999999999997
hmh01544,100-ft-black-white-panda-film-poly,100 ft. Black & White Panda Film (poly),100.5,0.0,2634.0,Panda Film 5.5 ml. 100`,0.771,-2.0,98.24,2634,Panda Film 5.5 ml. 100`,10x100,-2.0,98.24,0,Nickel City Wholesale Garden Supply,0.771,needs-review,auto-resolved: price proximity,1378,Panda Film 100' Roll,0.771,2388.0,"G.H. Black 1/8"" Drip Line 100'",0.723,manual-review,Needs human confirmation,0.0
hmh00855,1000-w-hps-alto-agrolite-xt-140000-lumens,1000 W HPS Alto Agrolite XT 140000 lumens,99.95,0.0,1493.0,Phillips Agrolite XT 1000w,0.632,16.0,79.95,1493,Phillips Agrolite XT 1000w,1 Box,16.0,79.95,0,Nickel City Wholesale Garden Supply,0.632,needs-review,auto-resolved: price proximity,1504,Plantmax 1000w HPS,0.631,1503.0,Plantmax 600w HPS,0.628,manual-review,Needs human confirmation,0.0010000000000000009
hmh01327,12-in-hose-clamps,12 in. hose clamps,4.0,0.0,1125.0,"Worm Gear Clamp 12""",0.776,39.0,5.87,1125,"Worm Gear Clamp 12""",1 Pc,39.0,5.87,0,Nickel City Wholesale Garden Supply,0.776,needs-review,Verify vs alt 2987 (score 0.687),2987,"14"" x 25' Can Duct w/ 2 clamps",0.687,706.0,"Flexible Ducting 12""x25'",0.684,ready-strong-gap,Match score exceeds alt by 0.089,0.08899999999999997
hmh01120,120v-120v-4-light-switcher,120V - 120V 4 Light Switcher,148.0,0.0,1214.0,LT4-120 4 Light Timer,0.91,1.0,233.45,1214,LT4-120 4 Light Timer,1 Box,1.0,233.45,0,Nickel City Wholesale Garden Supply,0.91,needs-review,Needs review: close alt 1222 (Δ=0.003),1222,LT4-120-B 4 Light Timer,0.907,1219.0,LT4-240 4 Light Timer,0.855,ready-alt-validated,token overlap: best 2 >= alt 2.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: best 0.5774 <= alt 0.5774; fuzzy ratio: best 0.3458646616541353 >= alt 0.3407407407407407; Score delta 0.003,0.0030000000000000027
hmh00729,16-can-filter-flange-max,"16"" Can Filter Flange Max",38.33,0.0,1131.0,"CAN Max-Fan 16""",0.685,1.0,1216.38,1131,"CAN Max-Fan 16""",1 Box,1.0,1216.38,0,Nickel City Wholesale Garden Supply,0.685,needs-review,Verify vs alt 2986 (score 0.601),2986,"COMBO Max 14 w/Can 150 & 14"" Fl",0.601,536.0,"CAN 6"" Flange",0.513,ready-strong-gap,Match score exceeds alt by 0.084,0.08400000000000007
hmh00730,18-can-filter-flange-max,"18"" Can Filter Flange Max",41.66,0.0,2277.0,"CAN Max-Fan 18""",0.696,1.0,1531.34,2277,"CAN Max-Fan 18""",1 Box,1.0,1531.34,0,Nickel City Wholesale Garden Supply,0.696,needs-review,Verify vs alt 2986 (score 0.601),2986,"COMBO Max 14 w/Can 150 & 14"" Fl",0.601,537.0,"CAN 8"" Flange",0.513,ready-strong-gap,Match score exceeds alt by 0.095,0.09499999999999997
hmh01481,2-sunblaster-t5-combo-6400k-2232-lumens,2' Sunblaster T5 Combo 6400k (2232 Lumens),40.5,0.0,2497.0,Sunblaster 2' T5 Combo,0.768,6.0,42.99,2497,Sunblaster 2' T5 Combo,1 Pc,6.0,42.99,0,Nickel City Wholesale Garden Supply,0.768,needs-review,auto-resolved: price proximity,3032,SunBlaster/LED Strip Lights 24,0.744,1898.0,Sunblaster 2' Reflector,0.69,ready-gap,Match score exceeds alt by 0.024,0.02400000000000002
hmh00842,3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),56.0,0.0,1354.0,"3"" Net Pot",0.767,47.0,0.59,1354,"3"" Net Pot",1 Pc,47.0,0.59,0,NGW,0.767,needs-review,auto-resolved: text similarity,813,"3.75"" Net Pot",0.734,1685.0,Pot Elevator - 13 in,0.632,ready-gap,Match score exceeds alt by 0.033,0.03300000000000003
