Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score,Review Status,Status Reason,Score Delta vs Alt,Recommended Action,Manual Decision,Decision Applied
hmh00824,1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",22.0,0.0,788.0,"Grommet 1""",0.677,38.0,1.95,789,"Grommet 1""",1 Pc,38.0,1.95,0,Nickel City Wholesale Garden Supply,0.677,needs-review,Needs review: close alt 789 (Δ=0.001),789,"Grommet 1 1/4""",0.676,1924.0,Grow Bag 5Gal 25Pk,0.668,manual-alt-stronger,token overlap: best 1 >= alt 1.0; number overlap: alt 2.0 > best 1; size overlap: best 0 >= alt 0.0; price delta: alt 0.8891 closer than best 0.9114; fuzzy ratio: best 0.2857142857142857 >= alt 0.2833333333333333,0.0010000000000000009,switch,switch,POS switched
hmh01544,100-ft-black-white-panda-film-poly,100 ft. Black & White Panda Film (poly),100.5,0.0,2634.0,Panda Film 5.5 ml. 100`,0.771,-2.0,98.24,1378,Panda Film 5.5 ml. 100`,10x100,-2.0,98.24,0,Nickel City Wholesale Garden Supply,0.771,needs-review,auto-resolved: price proximity,1378,Panda Film 100' Roll,0.771,2388.0,"G.H. Black 1/8"" Drip Line 100'",0.723,manual-review,Needs human confirmation,0.0,switch,switch,POS switched
hmh00855,1000-w-hps-alto-agrolite-xt-140000-lumens,1000 W HPS Alto Agrolite XT 140000 lumens,99.95,0.0,1493.0,Phillips Agrolite XT 1000w,0.632,16.0,79.95,1504,Phillips Agrolite XT 1000w,1 Box,16.0,79.95,0,Nickel City Wholesale Garden Supply,0.632,needs-review,auto-resolved: price proximity,1504,Plantmax 1000w HPS,0.631,1503.0,Plantmax 600w HPS,0.628,manual-review,Needs human confirmation,0.0010000000000000009,switch,switch,POS switched
hmh00833,4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,7.95,0.0,2398.0,5 Gal. Bucket,0.642,81.0,11.99,2398,5 Gal. Bucket,1 Pc,81.0,11.99,0,Sunlight Supply inc.,0.642,needs-review,auto-resolved: price proximity,3658,Agrowlyte Gallon 4 to 1 Wash,0.626,1363.0,Bubble bucket kit,0.609,manual-review,Needs human confirmation,0.016000000000000014,keep,keep,kept original
hmh01709,badboy-ho-t-5-triphosphor-bloom-54w-2900k,BadBoy HO T-5 Triphosphor Bloom 54W 2900K,15.95,0.0,3137.0,Athena Bloom B 0.7-6.5 Gal.,0.656,8.0,45.0,3281,Athena Bloom B 0.7-6.5 Gal.,gallon,8.0,45.0,0,Athena,0.656,needs-review,auto-resolved: price proximity,3281,Athena Bloom A 5 Gal,0.654,3282.0,Athena Bloom B 5 Gal,0.654,manual-review,Needs human confirmation,0.0020000000000000018,switch,switch,POS switched
hmh00533,badboy-t-5-4-ft-6-lamp-fixture-324-w,BADBOY T-5 4 ft - 6 Lamp Fixture 324 W,175.0,0.0,773.0,BadBoy T5 4'-4 Fixture w/ Bulbs,0.692,13.0,170.0,777,BadBoy T5 4'-4 Fixture w/ Bulbs,1 Box,13.0,170.0,0,Nickel City Wholesale Garden Supply,0.692,needs-review,auto-resolved: price proximity,777,BadBoy T5 4'-16 Fixture w/ Bulb,0.69,774.0,BadBoy T5 4'-6 Fixture w/ Bulbs,0.685,manual-review,Needs human confirmation,0.0020000000000000018,switch,switch,POS switched
hmh00534,badboy-t-5-4-ft-8-lamp-fixture-432-w,BADBOY T-5 4 ft - 8 Lamp Fixture 432 W,200.0,0.0,773.0,BadBoy T5 4'-4 Fixture w/ Bulbs,0.692,13.0,170.0,773,BadBoy T5 4'-4 Fixture w/ Bulbs,1 Box,13.0,170.0,0,Nickel City Wholesale Garden Supply,0.692,needs-review,auto-resolved: price proximity,775,BadBoy T5 4'-8 Fixture w/ bulbs,0.685,777.0,BadBoy T5 4'-16 Fixture w/ Bulb,0.684,manual-review,Needs human confirmation,0.006999999999999895,keep,keep,kept original
hmh00261,bcuzz-bio-nrg-growth-c-1l,B'Cuzz BIO-NRG Growth-C 1L,16.7,0.0,1350.0,B'Cuzz Growth-C Qt,0.743,6.0,16.32,135,B'Cuzz Growth-C Qt,liter,6.0,16.32,0,Nickel City Wholesale Garden Supply,0.743,needs-review,Verify vs alt 1069 (score 0.702),1069,B'Cuzz Flavor-C Qt,0.702,1068.0,B'Cuzz Bloom-C Qt,0.669,manual-alt-stronger,token overlap: alt 3.0 > best 2; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0228 <= alt 0.0228; fuzzy ratio: best 0.5426356589147286 >= alt 0.3676470588235294,0.041000000000000036,keep,keep,kept original
hmh01226,bcuzz-coco-nutrition-componet-a-1l,B'Cuzz CoCo Nutrition Componet A 1L,16.1,0.0,2098.0,B'Cuzz Coco Nutrition B Qt,0.702,2.0,16.1,2098,B'Cuzz Coco Nutrition B Qt,1 Qt,2.0,16.1,0,Nickel City Wholesale Garden Supply,0.702,needs-review,Needs review: close alt 2097 (Δ=0.009),2097,B'cuzz Coco Nutrition A Qt,0.693,1070.0,B'Cuzz Hydro Nutrition A Qt,0.581,manual-alt-stronger,token overlap: best 3 >= alt 3.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best 0.0000 <= alt 0.0056; fuzzy ratio: alt 0.532608695652174 > best 0.4971751412429379,0.009000000000000008,keep,keep,kept original
hmh01228,bcuzz-coco-nutrition-componet-a-5l,B'Cuzz CoCo Nutrition Componet A 5L,65.5,0.0,1072.0,B'Cuzz Hydro Nutrition A 5L,0.731,5.0,50.34,2098,B'Cuzz Hydro Nutrition A 5L,5 Lt,5.0,50.34,0,Nickel City Wholesale Garden Supply,0.731,needs-review,auto-resolved: price proximity,2098,B'Cuzz Coco Nutrition B Qt,0.727,1073.0,B'Cuzz Hydro Nutrition B 5L,0.724,manual-review,Needs human confirmation,0.0040000000000000036,switch,switch,POS switched
hmh01229,bcuzz-coco-nutrition-componet-b-5l,B'Cuzz CoCo Nutrition Componet B 5L,65.5,0.0,2098.0,B'Cuzz Coco Nutrition B Qt,0.739,2.0,16.1,2098,B'Cuzz Coco Nutrition B Qt,1 Qt,2.0,16.1,0,Nickel City Wholesale Garden Supply,0.739,needs-review,auto-resolved: text similarity,1073,B'Cuzz Hydro Nutrition B 5L,0.731,1072.0,B'Cuzz Hydro Nutrition A 5L,0.724,manual-review,Needs human confirmation,0.008000000000000007,keep,keep,kept original
hmh00276,bcuzz-growth-stimulator-12oz,B'Cuzz Growth Stimulator - 12oz,22.0,0.0,1350.0,B'Cuzz Growth-C Qt,0.777,6.0,16.32,135,B'Cuzz Growth-C Qt,liter,6.0,16.32,0,Nickel City Wholesale Garden Supply,0.777,needs-review,auto-resolved: price proximity,1185,B’Cuzz Bloom Stimulator 0-0-0.7,0.762,1055.0,B'Cuzz Grow 12oz,0.713,manual-review,Needs human confirmation,0.015000000000000013,keep,keep,kept original
,bloom-grease-fermented-flowering-plant-juice,Bloom Grease * Fermented Flowering Plant Juice,29.97,100.0,3650.0,Bloom GREASE canna 1000 ml,0.685,12.0,106.0,365,Bloom GREASE canna 1000 ml,1000 ml,12.0,106.0,0,GREASE,0.685,needs-review,Verify vs alt 3649 (score 0.649),3649,Bloom GREASE canna 500 ml,0.649,3542.0,GREASE CANNABLOOM FERMENTED 250,0.63,manual-alt-stronger,token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: best inf <= alt inf; fuzzy ratio: alt 0.4415584415584415 > best 0.4331210191082802,0.03600000000000003,keep,keep,kept original
hmh01713,eye-hortilux-e-start-metal-halide-lamps-2,Eye Hortilux e-Start Metal Halide Lamps,50.0,0.0,2649.0,T5 2` Phillips Star Coat 64K,0.64,46.0,10.95,2649,T5 2` Phillips Star Coat 64K,2`,46.0,10.95,0,Nickel City Wholesale Garden Supply,0.64,needs-review,auto-resolved: price proximity,1744,Lighting Start 2.5 GAL.,0.626,3519.0,Lighting Start 2.5 Gallon,0.625,manual-review,Needs human confirmation,0.014000000000000012,keep,keep,kept original
hmh01038,final-phase-1-lt,Final Phase (1 lt),20.8,0.0,266.0,Final Phase 4L,0.741,-1.0,50.97,266,Final Phase 4L,4 Lt,-1.0,50.97,0,Advanced Nutrients,0.741,needs-review,auto-resolved: token overlap,255,Revive Lt,0.733,226.0,Overdrive Lt,0.725,manual-review,Needs human confirmation,0.008000000000000007,keep,keep,kept original
