Variant SKU,Handle,Title,Old POS Item Number,New POS Item Number,Match Score,Alt1 Score,Review Notes,Status Reason,Log Timestamp,Action
hmh00824,1-1-4-grommet-bag-of-10,"1 1/4"" Grommet (bag of 10)",788,789,0.677,0.676,Needs review: close alt 789 (Δ=0.001),token overlap: best 1 >= alt 1.0; number overlap: alt 2.0 > best 1; size overlap: best 0 >= alt 0.0; price delta: alt 0.8891 closer than best 0.9114; fuzzy ratio: best 0.2857142857142857 >= alt 0.2833333333333333,20251103_133408,switched (Alt1 to POS)
hmh01544,100-ft-black-white-panda-film-poly,100 ft. Black & White Panda Film (poly),2634,1378,0.771,0.771,auto-resolved: price proximity,Needs human confirmation,20251103_133408,switched (Alt1 to POS)
hmh00855,1000-w-hps-alto-agrolite-xt-140000-lumens,1000 W HPS Alto Agrolite XT 140000 lumens,1493,1504,0.632,0.631,auto-resolved: price proximity,Needs human confirmation,20251103_133408,switched (Alt1 to POS)
hmh01709,badboy-ho-t-5-triphosphor-bloom-54w-2900k,BadBoy HO T-5 Triphosphor Bloom 54W 2900K,3137,3281,0.656,0.654,auto-resolved: price proximity,Needs human confirmation,20251103_133408,switched (Alt1 to POS)
hmh00533,badboy-t-5-4-ft-6-lamp-fixture-324-w,BADBOY T-5 4 ft - 6 Lamp Fixture 324 W,773,777,0.692,0.69,auto-resolved: price proximity,Needs human confirmation,20251103_133408,switched (Alt1 to POS)
hmh01228,bcuzz-coco-nutrition-componet-a-5l,B'Cuzz CoCo Nutrition Componet A 5L,1072,2098,0.731,0.727,auto-resolved: price proximity,Needs human confirmation,20251103_133408,switched (Alt1 to POS)
hmh00180,flora-bloom-16-oz,Flora Bloom 16 oz,29,3154,0.773,0.755,Needs review: close alt 3154 (Δ=0.018),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.1290 closer than best 0.1540; fuzzy ratio: best 0.4 >= alt 0.3673469387755102,20251103_133408,switched (Alt1 to POS)
hmh01828,flora-bloom-275-gal,Flora Bloom 275 gal,3502,3281,0.97,0.966,Needs review: close alt 3281 (Δ=0.004),token overlap: best 2 >= alt 2.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.9378 closer than best 0.9537; fuzzy ratio: best 0.5271317829457365 >= alt 0.5203252032520326,20251103_133408,switched (Alt1 to POS)
hmh00170,flora-micro-16-oz,Flora Micro 16 oz,29,3154,0.773,0.755,Needs review: close alt 3154 (Δ=0.018),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.0455 closer than best 0.0686; fuzzy ratio: best 0.4 >= alt 0.3673469387755102,20251103_133408,switched (Alt1 to POS)
hmh00387,hydro-deuce-16-oz,Hydro-Deuce 16 oz,3154,29,0.844,0.84,Needs review: close alt 2900 (Δ=0.004),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.0499 closer than best 0.0705; fuzzy ratio: best 0.4081632653061224 >= alt 0.4,20251103_133408,switched (Alt1 to POS)
hmh01685,plagron-cocos-a-5-liter,Plagron Cocos A 5 liter,2208,2207,1.553,1.538,Needs review: close alt 2207 (Δ=0.014),token overlap: best 3 >= alt 3.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 1.1524 closer than best 1.1562; fuzzy ratio: best 0.6052631578947368 >= alt 0.5789473684210527,20251103_133408,switched (Alt1 to POS)
hmh01684,plagron-cocos-a-liter,Plagron Cocos A liter,2208,2207,1.349,1.334,Needs review: close alt 2207 (Δ=0.015),token overlap: best 3 >= alt 3.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 7.0714 closer than best 7.0857; fuzzy ratio: best 0.6351351351351351 >= alt 0.6081081081081081,20251103_133408,switched (Alt1 to POS)
hmh01690,plagron-hydro-a-5-liter,Plagron Hydro A  5 Liter,2208,2207,0.995,0.981,Needs review: close alt 2207 (Δ=0.014),token overlap: best 1 >= alt 1.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.9652 closer than best 0.9687; fuzzy ratio: best 0.5 >= alt 0.4736842105263157,20251103_133408,switched (Alt1 to POS)
hmh00861,pulse-start-m-h-600w-10000k-for-final-flowering,"Pulse Start M.H.600W. 10,000K for Final Flowering",1484,149,1.096,1.093,Needs review: close alt 1490 (Δ=0.002),token overlap: best 5 >= alt 5.0; number overlap: best 1 >= alt 1.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.2220 closer than best 0.2670; fuzzy ratio: best 0.4558139534883721 >= alt 0.4516129032258064,20251103_133408,switched (Alt1 to POS)
hmh00856,pulse-start-metal-halide-7000k-for-vegative-growth,"Pulse Start Metal Halide 7,000K for Vegative Growth",1485,1488,0.667,0.663,auto-resolved: price proximity,Needs human confirmation,20251103_133408,switched (Alt1 to POS)
hmh00036,subculture-b-200gm-bag,SubCulture B 200gm. Bag,374,375,0.675,0.675,Needs review: close alt 375 (Δ=0.000),token overlap: best 1 >= alt 1.0; number overlap: best 0 >= alt 0.0; size overlap: best 0 >= alt 0.0; price delta: alt 0.5476 closer than best 0.5483; fuzzy ratio: best 0.5 >= alt 0.5,20251103_133408,switched (Alt1 to POS)
