Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score
hmh01237,xtreme-tea-brews-90-gm-pack,Xtreme Tea Brews 90 gm pack,10.99,0,2124,Flo-N-Brew Tea Kit,0.585,2,58.60,,,,0,,0,,0.585,low-score,Ambiguous: Δ=0.120,2192,Xtreme Tea 90g,0.465,2191,Xtreme Tea 90g 10ct Bag,0.409
,white-rhino-feminised-afghan-x-brazilian-x-south-indian-photo-5-seed,White Rhino (Feminised) Afghan x Brazilian x South Indian Photo-5 Seed,45.00,0,756,"Uno 42"" Parabolic",0.445,10,99.89,,,,0,,0,,0.445,low-score,Ambiguous: Δ=0.180,2823,D.T.E. Neem Seed Meal 6-1-2/5lb,0.264,1216,PS-1 Day/Night Photo Switch,0.192
,white-rhino-feminised-afghan-x-brazilian-x-south-indian-photo-5-seed,,,,756,"Uno 42"" Parabolic",0.415,10,99.89,,,,0,,0,,0.415,low-score,Ambiguous: Δ=0.149,2823,D.T.E. Neem Seed Meal 6-1-2/5lb,0.266,268,Rhino Skin Lt,0.259
hmh00634,tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,132.00,0,2268,UNO Single Mechanical Timer,0.618,106,13.95,,,,0,,0,,0.618,low-score,High stock (~106) - manual confirmation,2706,UltraGrow 24 Hour Timer 120V,0.580,1245,CD-6NG Co2 Generator,0.394
GEN-2eNG,uno-gen-2eng,UNO GEN-2eNG,200.00,100,999,UNO-GEN-1elp Propane,0.573,1,399.00,,,,0,,0,,0.573,low-score,Ambiguous: Δ=0.028,1308,GEN-2eNG Nat. Gas Co2 Generator,0.545,3494,UNO 4x8 Grow Tent,0.536
hmh00759,trimbox-workstation-stand-only,TRIMBOX Workstation STAND ONLY,395.00,0,2201,Bucket Master Stand,0.622,18,9.77,,,,0,,0,,0.622,low-score,Ambiguous: Δ=0.170,423,Trimpro w/ Workstation GM,0.452,2833,Lightrail 4.0 Drive Motor Only,0.434
,white-rhino-feminised-afghan-x-brazilian-x-south-indian-5-seed,White Rhino (Feminised) Afghan x Brazilian x South Indian-5 seed,45.00,0,756,"Uno 42"" Parabolic",0.437,10,99.89,,,,0,,0,,0.437,low-score,Ambiguous: Δ=0.171,2823,D.T.E. Neem Seed Meal 6-1-2/5lb,0.265,1702,"6"" Flange (white box)",0.200
,4of32-wonder-pie-feminised-wedding-cake-x-og-kush-5-seed,Wonder Pie (Feminised) Wedding Cake x OG Kush/ 5 Seed,50.00,0,3523,OUTER SPACE CAKE,0.199,0,,,,,0,,0,,0.199,low-score,Ambiguous: Δ=0.012,3570,WEDDING GELATO,0.187,3257,"G.M.O. Auto ""OG""",0.183
hmh00909,trolley-slave,Trolley Slave,23.95,0,895,Add-A-Lamp Hardware Kit,0.337,12,23.41,,,,0,,0,,0.337,low-score,Ambiguous: Δ=0.010,1530,Drive Trolley Wheel O-Ring,0.326,,,
hmh00930,timer-frequency-duration-no-photo-eye,Timer / frequency & duration (no photo eye),220.00,0,989,CO2 Controller/Monitor/photo I,0.460,0,263.99,,,,0,,0,,0.460,low-score,Ambiguous: Δ=0.006,1225,CST-1P Chrono Seqential Photo,0.454,1215,CYC-4P Cycle Timer w/ Photo,0.425
