Brand,Product Line,Type,Sizes Available for Special Order,Notes,Distributor
"General Hydroponics","Flora Series (FloraGro, FloraBloom, FloraMicro)","liquid","Pint, Quart, Gallon, 2.5 Gallon, 6 Gallon, 15 Gallon, 55 Gallon Drum, 275 Gallon Tote","Core 3-part - essential stock","Hawthorne"
"General Hydroponics","FloraNova (Grow & Bloom)","liquid","Pint, Quart, Gallon, 2.5 Gallon, 6 Gallon","","Hawthorne"
"General Hydroponics","CALiMAGic","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon","Very popular supplement","Hawthorne"
"General Hydroponics","Armor Si","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon","","Hawthorne"
"General Hydroponics","Diamond Nectar","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon","","Hawthorne"
"General Hydroponics","Liquid KoolBloom","liquid","Pint, Quart, Gallon, 2.5 Gallon","Bloom booster","Hawthorne"
"General Hydroponics","Dry KoolBloom","dry","2.2 lb, 6 lb, 25 lb","","Hawthorne"
"General Hydroponics","MaxiGro & MaxiBloom","dry","2.2 lb, 16 lb","Budget-friendly 1-part dry","Hawthorne"
"General Hydroponics","RapidStart","liquid","125ml, Pint, Quart, Gallon","","Hawthorne"
"General Hydroponics","Floralicious Plus","liquid","Pint, Quart, Gallon","","Hawthorne"
"General Hydroponics","FloraNectar (Sugar/Pineapple/Fruit)","liquid","Pint, Quart, Gallon","","Hawthorne"
"General Hydroponics","BioThrive (Grow & Bloom)","liquid","Quart, Gallon, 2.5 Gallon, 6 Gallon","Organic line","Hawthorne"
"General Hydroponics","pH Up & pH Down","liquid","8 oz, Pint, Quart, Gallon, 2.5 Gallon, 6 Gallon, 15 Gallon, 55 Gallon Drum","Always stock - essential","Hawthorne"
"Advanced Nutrients","pH Perfect Sensi (Grow/Bloom A&B)","liquid","500ml, 1L, 23L","Core 2-part with pH buffering","Advanced Nutrients Direct"
"Advanced Nutrients","pH Perfect Connoisseur (Grow/Bloom A&B)","liquid","500ml, 1L, 10L, 23L","Premium line","Advanced Nutrients Direct"
"Advanced Nutrients","Big Bud","liquid","250ml, 500ml, 1L, 4L, 23L","Bloom booster - top seller","Advanced Nutrients Direct"
"Advanced Nutrients","B-52","liquid","250ml, 500ml, 1L","","Advanced Nutrients Direct"
"Advanced Nutrients","Bud Candy","liquid","250ml, 500ml, 4L, 10L","","Advanced Nutrients Direct"
"Advanced Nutrients","Overdrive","liquid","250ml, 500ml, 4L, 10L","","Advanced Nutrients Direct"
"Advanced Nutrients","Bud Ignitor","liquid","500ml, 1L, 4L, 10L, 23L","","Advanced Nutrients Direct"
"Advanced Nutrients","Voodoo Juice","liquid","250ml, 500ml, 1L, 4L","Beneficial bacteria","Advanced Nutrients Direct"
"Advanced Nutrients","Piranha","liquid","250ml, 500ml, 1L, 4L","","Advanced Nutrients Direct"
"Advanced Nutrients","Tarantula","liquid","250ml, 1L, 4L","","Advanced Nutrients Direct"
"Advanced Nutrients","Rhino Skin","liquid","250ml, 500ml, 1L, 10L, 23L","Silica - popular add-on","Advanced Nutrients Direct"
"Advanced Nutrients","Nirvana","liquid","250ml, 4L","","Advanced Nutrients Direct"
"Advanced Nutrients","Sensizym","liquid","250ml, 500ml, 1L, 4L, 10L","","Advanced Nutrients Direct"
"Advanced Nutrients","Flawless Finish","liquid","250ml, 500ml, 1L, 4L","","Advanced Nutrients Direct"
"Fox Farm","Trio (Grow Big, Big Bloom, Tiger Bloom)","liquid","Pint, Quart, Gallon, 2.5 Gallon, 5 Gallon","Best-selling liquid trio","Sunlight Supply"
"Fox Farm","Sledgehammer","liquid","Quart, Gallon","","Sunlight Supply"
"Fox Farm","Open Sesame","dry","6 oz, 1 lb, 5 lb","Soluble - early bloom","Sunlight Supply"
"Fox Farm","Beastie Bloomz","dry","6 oz, 1 lb, 5 lb","Soluble - mid bloom","Sunlight Supply"
"Fox Farm","Cha Ching","dry","6 oz, 1 lb, 5 lb","Soluble - late bloom","Sunlight Supply"
"Fox Farm","Kangaroots","liquid","Pint, Quart, Gallon","","Sunlight Supply"
"Fox Farm","Microbe Brew","liquid","Pint, Quart, Gallon","","Sunlight Supply"
"Fox Farm","Happy Frog Jump Start","dry","3 lb, 18 lb","","Sunlight Supply"
"Fox Farm","Dirty Dozen Starter Kit","kit","Kit","Great entry point","Sunlight Supply"
"Botanicare","Pure Blend Pro (Grow & Bloom)","liquid","Quart, Gallon, 2.5 Gallon, 5 Gallon, 15 Gallon","","Hawthorne"
"Botanicare","CNS17 (Grow, Bloom, Ripe)","liquid","Quart, Gallon, 2.5 Gallon, 5 Gallon, 15 Gallon","Professional 1-part formula","Hawthorne"
"Botanicare","Cal-Mag Plus","liquid","Quart, Gallon, 2.5 Gallon, 5 Gallon","Very popular - essential supplement","Hawthorne"
"Botanicare","Hydroplex","liquid","Quart, Gallon, 2.5 Gallon","","Hawthorne"
"Botanicare","Sweet (Raw, Berry, Citrus, Grape)","liquid","Pint, Quart, Gallon, 2.5 Gallon","","Hawthorne"
"Botanicare","Clearex","liquid","Quart, Gallon, 2.5 Gallon","","Hawthorne"
"Botanicare","Rhizo Blast","liquid","Quart, Gallon","","Hawthorne"
"Botanicare","Liquid Karma","liquid","Quart, Gallon, 2.5 Gallon","Organic supplement","Hawthorne"
"Botanicare","Hydroguard","liquid","8 oz, Quart, Gallon","Root zone protection","Hawthorne"
"Botanicare","Silica Blast","liquid","Quart, Gallon, 2.5 Gallon","","Hawthorne"
"Canna","Coco A&B","liquid","1L, 5L, 10L, 20L","Industry standard for coco","Hydrofarm"
"Canna","Terra Vega & Flores","liquid","1L, 5L, 10L","","Hydrofarm"
"Canna","Aqua Vega/Flores A&B","liquid","1L, 5L, 10L","","Hydrofarm"
"Canna","Boost","liquid","250ml, 1L, 5L, 10L","","Hydrofarm"
"Canna","Cannazym","liquid","250ml, 1L, 5L, 10L","","Hydrofarm"
"Canna","Rhizotonic","liquid","250ml, 1L, 5L, 10L","","Hydrofarm"
"Canna","PK 13/14","liquid","250ml, 1L, 5L","Bloom booster","Hydrofarm"
"Canna","Bio Vega/Flores","liquid","250ml, 1L, 5L","Organic line","Hydrofarm"
"House & Garden","Aqua Flakes A&B","liquid","1L, 5L, 10L, 20L","","House & Garden Direct"
"House & Garden","Coco A&B","liquid","1L, 5L, 10L, 20L","","House & Garden Direct"
"House & Garden","Roots Excelurator Gold","liquid","100ml, 250ml, 500ml, 1L, 5L","Premium root stimulator - high margin","House & Garden Direct"
"House & Garden","Top Booster","liquid","250ml, 500ml, 1L, 5L","","House & Garden Direct"
"House & Garden","Bud-XL","liquid","250ml, 500ml, 1L, 5L","","House & Garden Direct"
"House & Garden","Shooting Powder","dry","sachet (5g), 65g, 500g, 1kg","","House & Garden Direct"
"House & Garden","Multi Zen","liquid","250ml, 500ml, 1L, 5L","","House & Garden Direct"
"House & Garden","Drip Clean","liquid","250ml, 500ml, 1L, 5L","","House & Garden Direct"
"Athena","Pro Line Core","liquid","Gallon, 5 Gallon, 15 Gallon, 55 Gallon, 275 Gallon Tote","Commercial focus - bulk pricing","Athena Direct"
"Athena","Grow A&B","liquid","Gallon, 5 Gallon, 15 Gallon, 55 Gallon","","Athena Direct"
"Athena","Bloom A&B","liquid","Gallon, 5 Gallon, 15 Gallon, 55 Gallon","","Athena Direct"
"Athena","Balance","liquid","Quart, Gallon, 5 Gallon","","Athena Direct"
"Athena","Cleanse","liquid","Gallon, 5 Gallon","","Athena Direct"
"Athena","IPM","liquid","Quart, Gallon, 5 Gallon","","Athena Direct"
"Athena","Stack","liquid","Gallon, 5 Gallon","PK booster","Athena Direct"
"Nectar for the Gods","One Shot Granules","dry","3 lb, 6 lb, 25 lb, 50 lb","Slow-release amendment","Oregon's Only Direct"
"Nectar for the Gods","Gaia Mania (Grow)","liquid","Quart, Gallon, 5 Gallon","","Oregon's Only Direct"
"Nectar for the Gods","Medusa's Magic (Grow)","liquid","Quart, Gallon, 5 Gallon","","Oregon's Only Direct"
"Nectar for the Gods","Zeus Juice (Nitrogen)","liquid","Quart, Gallon","","Oregon's Only Direct"
"Nectar for the Gods","Athena's Aminas","liquid","Quart, Gallon, 5 Gallon","Protein breakdown","Oregon's Only Direct"
"Nectar for the Gods","Bloom Khaos","liquid","Quart, Gallon","Foliar spray","Oregon's Only Direct"
"Nectar for the Gods","Herculean Harvest","liquid","Quart, Gallon, 5 Gallon","Bone meal calcium","Oregon's Only Direct"
"Nectar for the Gods","Demeter's Destiny","liquid","Quart, Gallon, 5 Gallon","","Oregon's Only Direct"
"Nectar for the Gods","The Kraken (Kelp)","liquid","Quart, Gallon","","Oregon's Only Direct"
"Nectar for the Gods","Triton's Trawl (Fish)","liquid","Quart, Gallon","","Oregon's Only Direct"
"Nectar for the Gods","Mega Morpheus (Bloom)","liquid","Quart, Gallon, 5 Gallon","","Oregon's Only Direct"
"Nectar for the Gods","Starter Kit (Roman Regime)","kit","Kit","Great entry point","Oregon's Only Direct"
"Roots Organics","Buddha Grow","liquid","Quart, Gallon, 2.5 Gallon, 5 Gallon","","Aurora Innovations"
"Roots Organics","Buddha Bloom","liquid","Quart, Gallon, 2.5 Gallon, 5 Gallon","","Aurora Innovations"
"Roots Organics","Trinity (Catalyst)","liquid","Quart, Gallon, 2.5 Gallon","","Aurora Innovations"
"Roots Organics","HPK (Bat Guano)","liquid","Quart, Gallon, 2.5 Gallon","Bloom booster","Aurora Innovations"
"Roots Organics","Soul Synthetics (Grow & Bloom)","liquid","Quart, Gallon, 2.5 Gallon","Mineral line","Aurora Innovations"
"Roots Organics","Terp Tea (Grow & Bloom)","dry","3 lb, 9 lb, 40 lb","Compost tea base","Aurora Innovations"
"Roots Organics","Elemental","liquid","Quart, Gallon, 2.5 Gallon","Cal-Mag","Aurora Innovations"
"Roots Organics","Ancient Amber","liquid","Quart, Gallon, 2.5 Gallon","","Aurora Innovations"
"Roots Organics","Original Potting Soil","soil","1.5 cu ft, 3 cu ft","","Aurora Innovations"
"Roots Organics","Greenfields Potting Mix","soil","1.5 cu ft, 3 cu ft","","Aurora Innovations"
"Earth Juice","Grow","liquid","Pint, Quart, Gallon, 2.5 Gallon, 5 Gallon","","Hydro-Organics Wholesale"
"Earth Juice","Bloom","liquid","Pint, Quart, Gallon, 2.5 Gallon, 5 Gallon","","Hydro-Organics Wholesale"
"Earth Juice","Catalyst","liquid","Pint, Quart, Gallon, 2.5 Gallon","","Hydro-Organics Wholesale"
"Earth Juice","Meta-K","liquid","Pint, Quart, Gallon","Potassium boost","Hydro-Organics Wholesale"
"Earth Juice","Microblast","liquid","Pint, Quart, Gallon","","Hydro-Organics Wholesale"
"Earth Juice","Sugar Peak (Grand/Vegetative/Transition/Flowering)","liquid","Pint, Quart, Gallon","Stage-specific line","Hydro-Organics Wholesale"
"Earth Juice","OilyCann","liquid","Pint, Quart, Gallon","Essential oils supplement","Hydro-Organics Wholesale"
"Earth Juice","SeaBlast (Grow & Bloom)","liquid","Quart, Gallon","","Hydro-Organics Wholesale"
"Technaflora","BC Boost","liquid","1L, 4L, 10L, 20L","","Technaflora Direct"
"Technaflora","BC Grow","liquid","1L, 4L, 10L, 20L","","Technaflora Direct"
"Technaflora","BC Bloom","liquid","1L, 4L, 10L, 20L","","Technaflora Direct"
"Technaflora","MagiCal","liquid","500ml, 1L, 4L, 10L","Cal-Mag supplement","Technaflora Direct"
"Technaflora","Thrive Alive B-1 (Green & Red)","liquid","250ml, 500ml, 1L, 4L","B-1 vitamin supplement","Technaflora Direct"
"Technaflora","Sugar Daddy","liquid","500ml, 1L, 4L","","Technaflora Direct"
"Technaflora","Awesome Blossoms","liquid","500ml, 1L, 4L","Bloom enhancer","Technaflora Direct"
"Technaflora","Root 66","liquid","250ml, 500ml, 1L, 4L","","Technaflora Direct"
"Technaflora","Recipe for Success Starter Kit","kit","Kit","","Technaflora Direct"
"Dutch Master","Advance Grow A&B","liquid","1L, 5L, 20L","","Dutch Master Direct"
"Dutch Master","Advance Flower A&B","liquid","1L, 5L, 20L","","Dutch Master Direct"
"Dutch Master","Gold Range Grow A&B","liquid","1L, 5L, 20L","Premium line","Dutch Master Direct"
"Dutch Master","Gold Range Flower A&B","liquid","1L, 5L, 20L","Premium line","Dutch Master Direct"
"Dutch Master","Silica","liquid","1L, 5L","","Dutch Master Direct"
"Dutch Master","Add.27 (Zone/Saturator)","liquid","250ml, 1L","Penetrant additive","Dutch Master Direct"
"Dutch Master","Potash Plus","liquid","1L, 5L","","Dutch Master Direct"
"Dutch Master","Max Flower","liquid","1L, 5L","PK booster","Dutch Master Direct"
