Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Cost per item,Status
1-4-in-qc-stealth-small-boy,1/4 in. QC -STEALTH & SMALL BOY,"<p>1/4 in. QC -STEALTH & SMALL BOY is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,water_filtration,"catalog_index; water_filtration, brand:Hydro-Logic",TRUE,Size,4 inch,,,,,hmh00947,454,shopify,0,continue,manual,19.00,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/bb-plugin/cache/HMH_logo_small_03-200x200-portrait-5bf7b5b0530887421fa3d7bb306ca2d8-eqr58nz26gc7.png,,1/4 in. QC -STEALTH & SMALL BOY,FALSE,1/4 in. QC -STEALTH & SMALL BOY,,lb,,active
1-4-in-tubing-black-500-ft-roll,1/4 in. TUBING BLACK (500 FT. ROLL),"<p>1/4 in. TUBING BLACK (500 FT. ROLL) is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,irrigation,"catalog_index; irrigation, brand:H Moon Hydro",TRUE,Size,4 inch,,,,,hmh00942,5443,shopify,0,continue,manual,105.00,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/blue-tubing-1200x1056.jpg,,1/4 in. TUBING BLACK (500 FT. ROLL),FALSE,1/4 in. TUBING BLACK (500 FT. ROLL),,lb,,active
1-4-in-tubing-blue-500-ft-roll,1/4 in. TUBING BLUE (500 FT. ROLL),"<p>1/4 in. TUBING BLUE (500 FT. ROLL) is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,irrigation,"catalog_index; irrigation, brand:H Moon Hydro",TRUE,Size,4 inch,,,,,hmh00941,5443,shopify,0,continue,manual,105.00,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/blue-tubing-1200x1056.jpg,,1/4 in. TUBING BLUE (500 FT. ROLL),FALSE,1/4 in. TUBING BLUE (500 FT. ROLL),,lb,,active
backdraft-damper,Backdraft Damper,"Backdraft Damper by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,irrigation,"catalog_index; irrigation, brand:EcoPlus",TRUE,Size,6 inch,,,,,hmh00783,2722,shopify,0,continue,manual,27.95,,TRUE,TRUE,0628507200015,https://hmoonhydro.com/wp-content/uploads/2019/08/backdraft_dampers.jpg,,Backdraft Damper,FALSE,Backdraft Damper,,lb,,active
backdraft-damper,,,,,,,TRUE,Size,8 inch,,,,,hmh00784,3629,shopify,0,continue,manual,36.95,,TRUE,TRUE,0628507200015,https://hmoonhydro.com/wp-content/uploads/2019/08/backdraft_dampers.jpg,,,FALSE,,,lb,,active
backdraft-damper,,,,,,,TRUE,Size,10 inch,,,,,hmh00785,4082,shopify,0,continue,manual,46.50,,TRUE,TRUE,0628507200015,https://hmoonhydro.com/wp-content/uploads/2019/08/backdraft_dampers.jpg,,,FALSE,,,lb,,active
backdraft-damper,,,,,,,TRUE,Size,12 inch,,,,,hmh00786,4990,shopify,0,continue,manual,56.95,,TRUE,TRUE,0628507200015,https://hmoonhydro.com/wp-content/uploads/2019/08/backdraft_dampers.jpg,,,FALSE,,,lb,,active
backdraft-damper,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/e9dff368__backdraft_dampers.jpg?v=1766351233,2,Backdraft Damper,,,,,,
bucket-basket,Bucket Basket,"Bucket Basket by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,containers_pots,"catalog_index; containers_pots, brand:Unknown",TRUE,Size,6 inch,,,,,hmh00831,454,shopify,0,continue,manual,3.90,,TRUE,TRUE,0718122809400,https://hmoonhydro.com/wp-content/uploads/2019/08/bucket_baskets3.jpg,,Bucket Basket,FALSE,Bucket Basket,,lb,2.27,active
bucket-basket,,,,,,,TRUE,Size,10 inch,,,,,hmh00832,454,shopify,0,continue,manual,5.10,,TRUE,TRUE,0718122809400,https://hmoonhydro.com/wp-content/uploads/2019/08/bucket_baskets3.jpg,,,FALSE,,,lb,2.27,active
bucket-basket,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/94a8f978__bucket_baskets3.jpg?v=1766351400,2,Bucket Basket,,,,,,
hose-clamps,hose clamps,"hose clamps by is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,catalog_index,"catalog_index; ventilation_accessories, brand:Unknown",TRUE,Size,4 inch,,,,,hmh00803,907,shopify,0,continue,manual,1.60,,TRUE,TRUE,,,,hose clamps,FALSE,hose clamps,,lb,,active
hose-clamps,,,,,,,TRUE,Size,6 inch,,,,,hmh00804,907,shopify,0,continue,manual,1.90,,TRUE,TRUE,,,,,FALSE,,,lb,,active
hose-clamps,,,,,,,TRUE,Size,8 inch,,,,,hmh00805,907,shopify,0,continue,manual,4.00,,TRUE,TRUE,,,,,FALSE,,,lb,,active
hose-clamps,,,,,,,TRUE,Size,10 inch,,,,,hmh01326,454,shopify,0,continue,manual,2.80,,TRUE,TRUE,,,,,FALSE,,,lb,,active
hose-clamps,,,,,,,TRUE,Size,12 inch,,,,,hmh01327,454,shopify,0,continue,manual,4.00,,TRUE,TRUE,,,,,FALSE,,,lb,,active
x-25-ft-flexible-duct-w-2-clamps-included,x 25 ft flexible duct w/ 2 clamps included,"x 25 ft flexible duct w/ 2 clamps included by is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",,,catalog_index,"catalog_index; ventilation_accessories, brand:Unknown",TRUE,Size,4 inch,,,,,hmh00798,1361,shopify,0,continue,manual,19.95,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,,x 25 ft flexible duct w/ 2 clamps included,FALSE,x 25 ft flexible duct w/ 2 clamps included,,lb,,active
x-25-ft-flexible-duct-w-2-clamps-included,,,,,,,TRUE,Size,6 inch,,,,,hmh00799,1814,shopify,0,continue,manual,24.95,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,,,FALSE,,,lb,,active
x-25-ft-flexible-duct-w-2-clamps-included,,,,,,,TRUE,Size,8 inch,,,,,hmh00800,1814,shopify,0,continue,manual,31.95,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,,,FALSE,,,lb,,active
x-25-ft-flexible-duct-w-2-clamps-included,,,,,,,TRUE,Size,10 inch,,,,,hmh00801,2268,shopify,0,continue,manual,36.95,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,,,FALSE,,,lb,,active
x-25-ft-flexible-duct-w-2-clamps-included,,,,,,,TRUE,Size,12 inch,,,,,hmh00802,2268,shopify,0,continue,manual,46.95,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,,,FALSE,,,lb,,active
3-8-in-tubing-blue-500-ft-roll,3/8 in. TUBING BLUE (500 FT. ROLL),"<p>3/8 in. TUBING BLUE (500 FT. ROLL) is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,irrigation,"catalog_index; irrigation, brand:H Moon Hydro",TRUE,Size,8 inch,,,,,hmh00944,6804,shopify,0,continue,manual,155.00,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/blue-tubing-1200x1056.jpg,,3/8 in. TUBING BLUE (500 FT. ROLL),FALSE,3/8 in. TUBING BLUE (500 FT. ROLL),,lb,,active
3-8-in-tubing-white-500-ft-roll,3/8 in. TUBING WHITE (500 FT. ROLL),"<p>3/8 in. TUBING WHITE (500 FT. ROLL) is a quality product for indoor gardening. From H Moon Hydro, designed for reliable performance and professional results.</p>",,,irrigation,"catalog_index; irrigation, brand:H Moon Hydro",TRUE,Size,8 inch,,,,,hmh00943,6804,shopify,0,continue,manual,155.00,,TRUE,TRUE,,https://hmoonhydro.com/wp-content/uploads/2019/08/blue-tubing-1200x1056.jpg,,3/8 in. TUBING WHITE (500 FT. ROLL),FALSE,3/8 in. TUBING WHITE (500 FT. ROLL),,lb,,active
32oz-bottle-360-spray,32oz Bottle 360 Spray,"32oz Bottle 360 Spray by NGW is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",NGW,,Accessories,accessories,TRUE,Size,32 oz,,,,,397,0,shopify,0,continue,manual,3.99,,TRUE,TRUE,0891262001450,https://hmoonhydro.com/wp-content/uploads/2019/08/ONA-Liquid-bottle-200-1200x1398.jpg,,32oz Bottle 360 Spray,FALSE,32oz Bottle 360 Spray,,lb,2.25,active
4-in-air-cooled-fittings-2-pk,4 in. Air Cooled Fittings (2/pk),"<p>4 in. Air Cooled Fittings (2/pk) is a high-performance grow light for indoor cultivation. From H Moon Hydro, this fixture provides optimal spectrum for vegetative growth and flowering. Energy efficient with reliable performance.</p>",,,irrigation,irrigation,TRUE,Size,4 inch,,,,,hmh00522,907,shopify,0,continue,manual,17.95,,TRUE,TRUE,,,,4 in. Air Cooled Fittings (2/pk),FALSE,4 in. Air Cooled Fittings (2/pk),,lb,,active
site-plug-case-of-10,Site Plug (case of 10),"Site Plug (case of 10) by Nickel City Wholesale Garden Supply is a quality hydroponics product designed for serious growers. Part of the growing supplies category, this product delivers reliable performance for indoor and hydroponic cultivation.",Nickel City Wholesale Garden Supply,,accessories,"accessories, brand:Nickel City Wholesale Garden Supply",TRUE,Size,4 inch,,,,,hmh00846,454,shopify,0,continue,manual,21.30,,TRUE,TRUE,0793094066211,https://hmoonhydro.com/wp-content/uploads/2019/08/plugs.jpg,,Site Plug (case of 10),FALSE,Site Plug (case of 10),,lb,0.52,active
site-plug-case-of-10,,,,,,,TRUE,Size,6 inch,,,,,hmh00847,454,shopify,0,continue,manual,31.90,,TRUE,TRUE,0793094066211,https://hmoonhydro.com/wp-content/uploads/2019/08/plugs.jpg,,,FALSE,,,lb,0.52,active
