base_key,suggested_handle,legacy_handle,product_name,variant_title,variant_sku,variant_price,variant_compare_price,variant_inventory,variant_weight,variant_weight_unit,vendor,product_type,status,image_url
scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system,Scietetics Ful V Tech Element Transfer System Quart,Default Title,,22.00,26.00,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_a05c1df2-dde6-4bdd-91bb-117e4b784257.png?v=1761679057
scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system-15-gallon,Scietetics Ful V Tech Element Transfer System 15 Gallon,Default Title,,69.00,79.00,8,10.0,oz,H Moon Hydro,simple,draft,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V.png?v=1761679055
scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system-2-5-gallon,Scietetics Ful V Tech Element Transfer System 2.5 Gallon,Default Title,,140.00,180.00,8,10.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_1ffea718-d73f-4a78-8e0a-3a65f5e84610.png?v=1761679055
scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system-255-gallon,Scietetics Ful V Tech Element Transfer System 255 Gallon,Default Title,,14000.00,14800.00,3,10.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_1efeda64-3bc9-4f67-b5ff-f1005df74caa.png?v=1761679057
scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system-5-gallon,Scietetics Ful V Tech Element Transfer System 5 Gallon,Default Title,,250.00,320.00,3,10.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_170972ef-4bdf-4dff-9b7f-1ce3360abbf6.png?v=1761679057
scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system-55-gallon,Scietetics Ful V Tech Element Transfer System 55 Gallon,Default Title,,2999.00,3540.00,8,10.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_e0274918-0399-4eec-b6f9-10e173e8ba77.png?v=1761679057
scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system,scietetics-ful-v-tech-element-transfer-system-gallon,Scietetics Ful V Tech Element Transfer System Gallon,Default Title,,69.00,79.00,8,10.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/FUL-V_97f3c8dd-517a-4479-b209-5dfcf81abf65.png?v=1761679057
plantmax-mh-high-output-lumens,plantmax-mh-high-output-lumens,plantmax-1000w-72k-mh-high-output-90000-lumens,"Plantmax 1000W. 72K MH High Output 90,000 lumens",Default Title,hmh00869,79.99,,0,1.0,oz,H Moon Hydro,simple,active,
plantmax-mh-high-output-lumens,plantmax-mh-high-output-lumens,plantmax-1000w-72k-mh-high-output-90000-lumens-2,"Plantmax 1000W. 72K MH High Output 90,000 lumens",Default Title,hmh01733,79.99,,0,1.0,oz,H Moon Hydro,simple,active,
plantmax-mh-high-output-lumens,plantmax-mh-high-output-lumens,plantmax-1000w-mh-high-output-120000-lumens,"Plantmax 1000W. MH High Output 120,000 lumens",Default Title,hmh00867,59.95,,0,0.0,lb,H Moon Hydro,simple,active,
plantmax-mh-high-output-lumens,plantmax-mh-high-output-lumens,plantmax-250w-mh-high-output-24000-lumens,"Plantmax 250W. MH High Output 24,000 lumens",Default Title,hmh00865,29.95,,0,1.0,oz,H Moon Hydro,simple,active,
plantmax-mh-high-output-lumens,plantmax-mh-high-output-lumens,plantmax-400w-72k-mh-high-output-32000-lumens,"Plantmax 400W. 72K MH High Output 32,000 lumens",Default Title,hmh00868,19.99,39.99,0,4.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/plantmax-mh-conv-lamps_1.jpg?v=1761679025
plantmax-mh-high-output-lumens,plantmax-mh-high-output-lumens,plantmax-400w-mh-high-output-39000-lumens,"Plantmax 400W. MH High Output 39,000 lumens",Default Title,hmh00866,29.95,,0,1.0,oz,H Moon Hydro,simple,active,
scietetics-magcal,scietetics-magcal,scietetics-magcal,Scietetics MagCal,Default Title,,24.95,26.95,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/MAGCAL_V3_61e9a447-bb0f-4a6b-b988-d7c7ad570dc0.png?v=1761679059
scietetics-magcal,scietetics-magcal,scietetics-magcal-15-gallon,Scietetics MagCal 15 Gallon,Default Title,,650.00,700.00,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/MAGCAL_V3_6489227c-f83a-432d-b76a-30bccef37d2c.png?v=1761679060
scietetics-magcal,scietetics-magcal,scietetics-magcal-2-5gal,Scietetics MagCal  2.5Gal.,Default Title,,130.00,140.00,0,25.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/MAGCAL_V3_531498d5-cdf9-42c0-af88-522f46f66bbb.png?v=1761679059
scietetics-magcal,scietetics-magcal,scietetics-magcal-5-gallon,Scietetics MagCal 5 Gallon,Default Title,,245.00,255.00,0,60.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/MAGCAL_V3.png?v=1761679059
scietetics-magcal,scietetics-magcal,scietetics-magcal-gallon,Scietetics MagCal Gallon,Default Title,,60.00,70.00,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/MAGCAL_V3_383335d5-b215-41e6-8301-42fbd40e15c8.png?v=1761679066
bioroot,bioroot,bioroot-1-gal,BioRoot 1 gal,Default Title,hmh00250,52.70,,0,12.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioroot.jpg?v=1761678795
bioroot,bioroot,bioroot-1-qt,BioRoot 1 qt,Default Title,hmh00249,16.98,,0,3.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioroot_45169085-67a4-4c54-b75c-f076374f8ea3.jpg?v=1761678817
bioroot,bioroot,bioroot-2-5-gal,BioRoot 2.5 gal,Default Title,hmh00678,110.16,,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioroot_dfbeaa07-0f48-41a6-b5a7-6d089afb8c91.jpg?v=1761678807
bioroot,bioroot,bioroot-6-gal,BioRoot 6 gal,Default Title,hmh00679,226.16,,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bioroot_7e8b2a27-a41e-4486-8b03-57f336563742.jpg?v=1761678807
holland-secret,holland-secret,holland-secret-micro-10l,Holland Secret Micro 10L,Default Title,hmh00287,150.00,,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_6810fe5d-cf4f-48fd-ad79-441b53086a98.jpg?v=1761678903
holland-secret,holland-secret,holland-secret-micro-1l,Holland Secret Micro 1L,Default Title,hmh00285,28.00,,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_b275f003-f36e-4da5-a17a-c53da4681a90.jpg?v=1761678916
holland-secret,holland-secret,holland-secret-micro-23l,Holland Secret Micro 23L,Default Title,hmh00288,299.00,,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro_006961b9-087b-4099-9954-d59b6067ac5f.jpg?v=1761678916
holland-secret,holland-secret,holland-secret-micro-4l,Holland Secret Micro 4L,Default Title,hmh00286,74.00,,0,11.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSMicro.jpg?v=1761678903
holland-secret-bloom,holland-secret-bloom,holland-secret-bloom-1-l,Holland Secret Bloom 1 L,Default Title,hmh00296,24.99,,0,0.0,lb,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSBloom_0992377c-51d6-4965-abcc-de1a7136ba9f.jpg?v=1761678916
holland-secret-bloom,holland-secret-bloom,holland-secret-bloom-10l,Holland Secret Bloom 10L,Default Title,hmh00298,189.00,,0,28.0,oz,H Moon Hydro,simple,active,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/HSBloom_6c0ae3eb-dffc-4fa4-9b07-023c3be53116.jpg?v=1761678909
