Handle,Product_Name,Product_Type,Status,Published_Date,Tags,Vendor,Description,SEO_Title,SEO_Description,Variant_Title,Variant_SKU,Variant_Price,Variant_Compare_Price,Variant_Inventory,Variant_Weight,Variant_Weight_Unit,Variant_Requires_Shipping,Variant_Taxable,Variant_Option1_Name,Variant_Option1,Variant_Fulfillment_Service,Variant_Inventory_Policy,Variant_Inventory_Tracker,Variant_Barcode,Image_URL
agrowlyte-plant-wash,AGrowlyte Plant Wash,grouped,active,2025-11-03 17:17:15,"Anti mold resistance, Stop PM",H Moon Hydro,,,,AGrowlyte Plant Wash 30 gallon,,750.00,800.00,0,0.00,lb,True,True,Size,30 gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Remove_background_project_24-3984733.webp?v=1761678775
agrowlyte-plant-wash,AGrowlyte Plant Wash,grouped,active,2025-11-03 17:17:15,"Anti mold resistance, Stop PM",H Moon Hydro,,,,AgrowLyte Plant Wash Gallon,,52.00,58.00,0,10.00,oz,True,True,Size,Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/all-in-one_edited.webp?v=1761678785
agrowlyte-plant-wash,AGrowlyte Plant Wash,grouped,active,2025-11-03 17:17:15,"Anti mold resistance, Stop PM",H Moon Hydro,,,,AgrowLyte Plant Wash qt.,,22.49,24.99,0,3.00,oz,True,True,Size,qt.,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/7d7f21a3-c72d-493c-bd89-770b08ddf777LX2YO0CAXsiiX4c9W0EBMjgQCIydIvsNqYwibogrK7x-OtOdpUm0jP0gIyONwIougdUj40YEUAFZThFls0.jpg?v=1761678785
aquaspinners,AquaSpinners,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,AquaSpinners,hmh01199,1.15,,0,0.10,oz,True,True,Variant,AquaSpinners,manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/aquaspinner_ac019503-0858-4096-b8ac-2a03c7182988.jpg?v=1761678775
aquaspinners,AquaSpinners,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,AquaSpinners,hmh01200,1.15,,0,0.00,lb,True,True,Variant,AquaSpinners (2),manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/aquaspinner.jpg?v=1761678764
athena-bloom-a,Athena Bloom A,grouped,active,2025-11-03 17:17:15,Athena Bloom A,H Moon Hydro,,,,Athena Bloom A - 1 Gallon,,45.00,,0,0.00,lb,True,True,Size,1 Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bloom-A.jpg?v=1761678775
athena-bloom-a,Athena Bloom A,grouped,active,2025-11-03 17:17:15,Athena Bloom A,H Moon Hydro,,,,Athena Bloom A 1- Gallon,,45.00,,0,0.00,lb,True,True,Size,1 Gallon (2),manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/LQ-BLA_1-Gal_01-1.jpg?v=1761678775
athena-camg,Athena CaMg,grouped,active,2025-11-03 17:17:15,Athena CaMg,H Moon Hydro,,,,Athena CaMg 1 Gallon,,45.00,,0,0.00,lb,True,True,Variant,1 Gallon,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/LQ-Cal-Mag-1.jpg?v=1761678775
athena-camg,Athena CaMg,grouped,active,2025-11-03 17:17:15,Athena CaMg,H Moon Hydro,,,,Athena CaMg,,45.00,,0,0.00,lb,True,True,Variant,Athena CaMg,manual,continue,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/ca-mg.jpg?v=1761678765
big-bloom-liquid-plant-food,Big Bloom Liquid Plant Food,grouped,active,2025-11-03 17:17:15,,H Moon Hydro,,,,Big Bloom Liquid Plant Food (1 gal),hmh01084,57.79,,0,0.00,lb,True,True,Size,(1 gal),manual,continue,shopify,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/product_BIGBLOOM_8cd36234-252e-421c-8ed6-7d002e40abf3.jpg?v=1761678795
