base_key,handle_count,category,has_consolidated_handle,sku_match_ratio,suggested_action,handles,sample_product_names,vendors,product_types
can-pre-filter,8,archive,no,1.00,Archive legacy single products; already covered in consolidated import,can-100-pre-filter|can-125-pre-filter|can-150-pre-filter|can-33-pre-filter|can-50-pre-filter|can-66-pre-filter|can-700-pre-filter|can-75-pre-filter,CAN 100 Pre-Filter|CAN 125 Pre-Filter|CAN 150 Pre-Filter|CAN 33 Pre-Filter|CAN 50 Pre-Filter,H Moon Hydro,simple
floragro,8,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floragro-1-gal|floragro-1-qt|floragro-15-gal|floragro-16-oz|floragro-2-5-gal|floragro-275-gal|floragro-55-gal|floragro-6-gal,FloraGro 1 gal|FloraGro 1 qt|FloraGro 15 gal|FloraGro 16 oz|FloraGro 2.5 gal,H Moon Hydro,simple
the-root-handle,8,archive,no,1.00,Archive legacy single products; already covered in consolidated import,the-root-pouch-100-gallon-w-handle|the-root-pouch-15-gallon-w-handle|the-root-pouch-20-gallon-w-handle|the-root-pouch-25-gallon-w-handle|the-root-pouch-30-gallon-w-handle|the-root-pouch-35-gallon-w-handle|the-root-pouch-45-gallon-w-handle|the-root-pouch-65-gallon-w-handle,The Root Pouch 100 Gallon w/ Handle|The Root Pouch 15 gallon w/ Handle|The Root Pouch 20 Gallon w/ Handle|The Root Pouch 25 Gallon w/ Handle|The Root Pouch 30 Gallon w/ Handle,H Moon Hydro,simple
flora,7,archive,no,0.86,Archive legacy single products; already covered in consolidated import,flora-micro-1-gal|flora-micro-1-qt|flora-micro-15-gal|flora-micro-16-oz|flora-micro-2-5-gal|flora-micro-55-gal|flora-micro-6-gal,Flora Micro 1 gal|Flora Micro 1 qt|Flora Micro 15 gal|Flora Micro 16 oz|Flora Micro 2.5 gal,H Moon Hydro,simple
flora-bloom,7,archive,no,1.00,Archive legacy single products; already covered in consolidated import,flora-bloom-1-gal|flora-bloom-1-qt|flora-bloom-15-gal|flora-bloom-16-oz|flora-bloom-2-5-gal|flora-bloom-275-gal|flora-bloom-6-gal,Flora Bloom 1 gal|Flora Bloom 1 qt|Flora Bloom 15 gal|Flora Bloom 16 oz|Flora Bloom 2.5 gal,H Moon Hydro,simple
scietetics-ful-v-tech-element-transfer-system,7,create,no,0.00,Create new variant group,scietetics-ful-v-tech-element-transfer-system|scietetics-ful-v-tech-element-transfer-system-15-gallon|scietetics-ful-v-tech-element-transfer-system-2-5-gallon|scietetics-ful-v-tech-element-transfer-system-255-gallon|scietetics-ful-v-tech-element-transfer-system-5-gallon|scietetics-ful-v-tech-element-transfer-system-55-gallon|scietetics-ful-v-tech-element-transfer-system-gallon,Scietetics Ful V Tech Element Transfer System 15 Gallon|Scietetics Ful V Tech Element Transfer System 2.5 Gallon|Scietetics Ful V Tech Element Transfer System 255 Gallon|Scietetics Ful V Tech Element Transfer System 5 Gallon|Scietetics Ful V Tech Element Transfer System 55 Gallon,H Moon Hydro,simple
bloom-natural,6,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bloom-natural|bloom-natural-1-gal|bloom-natural-1-qt|bloom-natural-15-gal|bloom-natural-2-5-gal|bloom-natural-5-gal,Bloom Natural|Bloom Natural 1 gal|Bloom Natural 1 qt|Bloom Natural 15 gal|Bloom Natural 2.5 gal,H Moon Hydro,grouped|simple
calimagic,6,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,calimagic|calimagic-16oz|calimagic-2-5-gal|calimagic-6-gal|calimagic-gal|calimagic-qt,CALiMAGic|CALiMAGic 16oz|CALiMAGic 2.5 gal|CALiMAGic 6 gal|CALiMAGic gal,H Moon Hydro,grouped|simple
can-filter-od-high-flange-size-cfm,6,archive,no,1.00,Archive legacy single products; already covered in consolidated import,can-100-filter-16-5-od-39-4-high-8-flange-size-840-cfm|can-125-filter-16-5-od-49-2-high-10-flange-size-1110-cfm|can-33-filter-12-od-13-high-6-flange-size-200-cfm|can-50-filter-16-5-od-19-8-high-8-flange-size-420-cfm|can-66-filter-12-od-26-high-8-flange-size-412-cfm|can-75-filter-16-5-od-29-5-high-8-flange-size-600-cfm,"CAN 100 Filter 16.5"" OD, 39.4"" high, 8"" flange size, 840 CFM|CAN 125 Filter 16.5"" OD, 49.2"" high, 10"" flange size, 1110 CFM|CAN 33 Filter 12"" OD, 13"" high, 6"" flange size, 200 CFM|CAN 50 Filter 16.5"" OD, 19.8"" high, 8"" flange size, 420 CFM|CAN 66 Filter 12"" OD, 26"" high, 8"" flange size, 412 CFM",H Moon Hydro,simple
liquid-bud-boom,6,archive,no,1.00,Archive legacy single products; already covered in consolidated import,liquid-bud-boom-1l|liquid-bud-boom-2-5-gal|liquid-bud-boom-250ml|liquid-bud-boom-4l|liquid-bud-boom-500ml|liquid-bud-boom-6-gal,Liquid Bud Boom  2.5 gal|Liquid Bud Boom 1L|Liquid Bud Boom 250ml|Liquid Bud Boom 4L|Liquid Bud Boom 500ml,H Moon Hydro,simple
