Handle,Product_Name,Product_Type,Status,Published_Date,Tags,Vendor,Description,SEO_Title,SEO_Description,Variant_Title,Variant_SKU,Variant_Price,Variant_Compare_Price,Variant_Inventory,Variant_Weight,Variant_Weight_Unit,Variant_Requires_Shipping,Variant_Taxable,Variant_Option1_Name,Variant_Option1,Variant_Fulfillment_Service,Variant_Inventory_Policy,Variant_Inventory_Tracker,Variant_Barcode,Image_URL
florablend,FloraBlend,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.
<ul>
 	<li>FloraBlend is a vegan product and contains no animal derived ingredients.</li>
 	<li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.</li>
 	<li>FloraBlend is very clean product that can be utilized in all hydroponic systems.</li>
 	<li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.</li>
</ul>",,,FloraBlend qt,hmh00011,13.07,,0,0.00,lb,True,True,Variant,qt,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/09/11876_8.jpg
florablend,FloraBlend,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.
<ul>
 	<li>FloraBlend is a vegan product and contains no animal derived ingredients.</li>
 	<li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.</li>
 	<li>FloraBlend is very clean product that can be utilized in all hydroponic systems.</li>
 	<li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.</li>
</ul>",,,FloraBlend gal,hmh00012,31.69,,0,2.00,lb,True,True,Variant,gal,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/09/11876_8.jpg
florablend,FloraBlend,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.
<ul>
 	<li>FloraBlend is a vegan product and contains no animal derived ingredients.</li>
 	<li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.</li>
 	<li>FloraBlend is very clean product that can be utilized in all hydroponic systems.</li>
 	<li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.</li>
</ul>",,,FloraBlend 2.5 gal,hmh00013,73.80,,0,9.00,lb,True,True,Variant,2.5 gal,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/09/11876_8.jpg
florablend,FloraBlend,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.
<ul>
 	<li>FloraBlend is a vegan product and contains no animal derived ingredients.</li>
 	<li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.</li>
 	<li>FloraBlend is very clean product that can be utilized in all hydroponic systems.</li>
 	<li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.</li>
</ul>",,,FloraBlend 6 gal,hmh00014,151.50,,0,51.00,lb,True,True,Variant,6 gal,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/09/11876_8.jpg
biothrive,BioThrive,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"These products have been created by the same team that brought FloraNova to the market. In fact, the head of research and development for General Hydroponics, has a strong background in sustainable agriculture, and this line is just the beginning of his vision of pure organic hydroponics. The General Organics line is a total departure from the conventional rules of hydroponics. Right out of the bottle the products can be mixed and hand watered on plants growing in soil, or soilless media.

BioThrive Grow is pure, natural nutrition for plants grown in soil or soilless mediums. Its vegan formula facilitates lush vegative growth and vigourous root development. It provides necessary organic elements needed for plant growth and strength in the vegetative stage.

BioThrive Bloom is formulated to provide blooming plants with essential elements needed for superior blooms and harvests. The vegan formulation is pure and natural from organic sources. BioThrive Bloom promotes massive flowers and fruit and also encourages microbial activity in the growing media. It is ideal for both potting soil and soilless growing.",,,BioThrive Grow 1 qt,hmh00160,18.99,,0,3.00,lb,True,True,Variant,1 qt,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg
biothrive,BioThrive,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"These products have been created by the same team that brought FloraNova to the market. In fact, the head of research and development for General Hydroponics, has a strong background in sustainable agriculture, and this line is just the beginning of his vision of pure organic hydroponics. The General Organics line is a total departure from the conventional rules of hydroponics. Right out of the bottle the products can be mixed and hand watered on plants growing in soil, or soilless media.

BioThrive Grow is pure, natural nutrition for plants grown in soil or soilless mediums. Its vegan formula facilitates lush vegative growth and vigourous root development. It provides necessary organic elements needed for plant growth and strength in the vegetative stage.

BioThrive Bloom is formulated to provide blooming plants with essential elements needed for superior blooms and harvests. The vegan formulation is pure and natural from organic sources. BioThrive Bloom promotes massive flowers and fruit and also encourages microbial activity in the growing media. It is ideal for both potting soil and soilless growing.",,,BioThrive Grow 1 gal,hmh00161,66.10,,0,12.00,lb,True,True,Variant,1 gal,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg
biothrive,BioThrive,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"These products have been created by the same team that brought FloraNova to the market. In fact, the head of research and development for General Hydroponics, has a strong background in sustainable agriculture, and this line is just the beginning of his vision of pure organic hydroponics. The General Organics line is a total departure from the conventional rules of hydroponics. Right out of the bottle the products can be mixed and hand watered on plants growing in soil, or soilless media.

BioThrive Grow is pure, natural nutrition for plants grown in soil or soilless mediums. Its vegan formula facilitates lush vegative growth and vigourous root development. It provides necessary organic elements needed for plant growth and strength in the vegetative stage.

BioThrive Bloom is formulated to provide blooming plants with essential elements needed for superior blooms and harvests. The vegan formulation is pure and natural from organic sources. BioThrive Bloom promotes massive flowers and fruit and also encourages microbial activity in the growing media. It is ideal for both potting soil and soilless growing.",,,BioThrive Bloom 6 gal,hmh00673,274.50,,0,69.00,lb,True,True,Variant,6 gal,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg
biothrive,BioThrive,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"These products have been created by the same team that brought FloraNova to the market. In fact, the head of research and development for General Hydroponics, has a strong background in sustainable agriculture, and this line is just the beginning of his vision of pure organic hydroponics. The General Organics line is a total departure from the conventional rules of hydroponics. Right out of the bottle the products can be mixed and hand watered on plants growing in soil, or soilless media.

BioThrive Grow is pure, natural nutrition for plants grown in soil or soilless mediums. Its vegan formula facilitates lush vegative growth and vigourous root development. It provides necessary organic elements needed for plant growth and strength in the vegetative stage.

BioThrive Bloom is formulated to provide blooming plants with essential elements needed for superior blooms and harvests. The vegan formulation is pure and natural from organic sources. BioThrive Bloom promotes massive flowers and fruit and also encourages microbial activity in the growing media. It is ideal for both potting soil and soilless growing.",,,BioThrive Grow 6 gal,hmh00672,271.68,,0,69.00,lb,True,True,Variant,6 gal,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg
biothrive,BioThrive,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"These products have been created by the same team that brought FloraNova to the market. In fact, the head of research and development for General Hydroponics, has a strong background in sustainable agriculture, and this line is just the beginning of his vision of pure organic hydroponics. The General Organics line is a total departure from the conventional rules of hydroponics. Right out of the bottle the products can be mixed and hand watered on plants growing in soil, or soilless media.

BioThrive Grow is pure, natural nutrition for plants grown in soil or soilless mediums. Its vegan formula facilitates lush vegative growth and vigourous root development. It provides necessary organic elements needed for plant growth and strength in the vegetative stage.

BioThrive Bloom is formulated to provide blooming plants with essential elements needed for superior blooms and harvests. The vegan formulation is pure and natural from organic sources. BioThrive Bloom promotes massive flowers and fruit and also encourages microbial activity in the growing media. It is ideal for both potting soil and soilless growing.",,,BioThrive Bloom 2.5 gal,hmh00165,126.50,,0,31.00,lb,True,True,Variant,2.5 gal,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg
biothrive,BioThrive,grouped,active,2025-11-02 09:42:56,,H Moon Hydro,"These products have been created by the same team that brought FloraNova to the market. In fact, the head of research and development for General Hydroponics, has a strong background in sustainable agriculture, and this line is just the beginning of his vision of pure organic hydroponics. The General Organics line is a total departure from the conventional rules of hydroponics. Right out of the bottle the products can be mixed and hand watered on plants growing in soil, or soilless media.

BioThrive Grow is pure, natural nutrition for plants grown in soil or soilless mediums. Its vegan formula facilitates lush vegative growth and vigourous root development. It provides necessary organic elements needed for plant growth and strength in the vegetative stage.

BioThrive Bloom is formulated to provide blooming plants with essential elements needed for superior blooms and harvests. The vegan formulation is pure and natural from organic sources. BioThrive Bloom promotes massive flowers and fruit and also encourages microbial activity in the growing media. It is ideal for both potting soil and soilless growing.",,,BioThrive Bloom 1 gal,hmh00164,58.10,,0,12.00,lb,True,True,Variant,1 gal,manual,deny,shopify,,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg
