ID,SKU,Name,Type,Action,Reason,New Parent SKU
63530,,Scietetics Ful V Tech Element Transfer System 15 Gallon,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
63532,,Scietetics Ful V Tech Element Transfer System 55 Gallon,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
63533,,Scietetics Ful V Tech Element Transfer System 2.5 Gallon,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
63534,,Scietetics Ful V Tech Element Transfer System 5 Gallon,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
63535,,Scietetics Ful V Tech Element Transfer System 255 Gallon,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
70423,HMH-NUT-BCUG9V,Scietetics Ful V Tech Element Transfer System 15,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
70424,HMH-NUT-33C8RQ,Scietetics Ful V Tech Element Transfer System 2.5,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
70425,HMH-NUT-33C8LP,Scietetics Ful V Tech Element Transfer System 255,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
70426,HMH-NUT-OU69GQ,Scietetics Ful V Tech Element Transfer System 5,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
70427,HMH-NUT-BCUGDB,Scietetics Ful V Tech Element Transfer System 55,simple,DELETE,Consolidated into 'Scietetics Ful V Tech Element Transfer System' as variant,HMH-SCIETETICS-FUL-V-TECH-ELE-40FC
71135,1692,Y-Connector 10x8x8,simple,DELETE,Consolidated into 'Y-Connector' as variant,HMH-Y-CONNECTOR-E07E
71136,1694,Y-Connector 12x10x10,simple,DELETE,Consolidated into 'Y-Connector' as variant,HMH-Y-CONNECTOR-E07E
71137,1693,Y-Connector 12x12x12,simple,DELETE,Consolidated into 'Y-Connector' as variant,HMH-Y-CONNECTOR-E07E
71138,1687,Y-Connector 4x4x4,simple,DELETE,Consolidated into 'Y-Connector' as variant,HMH-Y-CONNECTOR-E07E
71142,1688,Y-Connector 6x4x4,simple,DELETE,Consolidated into 'Y-Connector' as variant,HMH-Y-CONNECTOR-E07E
71143,1689,Y-Connector 6x6x6,simple,DELETE,Consolidated into 'Y-Connector' as variant,HMH-Y-CONNECTOR-E07E
71144,1690,Y-Connector 8x6x6,simple,DELETE,Consolidated into 'Y-Connector' as variant,HMH-Y-CONNECTOR-E07E
71145,1691,Y-Connector 8x8x8,simple,DELETE,Consolidated into 'Y-Connector' as variant,HMH-Y-CONNECTOR-E07E
67827,958,Classic 2000,simple,DELETE,Consolidated into 'Classic' as variant,HMH-CLASSIC-D35B
67830,951,Classic 300,simple,DELETE,Consolidated into 'Classic' as variant,HMH-CLASSIC-D35B
67831,952,Classic 350,simple,DELETE,Consolidated into 'Classic' as variant,HMH-CLASSIC-D35B
67832,953,Classic 400,simple,DELETE,Consolidated into 'Classic' as variant,HMH-CLASSIC-D35B
67835,954,Classic 600,simple,DELETE,Consolidated into 'Classic' as variant,HMH-CLASSIC-D35B
67836,955,Classic 900,simple,DELETE,Consolidated into 'Classic' as variant,HMH-CLASSIC-D35B
14671,hmh01261,EcoPlus 185 GPH,simple,DELETE,Consolidated into 'EcoPlus' as variant,HMH-ECOPLUS-51E5
14673,hmh01262,EcoPlus 264 GPH,simple,DELETE,Consolidated into 'EcoPlus' as variant,HMH-ECOPLUS-51E5
14674,hmh01263,EcoPlus 396 GPH,simple,DELETE,Consolidated into 'EcoPlus' as variant,HMH-ECOPLUS-51E5
14675,hmh01264,EcoPlus 633 GPH,simple,DELETE,Consolidated into 'EcoPlus' as variant,HMH-ECOPLUS-51E5
