"parent_id","parent_sku","parent_name","missing_child_name"
"13925","hmh00646","Can Filters","CAN 33 Filter 12&#8243; OD, 13&#8243; high, 6&#8243; flange size, 200 CFM"
"13925","hmh00646","Can Filters","CAN 50 Filter 16.5&#8243; OD, 19.8&#8243; high, 8&#8243; flange size, 420 CFM"
"13925","hmh00646","Can Filters","CAN 66 Filter 12&#8243; OD, 26&#8243; high, 8&#8243; flange size, 412 CFM"
"13925","hmh00646","Can Filters","CAN 75 Filter 16.5&#8243; OD, 29.5&#8243; high, 8&#8243; flange size, 600 CFM"
"13925","hmh00646","Can Filters","CAN 100 Filter 16.5&#8243; OD, 39.4&#8243; high, 8&#8243; flange size, 840 CFM"
"13925","hmh00646","Can Filters","CAN 125 Filter 16.5&#8243; OD, 49.2&#8243; high, 10&#8243; flange size, 1110 CFM"
"13927","hmh00648","Can Filter Flanges","6&#8243; CAN Filter Flange"
"13927","hmh00648","Can Filter Flanges","10&#8243; CAN Filter Flange"
"13927","hmh00648","Can Filter Flanges","12&#8243; CAN Filter Flange"
"13927","hmh00648","Can Filter Flanges","14&#8243; Can Filter Flange Max"
"13927","hmh00648","Can Filter Flanges","16&#8243; Can Filter Flange Max"
"13927","hmh00648","Can Filter Flanges","18&#8243; Can Filter Flange Max"
"13927","hmh00648","Can Filter Flanges","20&#8243; Can Filter Flange Max"
"13940","hmh00661","PROfilter reversible carbon filters","PRO 50 &#8211; 6&#8243; Reversible-450 cfm."
"13940","hmh00661","PROfilter reversible carbon filters","PRO 70s &#8211; 6&#8243; Non-rev.-400 cfm."
"13940","hmh00661","PROfilter reversible carbon filters","PRO 75 &#8211; 6&#8243; Reversible &#8211; 640 cfm."
"13940","hmh00661","PROfilter reversible carbon filters","PRO 100 &#8211; 8&#8243; Reversible &#8211; 900 cfm(freight shipping ONLY)"
"13940","hmh00661","PROfilter reversible carbon filters","PRO 125 &#8211; 10&#8243; Reversible &#8211; 1140 cfm (freight shipping ONLY)"
"13940","hmh00661","PROfilter reversible carbon filters","6&#8243; Flange"
"13940","hmh00661","PROfilter reversible carbon filters","8&#8243; Flange"
"13940","hmh00661","PROfilter reversible carbon filters","10&#8243; Flange"
"13940","hmh00661","PROfilter reversible carbon filters","12&#8243; Flange"
"13941","hmh00662","38-Special by Can-Filters","38 Special 50, 15&#8243; OD, 26&#8243; High, 6&#8243; flange size, 420 CFM"
"13941","hmh00662","38-Special by Can-Filters","38 Special 75, 15&#8243; OD, 29.5&#8243; High, 8&#8243; flange size, 600 CFM"
"13941","hmh00662","38-Special by Can-Filters","38 Special 100, 15&#8243; OD, 39.4&#8243; High, 8&#8243; flange size, 840 CFM"
"14348","hmh00998","Can-Lite Filters","Can-Lite 14&#8243; w/ Flange attached (2200 cfm)"
"14767","hmh01332","Long Term Storage Bags","12&#8243; x 18&#8243; x 3&#8243; Storage Bag (ziploc)"
"14767","hmh01332","Long Term Storage Bags","22.5&#8243; x 18&#8243; Storage Bag"
