ID,Product Name,Category,Type,Current Weight,Enter Weight (lbs),Enter Length,Enter Width,Enter Height
13172,"FloraBlend","Nutrients & Supplements",grouped,0,,,,
13173,"FloraBlend qt","Nutrients & Supplements",simple,0,,,,
13178,"BioThrive","Nutrients & Supplements",grouped,0,,,,
13179,"Flora Series","Nutrients & Supplements",grouped,0,,,,
13180,"FloraNova Series","Nutrients & Supplements",grouped,0,,,,
13181,"Maxi Series","Nutrients & Supplements",grouped,0,,,,
13182,"BioBud","Nutrients & Supplements",grouped,0,,,,
13183,"BioMarine","Nutrients & Supplements",grouped,0,,,,
13185,"BioWeed","Nutrients & Supplements",grouped,0,,,,
13186,"CaMg+","Nutrients & Supplements",grouped,0,,,,
13187,"Diamond Black","Nutrients & Supplements",grouped,0,,,,
13188,"Diamond Nectar","Nutrients & Supplements",grouped,0,,,,
13189,"FloraDuo Complete","Nutrients & Supplements",grouped,0,,,,
13190,"Floralicious Series","Nutrients & Supplements",grouped,0,,,,
13191,"Floralicious Plus","Nutrients & Supplements",grouped,0,,,,
13192,"FloraNectar","Nutrients & Supplements",grouped,0,,,,
13193,"Flora Shield","Nutrients & Supplements",grouped,0,,,,
13194,"FloraKleen","Nutrients & Supplements",grouped,0,,,,
13195,"KoolBloom","Nutrients & Supplements",grouped,0,,,,
13196,"Liquid KoolBloom™ 0 - 10 - 10","Nutrients & Supplements",grouped,0,,,,
13197,"Rapid Start","Nutrients & Supplements",grouped,0,,,,
13202,"B'Cuzz BIO-NRG Bloom-C","Nutrients & Supplements",grouped,0,,,,
13203,"B'Cuzz BIO-NRG Flavor","Nutrients & Supplements",grouped,0,,,,
13204,"B'Cuzz BIO-NRG Growth-C","Nutrients & Supplements",grouped,0,,,,
13205,"B'Cuzz Hydro Nutrients","Nutrients & Supplements",grouped,0,,,,
13206,"B'Cuzz PK 13/14","Nutrients & Supplements",grouped,0,,,,
13210,"B'Cuzz Growth Stimulator","Nutrients & Supplements",grouped,0,,,,
13213,"B'Cuzz Root Stimulator","Nutrients & Supplements",grouped,0,,,,
13215,"Better Bloom 12-34-12","Nutrients & Supplements",grouped,0,,,,
13216,"Jungle Green 17-15-17","Nutrients & Supplements",grouped,0,,,,
13217,"Royal Black","Nutrients & Supplements",grouped,0,,,,
13218,"Royal Gold","Nutrients & Supplements",grouped,0,,,,
13219,"Yield Up 9-47-9","Nutrients & Supplements",grouped,0,,,,
13220,"Bud Boom","Nutrients & Supplements",grouped,0,,,,
13221,"Bud Start","Nutrients & Supplements",grouped,0,,,,
13222,"Carbo Blast","Nutrients & Supplements",grouped,0,,,,
13223,"Prop-O-Gator Plant Food","Propagation Supplies",grouped,0,,,,
13227,"Suck it Up","Nutrients & Supplements",grouped,0,,,,
13228,"Double Super B+ Extra Strength","Nutrients & Supplements",grouped,0,,,,
13229,"Ton O Bud 0-10-6","Nutrients & Supplements",grouped,0,,,,
13230,"The Hammer","Nutrients & Supplements",grouped,0,,,,
13231,"Humboldt Grow 2-1-6","Nutrients & Supplements",grouped,0,,,,
13232,"Humboldt Micro 5-0-1","Nutrients & Supplements",grouped,0,,,,
13233,"Humboldt Bloom 0-6-5","Nutrients & Supplements",grouped,0,,,,
13234,"Big Up Powder 0-33-23","Nutrients & Supplements",grouped,0,,,,
13235,"Sea Cal 3-2-8","Nutrients & Supplements",grouped,0,,,,
13236,"Sea Mag 0.2-0.2-3","Nutrients & Supplements",grouped,0,,,,
13237,"Master A","Nutrients & Supplements",grouped,0,,,,
13238,"Master B","Nutrients & Supplements",grouped,0,,,,
13239,"DueceDuece","Nutrients & Supplements",grouped,0,,,,
13241,"Equilibrium Natural","Nutrients & Supplements",grouped,0,,,,
13242,"Hydro-Deuce","Nutrients & Supplements",grouped,0,,,,
13243,"Royal Flush","Nutrients & Supplements",grouped,0,,,,
