ID,Product Name,Category,Type,Estimated Weight (lbs),Method,Confidence,Note
13172,"FloraBlend","Nutrients & Supplements",grouped,20.67,child_average,MEDIUM,"Average of 3 similar products"
13173,"FloraBlend qt","Nutrients & Supplements",simple,2.39,size_calculation,HIGH,"1 qt liquid + container"
13178,"BioThrive","Nutrients & Supplements",grouped,28.75,child_average,MEDIUM,"Average of 8 similar products"
13179,"Flora Series","Nutrients & Supplements",grouped,24.77,child_average,MEDIUM,"Average of 69 similar products"
13180,"FloraNova Series","Nutrients & Supplements",grouped,11.13,child_average,MEDIUM,"Average of 8 similar products"
13181,"Maxi Series","Nutrients & Supplements",grouped,15.83,child_average,MEDIUM,"Average of 9 similar products"
13182,"BioBud","Nutrients & Supplements",grouped,28.75,child_average,MEDIUM,"Average of 4 similar products"
13183,"BioMarine","Nutrients & Supplements",grouped,28.75,child_average,MEDIUM,"Average of 4 similar products"
13185,"BioWeed","Nutrients & Supplements",grouped,28.75,child_average,MEDIUM,"Average of 4 similar products"
13186,"CaMg+","Nutrients & Supplements",grouped,28.75,child_average,MEDIUM,"Average of 4 similar products"
13187,"Diamond Black","Nutrients & Supplements",grouped,33.14,child_average,MEDIUM,"Average of 11 similar products"
13188,"Diamond Nectar","Nutrients & Supplements",grouped,33.14,child_average,MEDIUM,"Average of 11 similar products"
13189,"FloraDuo Complete","Nutrients & Supplements",grouped,22.2,child_average,MEDIUM,"Average of 10 similar products"
13190,"Floralicious Series","Nutrients & Supplements",grouped,9.95,child_average,MEDIUM,"Average of 10 similar products"
13191,"Floralicious Plus","Nutrients & Supplements",grouped,9.95,child_average,MEDIUM,"Average of 10 similar products"
13192,"FloraNectar","Nutrients & Supplements",grouped,10.5,child_average,MEDIUM,"Average of 10 similar products"
13193,"Flora Shield","Nutrients & Supplements",grouped,24.77,child_average,MEDIUM,"Average of 69 similar products"
13194,"FloraKleen","Nutrients & Supplements",grouped,35.5,child_average,MEDIUM,"Average of 3 similar products"
13195,"KoolBloom","Nutrients & Supplements",grouped,19.92,child_average,MEDIUM,"Average of 6 similar products"
13196,"Liquid KoolBloom™ 0 - 10 - 10","Nutrients & Supplements",grouped,32.84,child_average,MEDIUM,"Average of 32 similar products"
13197,"Rapid Start","Nutrients & Supplements",grouped,2.86,child_average,MEDIUM,"Average of 5 similar products"
13202,"B'Cuzz BIO-NRG Bloom-C","Nutrients & Supplements",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13203,"B'Cuzz BIO-NRG Flavor","Nutrients & Supplements",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13204,"B'Cuzz BIO-NRG Growth-C","Nutrients & Supplements",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13205,"B'Cuzz Hydro Nutrients","Nutrients & Supplements",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13206,"B'Cuzz PK 13/14","Nutrients & Supplements",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13210,"B'Cuzz Growth Stimulator","Nutrients & Supplements",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13213,"B'Cuzz Root Stimulator","Nutrients & Supplements",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13215,"Better Bloom 12-34-12","Nutrients & Supplements",grouped,9.5,child_average,MEDIUM,"Average of 3 similar products"
13216,"Jungle Green 17-15-17","Nutrients & Supplements",grouped,9.5,child_average,MEDIUM,"Average of 3 similar products"
13217,"Royal Black","Nutrients & Supplements",grouped,5.01,child_average,MEDIUM,"Average of 7 similar products"
13218,"Royal Gold","Nutrients & Supplements",grouped,5.01,child_average,MEDIUM,"Average of 7 similar products"
13219,"Yield Up 9-47-9","Nutrients & Supplements",grouped,9.5,child_average,MEDIUM,"Average of 3 similar products"
13220,"Bud Boom","Nutrients & Supplements",grouped,20.26,child_average,MEDIUM,"Average of 45 similar products"
13221,"Bud Start","Nutrients & Supplements",grouped,20.26,child_average,MEDIUM,"Average of 45 similar products"
13222,"Carbo Blast","Nutrients & Supplements",grouped,15.71,child_average,MEDIUM,"Average of 18 similar products"
13223,"Prop-O-Gator Plant Food","Propagation Supplies",grouped,5.03,child_average,MEDIUM,"Average of 3 similar products"
13227,"Suck it Up","Nutrients & Supplements",grouped,4.83,child_average,MEDIUM,"Average of 3 similar products"
13228,"Double Super B+ Extra Strength","Nutrients & Supplements",grouped,20.09,child_average,MEDIUM,"Average of 9 similar products"
13229,"Ton O Bud 0-10-6","Nutrients & Supplements",grouped,25.58,child_average,MEDIUM,"Average of 10 similar products"
13230,"The Hammer","Nutrients & Supplements",grouped,5.68,child_average,MEDIUM,"Average of 40 similar products"
13231,"Humboldt Grow 2-1-6","Nutrients & Supplements",grouped,21.44,child_average,MEDIUM,"Average of 48 similar products"
13232,"Humboldt Micro 5-0-1","Nutrients & Supplements",grouped,21.44,child_average,MEDIUM,"Average of 48 similar products"
13233,"Humboldt Bloom 0-6-5","Nutrients & Supplements",grouped,21.44,child_average,MEDIUM,"Average of 48 similar products"
13234,"Big Up Powder 0-33-23","Nutrients & Supplements",grouped,10.81,child_average,MEDIUM,"Average of 17 similar products"
13235,"Sea Cal 3-2-8","Nutrients & Supplements",grouped,13.5,child_average,MEDIUM,"Average of 6 similar products"
13236,"Sea Mag 0.2-0.2-3","Nutrients & Supplements",grouped,13.5,child_average,MEDIUM,"Average of 6 similar products"
13237,"Master A","Nutrients & Supplements",grouped,23.36,child_average,MEDIUM,"Average of 9 similar products"
13238,"Master B","Nutrients & Supplements",grouped,23.36,child_average,MEDIUM,"Average of 9 similar products"
13239,"DueceDuece","Nutrients & Supplements",grouped,8,child_average,MEDIUM,"Average of 2 similar products"
13241,"Equilibrium Natural","Nutrients & Supplements",grouped,10,child_average,MEDIUM,"Average of 1 similar products"
13242,"Hydro-Deuce","Nutrients & Supplements",grouped,4.83,child_average,MEDIUM,"Average of 3 similar products"
13243,"Royal Flush","Nutrients & Supplements",grouped,5.01,child_average,MEDIUM,"Average of 7 similar products"
13244,"Ginormous","Nutrients & Supplements",grouped,30,child_average,MEDIUM,"Average of 1 similar products"
13245,"Grow Natural","Nutrients & Supplements",grouped,18.87,child_average,MEDIUM,"Average of 83 similar products"
13246,"Bloom Natural","Nutrients & Supplements",grouped,17.15,child_average,MEDIUM,"Average of 79 similar products"
13247,"Hum-Bolt","Nutrients & Supplements",grouped,12.67,child_average,MEDIUM,"Average of 3 similar products"
13248,"Flavor-Ful","Nutrients & Supplements",grouped,21.88,child_average,MEDIUM,"Average of 4 similar products"
13249,"Verde Growth Catalyst","Nutrients & Supplements",grouped,8,child_average,MEDIUM,"Average of 2 similar products"
13250,"Oneness 5-9-4","Nutrients & Supplements",grouped,57,child_average,MEDIUM,"Average of 5 similar products"
13251,"Mayan Microzyme","Nutrients & Supplements",grouped,4.13,child_average,MEDIUM,"Average of 6 similar products"
13252,"Prozyme","Nutrients & Supplements",grouped,2.1,child_average,MEDIUM,"Average of 1 similar products"
13253,"Myco Madness Soluble","Nutrients & Supplements",grouped,10.35,child_average,MEDIUM,"Average of 10 similar products"
13254,"Myco Maximum Granular","Nutrients & Supplements",grouped,10.35,child_average,MEDIUM,"Average of 10 similar products"
13255,"Humboldt Honey Hydro Carbs","Nutrients & Supplements",grouped,21.44,child_average,MEDIUM,"Average of 48 similar products"
13256,"Humboldt Honey ES","Nutrients & Supplements",grouped,21.44,child_average,MEDIUM,"Average of 48 similar products"
13257,"Humboldt Roots","Nutrients & Supplements",grouped,21.44,child_average,MEDIUM,"Average of 48 similar products"
13259,"Humboldt Sticky Foliar Feed","Nutrients & Supplements",grouped,21.44,child_average,MEDIUM,"Average of 48 similar products"
13264,"Mykos - Mycorrhizal Inoculant Granular","Nutrients & Supplements",grouped,2.2,child_average,MEDIUM,"Average of 1 similar products"
13267,"CalCarb Calcium Carbonate Foliar Spray","Nutrients & Supplements",grouped,0.6,child_average,MEDIUM,"Average of 2 similar products"
13275,"CocoTek Caps","Pots & Containers",grouped,2,child_average,MEDIUM,"Average of 1 similar products"
13276,"CocoTek Liners","Pots & Containers",grouped,2,child_average,MEDIUM,"Average of 1 similar products"
13281,"BASIC Magnetic Ballast","Grow Lights Ballast",grouped,45,child_average,MEDIUM,"Average of 2 similar products"
13300,"Ultragrow Cool Tube","Grow Lights Ballast",grouped,30,child_average,MEDIUM,"Average of 1 similar products"
13309,"ONA Liquid","Odor Control",grouped,7.46,child_average,MEDIUM,"Average of 22 similar products"
13310,"ONA Gel","Odor Control",grouped,7.46,child_average,MEDIUM,"Average of 22 similar products"
13313,"ONA Mist","Odor Control",grouped,7.46,child_average,MEDIUM,"Average of 22 similar products"
13315,"Doktor Doom Fogger","Pest Control",grouped,1,child_average,MEDIUM,"Average of 1 similar products"
13317,"Plantacillin","Propagation Supplies",grouped,1,category_default,LOW,"Average tray/dome"
13320,"Ed Rosenthal's Zero Tolerance Herbal Pesticide-Fungicide","Pest Control",grouped,6.11,child_average,MEDIUM,"Average of 102 similar products"
13321,"TimeMist Plus Programmable Dispenser","Pest Control",grouped,1,child_average,MEDIUM,"Average of 1 similar products"
13323,"Safer Garden Fungicide 32oz RTU Spray","Pest Control",grouped,2.1,size_calculation,HIGH,"32 oz dry + container"
13324,"Block-IR Infra-Red Barrier","Reflective Wall Fabric",grouped,9,child_average,MEDIUM,"Average of 3 similar products"
13705,"B'cuzZ Roxx Propagation Trays and Matts","Growing Medium, Propagation Supplies",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13711,"B'cuzZ Roxx Rooting Blocks","Growing Medium",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13718,"B'cuzZ Roxx Bimatrix Growing Slabs","Growing Medium",grouped,5.38,child_average,MEDIUM,"Average of 24 similar products"
13759,"WaterFarm Reservoir - 4 gal","Hydroponic Gardens",simple,34.8,size_calculation,HIGH,"4 gal liquid + container"
13763,"Texas Controller 16 units","Hydroponic Gardens",simple,2,category_default,LOW,"Generic default"
13764,"Ebb & Gro Monster System Controller","Hydroponic Gardens",simple,2,category_default,LOW,"Generic default"
13771,"240 Volt Power cord 8 ft .","Grow Lights Ballast",simple,15,category_default,LOW,"Average ballast/reflector"
13772,"SunSoaker Parabolic Reflector w/ Horizonal Socket bracket","Grow Lights Ballast",simple,15,category_default,LOW,"Average ballast/reflector"
13783,"Ultragrow A/C 6 in. with saftey glass & socket set w/ 15 ft cord","Grow Lights Ballast",simple,15,category_default,LOW,"Average ballast/reflector"
13803,"BADBOY T-5 4 ft - 16 Lamp Fixture 864 W","Grow Lights Ballast",simple,15,category_default,LOW,"Average ballast/reflector"
13817,"Doktor Doom Total Fogger 5.5 oz","Pest Control",simple,0.44,size_calculation,HIGH,"5.5 oz dry + container"
13826,"Plantacillin 1 liter","Pest Control",simple,1.5,category_default,LOW,"Average spray bottle"
13827,"Zero Tolerance <b>Herbal Fungicide</b> gal","Pest Control",simple,1.5,category_default,LOW,"Average spray bottle"
13832,"TimeMist Plus Programmable Dispenser","Pest Control",simple,1.5,category_default,LOW,"Average spray bottle"
