ID,Weight
13172,20.67
13173,2.39
13178,28.75
13179,24.77
13180,11.13
13181,15.83
13182,28.75
13183,28.75
13185,28.75
13186,28.75
13187,33.14
13188,33.14
13189,22.2
13190,9.95
13191,9.95
13192,10.5
13193,24.77
13194,35.5
13195,19.92
13196,32.84
13197,2.86
13202,5.38
13203,5.38
13204,5.38
13205,5.38
13206,5.38
13210,5.38
13213,5.38
13215,9.5
13216,9.5
13217,5.01
13218,5.01
13219,9.5
13220,20.26
13221,20.26
13222,15.71
13223,5.03
13227,4.83
13228,20.09
13229,25.58
13230,5.68
13231,21.44
13232,21.44
13233,21.44
13234,10.81
13235,13.5
13236,13.5
13237,23.36
13238,23.36
13239,8
13241,10
13242,4.83
13243,5.01
13244,30
13245,18.87
13246,17.15
13247,12.67
13248,21.88
13249,8
13250,57
13251,4.13
13252,2.1
13253,10.35
13254,10.35
13255,21.44
13256,21.44
13257,21.44
13259,21.44
13264,2.2
13267,0.6
13275,2
13276,2
13281,45
13300,30
13309,7.46
13310,7.46
13313,7.46
13315,1
13317,1
13320,6.11
13321,1
13323,2.1
13324,9
13705,5.38
13711,5.38
13718,5.38
13759,34.8
13763,2
13764,2
13771,15
13772,15
13783,15
13803,15
13817,0.44
13826,1.5
13827,1.5
13832,1.5
13839,2.1
13841,1.5
13845,1
13850,2
13851,4.5
13852,15.8
13854,2
13856,3
13861,3
13862,3
13863,3
13868,7.86
13870,0.5
13871,0.5
13872,6.16
13874,9.88
13875,0.5
13876,1.3
13877,24.25
13879,0.5
13880,1.3
13881,1.3
13882,1.3
13885,8.45
13886,8.45
13887,22.57
13888,112.46
13890,112.46
13891,2
13892,2
13894,2
13895,0.25
13896,0.25
13899,0.25
13902,4.17
13903,5.68
13904,0.5
13905,1
13906,1
13911,0.5
13912,0.5
13914,1.86
13915,23.8
13916,15.8
13918,8.5
13919,5
13924,5.13
13925,22.68
13926,22.68
13927,22.68
13928,9.33
13929,14.83
13940,15
13941,8
13942,5.68
13944,5.68
13945,5.68
13949,15.38
13965,8.75
14317,0.5
14319,0.5
14324,0.5
14326,0.5
14346,0.5
14348,68
14354,14.33
14355,10.81
14356,20.26
14357,20.26
14358,20.26
14359,7.5
14360,3.17
14362,16
14363,7.5
14364,14.33
14365,1
14367,15.38
14368,14.33
14369,1
14370,7.5
14371,5.33
14441,18.87
14442,3
14451,2.39
14453,9
14458,9
14461,2.39
14463,9
14478,2.39
14508,4.9
14524,25.4
14587,0.5
14593,0.5
14606,6.16
14607,6.16
14608,6.16
14628,5.38
14664,15.38
14688,3
14693,3
14696,3
14719,29.21
14722,1
14736,3.88
14746,3.88
14750,29.21
14770,8
14788,7.46
14792,6
14796,1
14802,7.5
14869,12
14876,1
14892,1.5
14899,2.13
14905,15
14970,2
15011,0.5
15036,26.28
15037,33.14
15059,8
15060,2.39
15063,2.39
15064,2.39
15065,9
15066,9
15067,9
15068,9
15077,3
15094,14.5
15106,28.5
15110,15
15112,0.5
15113,0.5
15115,0.5
15117,15
15120,2.39
15122,9
15123,22.05
15128,22.05
15132,23
15137,23
15138,2.39
15140,2.39
15141,9
15149,9
15150,2.39
15152,9
15153,2.39
15154,9
15160,15
15165,15
15170,7.86
15185,8.66
15187,34.8
15195,21.44
15196,2.39
15200,3
15202,3
15215,8.23
15219,9
15223,9
15227,11.4
15231,3
15232,11.3
15233,9
15234,3
15236,11.3
15238,11.3
15250,24.25
15254,15
15255,15
15258,15
15259,0.5
15261,7
15264,0.5
15269,15
15283,0.5
15284,0.5
15301,0.27
15303,0.71
15304,1
15305,1
15306,6
15307,0.36
15308,0.62
15309,6
15310,0.36
15312,0.62
15313,3
15314,17.26
15315,26.28
15316,0.5
15318,0.5
15319,0.5
15320,0.5
15326,15
15328,10.75
15348,19.5
15354,0
15363,3
15372,4.55
15376,4.55
15380,4.55
15383,3
15384,4.55
15385,3
15387,3
15388,4.55
15389,3
15391,3
15392,4.55
15393,3
15406,129.5
15408,129.5
15409,469.5
15410,2339.5
15411,2339.5
15437,57.5
15456,1.5
15503,15.19
15504,6.57
15508,9
15543,15
15549,12.84
16504,16.5
16621,2.39
16622,9
16700,3
32121,1.5
32124,1.5
61541,6.11
62384,3
62604,2
62610,2
62622,25
62641,3
62645,3
62649,3
62658,9
62663,9
62675,9
62688,9
62699,9
62703,9
62712,2.18
62719,9
62724,3
62726,9
62784,0.56
62786,1.01
63059,1.5
63252,2
63253,2
63528,3
63547,0.5
63673,25
63789,2
63843,2
63859,129.5
63890,13.25
63979,0.1
