Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
zero-tolerance-pest-control-gal,Zero Tolerance <b>Pest Control</b> gal,"<p>Zero Tolerance Pest Control is a professional-grade solution designed to eliminate common garden pests while protecting your hydroponic system's integrity. This gallon-sized concentrate delivers powerful, targeted pest management for growers who demand results without compromise. Formulated for efficiency, it works quickly to control infestations and prevent crop damage. Ideal for both commercial and serious hobbyist operations seeking reliable pest suppression in controlled environments.</p>",H Moon Hydro,Home & Garden > Household Supplies > Pest Control > Pesticides > Garden Insecticides,simple,"",false,Title,Default Title,,,,,,,,hmh00555,425.242846875,,0,deny,manual,75.00,85.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/zero_tolerence_3b5396b7-0285-4d0d-86d1-1fc2f42313c0.jpg?v=1761679131,1,"",false,,,,oz,,,active
yield-up-9-47-9-2-kg,Yield Up 9-47-9 2 kg,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00311,127.5728540625,,0,deny,manual,94.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/yieldup_377b9b06-fc45-46f8-9561-a89ef965550d.jpg?v=1761679128,1,"",false,,,,oz,,,active
uno-2-speed-10-in-line-blower-845-cfm,"UNO-2 Speed 10"" in line Blower 845 cfm","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01587,510.29141625,,0,deny,manual,129.00,219.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/hurricane-inline-fan-4-171cfm_a845952e-f2b8-493d-8584-98bab0a72ba6.jpg?v=1761679127,1,"",false,,,,oz,,,active
zero-tolerance-herbal-fungicide-gal,Zero Tolerance <b>Herbal Fungicide</b> gal,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00554,0.0,,0,deny,manual,60.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/zero_tolerence.jpg?v=1761679127,1,"",false,,,,lb,,,active
yield-up-9-47-9-500-gm,Yield Up 9-47-9 500 gm,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00310,28.349523125,,0,deny,manual,26.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/yieldup_1a63bbb7-e5cf-449e-85fb-a79b555c2022.jpg?v=1761679128,1,"",false,,,,oz,,,active
ultra-premium-connoisseur-part-b-1-lt,Ultra-premium Connoisseur Part-B (1 lt),"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01067,85.048569375,,0,deny,manual,39.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedConnoisseurA_08218612-4e70-4413-ad7d-528205b2543c.jpg?v=1761679127,1,"",false,,,,oz,,,active
xtreme-tea-brews-90-gm-pack,Xtreme Tea Brews 90 gm pack,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01237,28.349523125,,0,deny,manual,10.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/brewing-teas10.jpg?v=1761679127,1,"",false,,,,oz,,,active
vortex-12-in-2050-cfm-v-series,"Vortex 12 in., 2050 cfm - V-Series","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00778,623.68950875,,0,deny,manual,799.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/vortex_powerfans_05bee557-3990-4d42-8061-dbfa9113ad6a.jpg?v=1761679127,1,"",false,,,,oz,,,active
ultragrow-a-c-8-in-with-saftey-glass-socket-set-w-15-ft-cord,Ultragrow A/C 8 in. with saftey glass & socket set w/ 15 ft cord,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00521,850.48569375,,0,deny,manual,164.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/ugrac6_b_aab0d4de-df60-45e5-95bc-9d75a9ee2206.jpg?v=1761679127,1,"",false,,,,oz,,,active
verde-growth-catalyst-1-qt,Verde Growth Catalyst 1 qt,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00414,85.048569375,,0,deny,manual,22.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/verde_1e560153-cda7-4bd5-8760-d86674163eef.jpg?v=1761679127,1,"",false,,,,oz,,,active
