metric,value
Total Products,1455
Total Variants,2145
Active Products,777
Draft Products,678
Archived Products,0
% Variants Missing SKU,8.72%
Variants with Blank/Zero Price,0
Archived/Draft with Inventory,537

metric,value
PROBLEM SHORTLIST (first 300),
product_handle / variant_id / sku,status | price | total_inv | target_loc_inv
1-4-in-tubing-blue-500-ft-roll | gid://shopify/ProductVariant/42665809838154 | hmh00941,DRAFT | 11.95 | 5 | 5
1-1-4-grommet-bag-of-10 | gid://shopify/ProductVariant/42665809969226 | hmh00824,DRAFT | 1.95 | 38 | 38
1-grommet-bag-of-10 | gid://shopify/ProductVariant/42665809936458 | hmh00823,DRAFT | 11.24 | 12 | 12
dutch-lighting-innovations-joule-series-1000w-de-120v-240v | gid://shopify/ProductVariant/42665810001994 | (blank),ACTIVE | 450.00 | 0 | 0
1-2-grommet-bag-of-25 | gid://shopify/ProductVariant/42665810133066 | hmh00822,DRAFT | 0.64 | 261 | 261
10-in-hose-clamps | gid://shopify/ProductVariant/42665812688970 | hmh01326,DRAFT | 4.30 | 15 | 15
100-ft-diamond-silver-white-film | gid://shopify/ProductVariant/42665812721738 | hmh01541,DRAFT | 158.36 | 4 | 4
10-max-fan-1023-cfm | gid://shopify/ProductVariant/42665812787274 | hmh00807,DRAFT | 475.69 | 1 | 1
10-in-bucket-basket | gid://shopify/ProductVariant/42665812852810 | hmh00832,DRAFT | 4.98 | 20 | 20
10-in-backdraft-damper | gid://shopify/ProductVariant/42665812918346 | hmh00785,DRAFT | 34.76 | 2 | 2
10-can-filter-flange | gid://shopify/ProductVariant/42665812885578 | hmh00726,DRAFT | 28.15 | 2 | 2
10-flange | gid://shopify/ProductVariant/42665812983882 | hmh00742,DRAFT | 16.29 | 6 | 6
12-in-backdraft-damper | gid://shopify/ProductVariant/42665813049418 | hmh00786,DRAFT | 34.76 | 2 | 2
12-can-filter-flange | gid://shopify/ProductVariant/42665814753354 | hmh00727,DRAFT | 20.63 | 2 | 2
14-max-fan-1823-cfm | gid://shopify/ProductVariant/42665814917194 | hmh00809,DRAFT | 738.52 | 3 | 3
16-can-filter-flange-max | gid://shopify/ProductVariant/42665814949962 | hmh00729,DRAFT | 1216.38 | 1 | 1
12-flange | gid://shopify/ProductVariant/42665815179338 | hmh00743,DRAFT | 20.63 | 2 | 2
12-in-hose-clamps | gid://shopify/ProductVariant/42665815212106 | hmh01327,DRAFT | 5.87 | 39 | 39
16-max-fan-2436-cfm | gid://shopify/ProductVariant/42665815277642 | hmh00810,DRAFT | 1216.38 | 1 | 1
16-can-duct-3-ply-premium-ducting-w-clamps | gid://shopify/ProductVariant/42665815244874 | hmh01330,DRAFT | 86.90 | 1 | 1
18-can-filter-flange-max | gid://shopify/ProductVariant/42665815310410 | hmh00730,DRAFT | 1531.34 | 1 | 1
18-can-duct-3-ply-premium-ducting-w-clamps | gid://shopify/ProductVariant/42665817309258 | hmh01331,DRAFT | 108.64 | 1 | 1
18-max-fan-3490-cfm | gid://shopify/ProductVariant/42665817669706 | hmh01325,DRAFT | 1531.34 | 1 | 1
25-ft-diamond-silver-white-film | gid://shopify/ProductVariant/42665819242570 | hmh01539,DRAFT | 45.89 | 12 | 12
3-75-mesh-basket | gid://shopify/ProductVariant/42665819504714 | hmh00834,DRAFT | 0.72 | 64 | 64
