SKU,Handle,Field,Woo Field,Suggested Value
GEN-1eLP,uno-gen-1-elp-propane,Body (HTML),Product description,"The UNO CO2 generators are constructed of powder coated steel enclosures that resist moisture, rust and discoloration.
<ul>
 	<li>They will provide years of trouble-free operation.</li>
 	<li>The UNO GEN-1e and UNO GEN-2e are manufactured using only AGA and/or UL listed components that are appropriate for use with both propane and natural gas.</li>
 	<li>The units come complete with a low-pressure, in-line natural gas regulator or the new Type1 style no-tool-required propane regulator that makes tank replacement easy.</li>
 	<li>UNO CO2 generators operate up to 100 degrees cooler than other competitive products.</li>
 	<li>The UNO GEN-1e and UNO GEN-2e can also be easily converted from propane to natural gas or vise-versa in less than 10 minutes with an inexpensive kit.</li>
 	<li>The UNO GEN-1 produces 15 cubic feet of CO2 per hour.</li>
 	<li>The Gen-2 produces 30 cubic feet of CO2 per hour.</li>
</ul>"
hmh00634,tsc-1-24-hour-timestat,Body (HTML),Product description,"The TSC-1 timer is a 24 hr time switch that provides accurate timing with 96 non-detachable trippers for on/off functions adjustable in 15 minute increments up to 48 cycles per day. Easy to set and operate. The heavy plastic enclosure and aluminum back plate provide a durable and attractive housing which will never corrode or discolor from hot, cold or humid environments. This unit can be used independently or as part of a combination of control devices to coordinate numerous system functions. Precision synchronous clock motor provides 110V 15A control for pumps, fans lighting, solenoids, motors relays or virtually any equipment or appliance dependent upon multiple daily operations."
hmh01268,uno-8-big-boy-a-c-reflector,Body (HTML),Product description,"This UNO™ Big Boy reflector dwarfs the competition! Size: 41 1/2”x 31 1/2”x 9 2/3” The Giant Among Giant Reflectors • Low Profile! Specially designed under exacting standards to reduce wind drag • 95% reflectivity German aluminum inserts on all 4 sides for maximum reflection • 8”air cooling vents built-in • Hinged tempered glass with steel cable for supporting when opened. • Fully gasketed and sealed for most the most effective heat isolation and cooling. • Aerodynamic lamp and socket holder designed for max airflow • Minimum Hot Spots! Even better, the optimized design minimizes hot spots so your precious garden will stay safe and better lit than ever berfore! • Pre-wired lamp socket and 15ft , 16 # cable • UL listed electric parts

***DOES NOT QUALIFY FOR FREE SHIPPING***"
hmh00582,tds-monitor-dm-2-industrial-dual-tds-monitor,Body (HTML),Product description,"This unit is highly efficient and accurate due to its advanced microprocessor technology. It has an Auto-Off function to conserve battery power. The unit shuts off automatically after 20 seconds. Dual range - measures from 0-999 ppm, with a resolution of 1 ppm. From 1000 to 9990 ppm, the resolution is in 10 ppm increments, indicated by a blinking image. It comes factor calibrated. and equipped with 3/8 in. & 1/2 in. Quick Connect T-fittings for Merlin Garden Pro™ or Tall Blue-Merlin™ for quick install. Measure the untreated water coming in vs. the purified water going out of your reverse osmosis system at any time. Limited 3 year warranty."
hmh01785,the-ozone-generator,Body (HTML),Product description,"Description
OZONE GENERATOR / Air Sanitation

A powerful oxidizer that removes odors by neutralizing them at the molecular level.

Ozone Generators work by pulling air into the generator and running it past an ultraviolet light, which converts the oxygen in the air into Ozone.

Ozone is highly reactive to most odor-causing contaminates and allergens, and when it encounters these pollutants it destroys them through oxidation

It eliminates odor, mold, bacteria, smoke, etc. Easy to use with no maintenance required.OZONE GENERATOR is for areas up to 5000 cubic ft. Sanitation
Warning: For commercial use only in unoccupied areas."
hmh00001,teaming-with-microbes,Body (HTML),Product description,"<b>A Gardener's Guide to the Soil Food Web</b><br>  by Jeff Lowenfels and Wayne Lewis  <br><br>  <b>Should be required reading for all serious gardeners.</b>  <br><br>  Smart gardeners know that soil is anything but an inert substance. Healthy soil is teeming with life not just earthworms and insects, but a staggering multitude of bacteria, fungi, and other microorganisms. When we use chemical fertilizers, we injure the microbial life that sustains healthy plants, and thus become increasingly dependent on an arsenal of artificial substances, many of them toxic to humans as well as other forms of life. But there is an alternative to this vicious circle: to garden in a way that strengthens, rather than destroys, the soil food web the complex world of soil-dwelling organisms whose interactions create a nurturing environment for plants. By eschewing jargon and overly technical language, the authors make the benefits of cultivating the soil food web available to a wide audience, from devotees of organic gardening techniques to weekend gardeners who simply want to grow healthy, vigorous plants without resorting to chemicals."
hmh00580,tall-boy-de-chlorinator-sediment-filter,Body (HTML),Product description,"This filter removes up to 99% of chlorine and 90% of sediment, rust, silt, etc. @ 2 GPM. Easily produces 120 gallons per hour of clear water filtered down to 5 microns. It has a filter capacity of 7,500 gallons.

Includes:
<ul>
 	<li>2-Stage 20 in. Filter Unit</li>
 	<li>Wall Mountable Metal Bracket</li>
 	<li>Female Garden Hose Connector</li>
 	<li>Brass Male Garden Hose Connector</li>
 	<li>4 ft. Feed Line</li>
 	<li>4 ft. Outlet Line</li>
 	<li>Filter Wrench</li>
 	<li>Instructions</li>
</ul>"
hmh00037,subculture-m-200gm-bag,Body (HTML),Product description,"A biological inoculum containing a wide diversity of endo and ecto mycorrhizal fungi that colonize plant roots. These beneficial fungi form a fine network of thread-like strands that serve as an extension of the plant’s root system. Use on any type of plant and with any growing method - soil, or hydroponic. SubCulture-M can be applied throughout the life of your plants from seed germination through harvest. It may be used with SubCulture-B to create a diverse microbial community beneficial for plant health."
hmh00036,subculture-b-200gm-bag,Body (HTML),Product description,"<i>Microbiological Inoculant</i>  <br><br>  Subculture™ is a revolutionary blend of microorganisms that will increase vitality and yield in all plants. Whether in soil or hydroponics, the proprietary mixed blend of bacteria, actinomycetes and trichoderma fungi colonize in the root zone and media to form a symbiotic relationship with the plant. Plant root mass will increase, as well as nutrient absorption, creating bigger, healthier plants.  <br><br>  SubCulture™ has the highest concentration in the industry of microorganisms is the at 1.25 billion CFU per gram. General Hydroponics SubCulture™ creates robust healthy plants with strong, healthy root systems that are resistant to environmental stresses. SubCulture™ comes in convenient water-soluble 1 oz pouch, with each pouch treating up to 50 gallons of nutrient solution, or up to eight cubic feet of media."
hmh00604,t5-high-output-fluorescent-lamps,Body (HTML),Product description,In store pickup only
hmh00577,stealth-ro-300-customized-reverse-osmosis-filter,Body (HTML),Product description,"This filter produces up to 200 GPD (gallons per day) ultra-pure, low PPM water. It removes 98%+ of chlorine & contaminants. This unit wastes approximately 25% less water than other RO systems. Everything is included in the box for quick hook-up. Customized for gardening & hydroponics.  <p>  Includes:  <ul>  <li>4-Stage RO Unit  <li>2 RO Membranes  <li>Carbon Filter  <li>Cleanable Sediment Filter  <li>Automatic Shut-off Cartridge  <li>Wall Mountable Metal Bracket  <li>Garden Hose Connector  <li>Inline Shut-off  <li>8 ft. RO & Drain Line  <li>5 ft. Inlet Line  <li>Filter  </ul>"
hmh01186,sunblaster-nanodome,Body (HTML),Product description,"This new high dome form SunBlaster incorporates our ingenious light tracks. These light tracks receive all <a href=""product_info.php?cPath=25_43&amp;products_id=220"">T5HO lamps</a> with NanoTech T5 Reflectors. Engineered to receive lighting bi-directionally. Want to light four 1020 trays simultaneously? No problem! Just line them up side by side and use just two SunBlaster 4' lamps to get the coverage you need."
hmh00578,stealth-ro-100-customized-reverse-osmosis-filter,Body (HTML),Product description,"This filter produces up to 150 GPD (gallons per day) of ultra-pure, low PPM water. It removes 98%+ of chlorine & contaminants. This unit wastes approximately 25% less water than other RO systems. Everything included in the box for quick hook-up. Customized for gardening & hydroponics.   <p>  Includes:   <ul>  <li>3-Stage RO unit  <li>1 RO membrane  <li>Carbon filter  <li>Cleanable sediment filter  <li>Automatic shut-off cartridge  <li>Wall mountable metal bracket  <li>Garden hose connector  <li>Inline shut-off  <li>8 ft. RO & drain line  <li>5 ft. inlet line  <li>Filter wrench  <li>Instructions  </ul>"
