SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1632,gid://shopify/ProductVariant/42665854107722,holland-secret-micro-10l,ACTIVE,2,,,79.95,,36.43,,0718122811007,0718122811007,REVIEW_DUPLICATE
1632,gid://shopify/ProductVariant/42665856073802,holland-secret-micro-h-w-10l,ACTIVE,2,,,79.95,,36.43,,0718122811007,0718122811007,REVIEW_DUPLICATE
1916,gid://shopify/ProductVariant/42665850470474,floraduo-b-6-gal,DRAFT,2,,,146.63,,75.0,,0793094016858,0793094016858,REVIEW_DUPLICATE
1916,gid://shopify/ProductVariant/42665852043338,floraduo-a-6-gal,DRAFT,2,,,146.63,,75.0,,0793094016858,0793094016858,REVIEW_DUPLICATE
1918,gid://shopify/ProductVariant/42665812918346,10-in-backdraft-damper,DRAFT,2,,,34.76,,21.33,,0840470004043,0840470004043,REVIEW_DUPLICATE
1918,gid://shopify/ProductVariant/42665813049418,12-in-backdraft-damper,DRAFT,2,,,34.76,,21.33,,0840470004043,0840470004043,REVIEW_DUPLICATE
143,gid://shopify/ProductVariant/42665839329354,all-purpose-feeder-packs-20-ct,ACTIVE,16,,,5.86,,3.0,,0689076421768,0689076421768,REVIEW_DUPLICATE
143,gid://shopify/ProductVariant/42665865117770,organic-feeder-packs-20-ct,ACTIVE,16,,,5.86,,3.0,,0689076421768,0689076421768,REVIEW_DUPLICATE
16,gid://shopify/ProductVariant/42665860726858,liquid-koolbloom-1-gal,DRAFT,4,,,84.50,,46.5,,0757900201289,0757900201289,REVIEW_DUPLICATE
16,gid://shopify/ProductVariant/42665860792394,liquid-karma-gal,DRAFT,4,,,84.50,,46.5,,0757900201289,0757900201289,REVIEW_DUPLICATE
47,gid://shopify/ProductVariant/42665860825162,liquid-carbo-blast-6-gal,DRAFT,3,,,66.50,,33.25,,0080359021000,0080359021000,REVIEW_DUPLICATE
47,gid://shopify/ProductVariant/42665860989002,liquid-koolbloom-6-gal,DRAFT,3,,,66.50,,33.25,,0080359021000,0080359021000,REVIEW_DUPLICATE
94,gid://shopify/ProductVariant/42665850929226,floragro-275-gal,DRAFT,27,,,40.99,,15.94,,0793094014236,0793094014236,REVIEW_DUPLICATE
94,gid://shopify/ProductVariant/42665851191370,floragro-1-gal,DRAFT,27,,,40.99,,15.94,,0793094014236,0793094014236,REVIEW_DUPLICATE
94,gid://shopify/ProductVariant/42665851584586,floragro-55-gal,DRAFT,27,,,40.99,,15.94,,0793094014236,0793094014236,REVIEW_DUPLICATE
98,gid://shopify/ProductVariant/42665850634314,flora-micro-1-qt,DRAFT,29,,,21.13,,7.97,,0793094014120,0793094014120,REVIEW_DUPLICATE
98,gid://shopify/ProductVariant/42665854632010,hard-water-flora-micro-1-qt,DRAFT,29,,,21.13,,7.97,,0793094014120,0793094014120,REVIEW_DUPLICATE
172,gid://shopify/ProductVariant/42665863905354,ona-block-crystal-6oz,ACTIVE,16,,,9.99,,5.3,,0624493141318,0624493141318,REVIEW_DUPLICATE
172,gid://shopify/ProductVariant/42665864626250,ona-mist-polar-crystal-6oz,ACTIVE,16,,,9.99,,5.3,,0624493141318,0624493141318,REVIEW_DUPLICATE
110,gid://shopify/ProductVariant/42665852567626,floralicious-grow-1-qt,DRAFT,32,,,28.89,,13.42,,0793094013727,0793094013727,REVIEW_DUPLICATE
110,gid://shopify/ProductVariant/42665852960842,floranova-grow-1-qt,DRAFT,32,,,28.89,,13.42,,0793094013727,0793094013727,REVIEW_DUPLICATE
111,gid://shopify/ProductVariant/42665852600394,floralicious-plus-1-gal,DRAFT,11,,,87.48,,40.25,,0793094013734,0793094013734,REVIEW_DUPLICATE
111,gid://shopify/ProductVariant/42665852665930,floralicious-grow-1-gal,DRAFT,11,,,87.48,,40.25,,0793094013734,0793094013734,REVIEW_DUPLICATE
112,gid://shopify/ProductVariant/42665852403786,floralicious-bloom-1-qt,DRAFT,7,,,29.84,,13.42,,0793094013826,0793094013826,REVIEW_DUPLICATE
112,gid://shopify/ProductVariant/42665852895306,floranova-bloom-1-qt,DRAFT,7,,,29.84,,13.42,,0793094013826,0793094013826,REVIEW_DUPLICATE
129,gid://shopify/ProductVariant/42665851420746,flora-micro-2-5-gal,DRAFT,6,,,112.99,,42.15,,0793094014144,0793094014144,REVIEW_DUPLICATE
129,gid://shopify/ProductVariant/42665855320138,hard-water-flora-micro-2-5-gal,DRAFT,6,,,112.99,,42.15,,0793094014144,0793094014144,REVIEW_DUPLICATE
388,gid://shopify/ProductVariant/42665839788106,bcuzz-roxx-bimatrix-growing-slab-36-x-6-x-3,DRAFT,0,,,7.45,,2.71,,0069111177744,0069111177744,REVIEW_DUPLICATE
388,gid://shopify/ProductVariant/42665840083018,bcuzz-roxx-bimatrix-growing-slab-40-x-6-x-3,DRAFT,0,,,7.45,,2.71,,0069111177744,0069111177744,REVIEW_DUPLICATE
616,gid://shopify/ProductVariant/42665842212938,bloom-natural-15-gal,DRAFT,11,,,91.49,,46.8,,0837654466179,0837654466179,REVIEW_DUPLICATE
616,gid://shopify/ProductVariant/42665843032138,bloom-natural-1-gal,DRAFT,11,,,91.49,,46.8,,0837654466179,0837654466179,REVIEW_DUPLICATE
196,gid://shopify/ProductVariant/42665851977802,floraduo-b-1-gal,DRAFT,7,,,40.96,,17.0,,0793094016834,0793094016834,REVIEW_DUPLICATE
196,gid://shopify/ProductVariant/42665852174410,floraduo-a-1-gal,DRAFT,7,,,40.96,,17.0,,0793094016834,0793094016834,REVIEW_DUPLICATE
198,gid://shopify/ProductVariant/42665850699850,floraduo-b-2-5-gal,DRAFT,1,,,92.99,,37.5,,0793094016742,0793094016742,REVIEW_DUPLICATE
198,gid://shopify/ProductVariant/42665871671370,sensi-grow-part-a-2-5-gal,DRAFT,1,,,92.99,,37.5,,0793094016742,0793094016742,REVIEW_DUPLICATE
199,gid://shopify/ProductVariant/42665850536010,floraduo-a-2-5-gal,DRAFT,8,,,92.99,,37.5,,0793094016841,0793094016841,REVIEW_DUPLICATE
