SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1956,,,,,,,,,,,,0816140010072,SKIP_MISSING_IN_SHOPIFY
1960,,,,,,,,,,,,69111111160463,SKIP_MISSING_IN_SHOPIFY
1853,,,,,,,,,,,,0845268000412,SKIP_MISSING_IN_SHOPIFY
1855,,,,,,,,,,,,0035307018472,SKIP_MISSING_IN_SHOPIFY
1875,,,,,,,,,,,,0741559020216,SKIP_MISSING_IN_SHOPIFY
1884,,,,,,,,,,,,0659627006007,SKIP_MISSING_IN_SHOPIFY
1915,,,,,,,,,,,,0840470000137,SKIP_MISSING_IN_SHOPIFY
1936,,,,,,,,,,,,0051000105639,SKIP_MISSING_IN_SHOPIFY
1652,,,,,,,,,,,,6911111110323,SKIP_MISSING_IN_SHOPIFY
1681,,,,,,,,,,,,0752289790355,SKIP_MISSING_IN_SHOPIFY
1687,,,,,,,,,,,,0691111105458,SKIP_MISSING_IN_SHOPIFY
1714,,,,,,,,,,,,691111111100224,SKIP_MISSING_IN_SHOPIFY
1772,,,,,,,,,,,,0845268005059,SKIP_MISSING_IN_SHOPIFY
1826,,,,,,,,,,,,0691111094652,SKIP_MISSING_IN_SHOPIFY
1626,,,,,,,,,,,,0691111104543,SKIP_MISSING_IN_SHOPIFY
1653,,,,,,,,,,,,6911111146320,SKIP_MISSING_IN_SHOPIFY
1688,,,,,,,,,,,,0069111063328,SKIP_MISSING_IN_SHOPIFY
1715,,,,,,,,,,,,6911111111054,SKIP_MISSING_IN_SHOPIFY
1765,,,,,,,,,,,,0845268001945,SKIP_MISSING_IN_SHOPIFY
1773,,,,,,,,,,,,0845268005110,SKIP_MISSING_IN_SHOPIFY
1689,,,,,,,,,,,,0691111032210,SKIP_MISSING_IN_SHOPIFY
1716,,,,,,,,,,,,6911111064552,SKIP_MISSING_IN_SHOPIFY
1766,,,,,,,,,,,,0812111010423,SKIP_MISSING_IN_SHOPIFY
1801,,,,,,,,,,,,0035307008206,SKIP_MISSING_IN_SHOPIFY
1856,,,,,,,,,,,,0691111462520,SKIP_MISSING_IN_SHOPIFY
1690,,,,,,,,,,,,0691111145252,SKIP_MISSING_IN_SHOPIFY
1829,,,,,,,,,,,,0793094061100,SKIP_MISSING_IN_SHOPIFY
1857,,,,,,,,,,,,69111146235120,SKIP_MISSING_IN_SHOPIFY
1629,,,,,,,,,,,,0718122811106,SKIP_MISSING_IN_SHOPIFY
1691,,,,,,,,,,,,0691111106530,SKIP_MISSING_IN_SHOPIFY
1741,,,,,,,,,,,,0691111144686,SKIP_MISSING_IN_SHOPIFY
1686,,,,,,,,,,,,0051378072205,SKIP_MISSING_IN_SHOPIFY
1692,,,,,,,,,,,,6911111643203,SKIP_MISSING_IN_SHOPIFY
1719,,,,,,,,,,,,69111111455547,SKIP_MISSING_IN_SHOPIFY
1742,,,,,,,,,,,,0691111117758,SKIP_MISSING_IN_SHOPIFY
1769,,,,,,,,,,,,121343691111133758,SKIP_MISSING_IN_SHOPIFY
1693,,,,,,,,,,,,0691111114623,SKIP_MISSING_IN_SHOPIFY
1743,,,,,,,,,,,,0876395000341,SKIP_MISSING_IN_SHOPIFY
1876,,,,,,,,,,,,0624493111441,SKIP_MISSING_IN_SHOPIFY
1694,,,,,,,,,,,,0069111106322,SKIP_MISSING_IN_SHOPIFY
1806,,,,,,,,,,,,69111111064652,SKIP_MISSING_IN_SHOPIFY
1695,,,,,,,,,,,,0870883009540,SKIP_MISSING_IN_SHOPIFY
