ProductID,Handle,SKU,Existing,Incoming
gid://shopify/Product/8043102928970,yield-up-9-47-9-product-enrichment,hmh00313,DRAFT,ACTIVE
gid://shopify/Product/8043103748170,yield-up-9-47-9-product-enrichment,hmh00314,DRAFT,ACTIVE
gid://shopify/Product/8043135926346,trimpro-rotor,hmh00666,ACTIVE,DRAFT
gid://shopify/Product/8043118788682,hydrodynamics-ionic-pk-boost-0-5-6-premium-plant-nutrient,hmh01612,DRAFT,ACTIVE
gid://shopify/Product/8043117314122,hydrodynamics-ionic-pk-boost-0-5-6-premium-plant-nutrient,hmh01613,DRAFT,ACTIVE
gid://shopify/Product/8043118821450,hydrodynamics-ionic-pk-boost-0-5-6-premium-plant-nutrient,hmh01614,DRAFT,ACTIVE
gid://shopify/Product/8043109548106,florablend,hmh00011,DRAFT,ACTIVE
gid://shopify/Product/8043110269002,florablend,hmh00012,DRAFT,ACTIVE
gid://shopify/Product/8043109777482,florablend,hmh00013,DRAFT,ACTIVE
gid://shopify/Product/8043110596682,florablend,hmh00014,DRAFT,ACTIVE
gid://shopify/Product/8043103387722,biothrive,hmh00160,DRAFT,ACTIVE
gid://shopify/Product/8043103879242,biothrive,hmh00161,DRAFT,ACTIVE
gid://shopify/Product/8043102732362,biothrive,hmh00673,DRAFT,ACTIVE
gid://shopify/Product/8043103551562,biothrive,hmh00672,DRAFT,ACTIVE
gid://shopify/Product/8043102765130,biothrive,hmh00165,DRAFT,ACTIVE
gid://shopify/Product/8043103354954,biothrive,hmh00164,DRAFT,ACTIVE
gid://shopify/Product/8043104108618,biothrive,hmh00163,DRAFT,ACTIVE
gid://shopify/Product/8043102699594,biothrive,hmh00162,DRAFT,ACTIVE
gid://shopify/Product/8043110498378,flora-series,hmh00175,DRAFT,ACTIVE
gid://shopify/Product/8043109449802,flora-series,hmh00176,DRAFT,ACTIVE
gid://shopify/Product/8043110465610,flora-series,hmh00177,DRAFT,ACTIVE
gid://shopify/Product/8043110629450,flora-series,hmh00178,DRAFT,ACTIVE
gid://shopify/Product/8043110301770,flora-series,hmh00179,DRAFT,ACTIVE
gid://shopify/Product/8043110432842,flora-series,hmh01825,DRAFT,ACTIVE
gid://shopify/Product/8043110858826,flora-series,hmh01826,DRAFT,ACTIVE
gid://shopify/Product/8043110203466,flora-series,hmh01827,DRAFT,ACTIVE
gid://shopify/Product/8043110236234,flora-series,hmh00180,DRAFT,ACTIVE
gid://shopify/Product/8043109843018,flora-series,hmh00181,DRAFT,ACTIVE
gid://shopify/Product/8043111546954,flora-series,hmh00182,DRAFT,ACTIVE
gid://shopify/Product/8043110760522,flora-series,hmh00183,DRAFT,ACTIVE
gid://shopify/Product/8043109384266,flora-series,hmh00184,DRAFT,ACTIVE
gid://shopify/Product/8043109351498,flora-series,hmh01823,DRAFT,ACTIVE
gid://shopify/Product/8043110924362,flora-series,hmh01828,DRAFT,ACTIVE
gid://shopify/Product/8043111415882,flora-series,hmh00170,DRAFT,ACTIVE
gid://shopify/Product/8043109941322,flora-series,hmh00171,DRAFT,ACTIVE
gid://shopify/Product/8043111252042,flora-series,hmh00172,DRAFT,ACTIVE
gid://shopify/Product/8043110662218,flora-series,hmh00173,DRAFT,ACTIVE
gid://shopify/Product/8043109285962,flora-series,hmh01829,DRAFT,ACTIVE
gid://shopify/Product/8043110334538,flora-series,hmh01830,DRAFT,ACTIVE
gid://shopify/Product/8043113807946,flora-series,hmh00166,DRAFT,ACTIVE
gid://shopify/Product/8043114758218,flora-series,hmh00167,DRAFT,ACTIVE
gid://shopify/Product/8043114594378,flora-series,hmh00168,DRAFT,ACTIVE
gid://shopify/Product/8043115216970,flora-series,hmh00169,DRAFT,ACTIVE
gid://shopify/Product/8043112300618,floranova-series,hmh00185,DRAFT,ACTIVE
gid://shopify/Product/8043112366154,floranova-series,hmh00186,DRAFT,ACTIVE
gid://shopify/Product/8043112398922,floranova-series,hmh00187,DRAFT,ACTIVE
gid://shopify/Product/8043113218122,floranova-series,hmh00188,DRAFT,ACTIVE
gid://shopify/Product/8043112169546,floranova-series,hmh00189,DRAFT,ACTIVE
gid://shopify/Product/8043112202314,floranova-series,hmh00190,DRAFT,ACTIVE
gid://shopify/Product/8043113054282,floranova-series,hmh00191,DRAFT,ACTIVE
gid://shopify/Product/8043112464458,floranova-series,hmh00192,DRAFT,ACTIVE
gid://shopify/Product/8043120656458,maxi-series,hmh00193,DRAFT,ACTIVE
gid://shopify/Product/8043120721994,maxi-series,hmh00194,DRAFT,ACTIVE
gid://shopify/Product/8043120689226,maxi-series,hmh00195,DRAFT,ACTIVE
gid://shopify/Product/8043120590922,maxi-series,hmh00196,DRAFT,ACTIVE
gid://shopify/Product/8043120492618,maxi-series,hmh00197,DRAFT,ACTIVE
gid://shopify/Product/8043120754762,maxi-series,hmh00198,DRAFT,ACTIVE
