SKU,Reason,Status,Details
9.78093E+12,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
9.7816E+12,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
HMH2080,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
SKID,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
UNO GEN-1eNG,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
UNO-2eLP-G,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00001,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00003,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00006,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00009,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00010,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00011,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00012,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00013,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00014,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00015,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00016,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00017,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00018,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00019,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
