SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1950,gid://shopify/ProductVariant/42665867116618,ph-probe-electrode-3-lead-wire,ACTIVE,6,1,-5,34.16,,20.0,,6999911111509,6999911111509,READY_TO_UPDATE
1956,,,,,6,,,,,,,0816140010072,SKIP_MISSING_IN_SHOPIFY
1960,,,,,14,,,,,,,69111111160463,SKIP_MISSING_IN_SHOPIFY
1969,gid://shopify/ProductVariant/42665864921162,ona-pro-gel-1-qt,DRAFT,8,8,0,17.55,,10.75,,0624493122041,0624493122041,NO_CHANGE
1853,,,,,2,,,,,,,0845268000412,SKIP_MISSING_IN_SHOPIFY
1855,,,,,0,,,,,,,0035307018472,SKIP_MISSING_IN_SHOPIFY
1875,,,,,3,,,,,,,0741559020216,SKIP_MISSING_IN_SHOPIFY
1884,,,,,0,,,,,,,0659627006007,SKIP_MISSING_IN_SHOPIFY
1915,,,,,0,,,,,,,0840470000137,SKIP_MISSING_IN_SHOPIFY
1936,,,,,2,,,,,,,0051000105639,SKIP_MISSING_IN_SHOPIFY
1951,gid://shopify/ProductVariant/42665837461578,air-tight-6-a-c-w-15-socket-set,ACTIVE,2,2,0,155.42,,104.99,,0691111464623,0691111464623,NO_CHANGE
1652,,,,,3,,,,,,,6911111110323,SKIP_MISSING_IN_SHOPIFY
1681,,,,,0,,,,,,,0752289790355,SKIP_MISSING_IN_SHOPIFY
1687,,,,,5,,,,,,,0691111105458,SKIP_MISSING_IN_SHOPIFY
1714,,,,,5,,,,,,,691111111100224,SKIP_MISSING_IN_SHOPIFY
1772,,,,,4,,,,,,,0845268005059,SKIP_MISSING_IN_SHOPIFY
1826,,,,,77,,,,,,,0691111094652,SKIP_MISSING_IN_SHOPIFY
1626,,,,,5,,,,,,,0691111104543,SKIP_MISSING_IN_SHOPIFY
1653,,,,,7,,,,,,,6911111146320,SKIP_MISSING_IN_SHOPIFY
1682,gid://shopify/ProductVariant/42665851650122,ej-meta-k-quart,ACTIVE,17,0,-17,12.88,,7.44,,0727644132316,0727644132316,READY_TO_UPDATE
1688,,,,,0,,,,,,,0069111063328,SKIP_MISSING_IN_SHOPIFY
1715,,,,,0,,,,,,,6911111111054,SKIP_MISSING_IN_SHOPIFY
1765,,,,,1,,,,,,,0845268001945,SKIP_MISSING_IN_SHOPIFY
1773,,,,,2,,,,,,,0845268005110,SKIP_MISSING_IN_SHOPIFY
1689,,,,,,,,,,,,0691111032210,SKIP_MISSING_IN_SHOPIFY
1716,,,,,0,,,,,,,6911111064552,SKIP_MISSING_IN_SHOPIFY
1766,,,,,3,,,,,,,0812111010423,SKIP_MISSING_IN_SHOPIFY
1801,,,,,17,,,,,,,0035307008206,SKIP_MISSING_IN_SHOPIFY
1828,gid://shopify/ProductVariant/42665874325578,spin-pro-manual-trimmer,ACTIVE,11,2,-9,189.00,,145.0,,0626853100676,0626853100676,READY_TO_UPDATE
1856,,,,,0,,,,,,,0691111462520,SKIP_MISSING_IN_SHOPIFY
1690,,,,,0,,,,,,,0691111145252,SKIP_MISSING_IN_SHOPIFY
1717,gid://shopify/ProductVariant/42665864855626,ona-mist-dispenser,ACTIVE,0,1,1,24.39,,,,0624493166908,0624493166908,READY_TO_UPDATE
1829,,,,,1,,,,,,,0793094061100,SKIP_MISSING_IN_SHOPIFY
1857,,,,,4,,,,,,,69111146235120,SKIP_MISSING_IN_SHOPIFY
