SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1950,gid://shopify/ProductVariant/42665867116618,ph-probe-electrode-3-lead-wire,ACTIVE,6,,,34.16,,20.0,,6999911111509,6999911111509,NO_CHANGE
1956,,,,,,,,,,,,0816140010072,SKIP_MISSING_IN_SHOPIFY
1960,,,,,,,,,,,,69111111160463,SKIP_MISSING_IN_SHOPIFY
1969,gid://shopify/ProductVariant/42665864921162,ona-pro-gel-1-qt,DRAFT,8,,,17.55,,10.75,,0624493122041,0624493122041,NO_CHANGE
1853,,,,,,,,,,,,0845268000412,SKIP_MISSING_IN_SHOPIFY
1855,,,,,,,,,,,,0035307018472,SKIP_MISSING_IN_SHOPIFY
1875,,,,,,,,,,,,0741559020216,SKIP_MISSING_IN_SHOPIFY
1884,,,,,,,,,,,,0659627006007,SKIP_MISSING_IN_SHOPIFY
1915,,,,,,,,,,,,0840470000137,SKIP_MISSING_IN_SHOPIFY
1936,,,,,,,,,,,,0051000105639,SKIP_MISSING_IN_SHOPIFY
1951,gid://shopify/ProductVariant/42665837461578,air-tight-6-a-c-w-15-socket-set,ACTIVE,2,,,155.42,,104.99,,0691111464623,0691111464623,NO_CHANGE
1652,,,,,,,,,,,,6911111110323,SKIP_MISSING_IN_SHOPIFY
1681,,,,,,,,,,,,0752289790355,SKIP_MISSING_IN_SHOPIFY
1687,,,,,,,,,,,,0691111105458,SKIP_MISSING_IN_SHOPIFY
1714,,,,,,,,,,,,691111111100224,SKIP_MISSING_IN_SHOPIFY
1772,,,,,,,,,,,,0845268005059,SKIP_MISSING_IN_SHOPIFY
1826,,,,,,,,,,,,0691111094652,SKIP_MISSING_IN_SHOPIFY
1626,,,,,,,,,,,,0691111104543,SKIP_MISSING_IN_SHOPIFY
1653,,,,,,,,,,,,6911111146320,SKIP_MISSING_IN_SHOPIFY
1682,gid://shopify/ProductVariant/42665851650122,ej-meta-k-quart,ACTIVE,17,,,12.88,,7.44,,0727644132316,0727644132316,NO_CHANGE
1688,,,,,,,,,,,,0069111063328,SKIP_MISSING_IN_SHOPIFY
1715,,,,,,,,,,,,6911111111054,SKIP_MISSING_IN_SHOPIFY
1765,,,,,,,,,,,,0845268001945,SKIP_MISSING_IN_SHOPIFY
1773,,,,,,,,,,,,0845268005110,SKIP_MISSING_IN_SHOPIFY
1689,,,,,,,,,,,,0691111032210,SKIP_MISSING_IN_SHOPIFY
1716,,,,,,,,,,,,6911111064552,SKIP_MISSING_IN_SHOPIFY
1766,,,,,,,,,,,,0812111010423,SKIP_MISSING_IN_SHOPIFY
1801,,,,,,,,,,,,0035307008206,SKIP_MISSING_IN_SHOPIFY
1828,gid://shopify/ProductVariant/42665874325578,spin-pro-manual-trimmer,ACTIVE,11,,,189.00,,145.0,,0626853100676,0626853100676,NO_CHANGE
1856,,,,,,,,,,,,0691111462520,SKIP_MISSING_IN_SHOPIFY
1690,,,,,,,,,,,,0691111145252,SKIP_MISSING_IN_SHOPIFY
1717,gid://shopify/ProductVariant/42665864855626,ona-mist-dispenser,ACTIVE,0,,,24.39,,,,0624493166908,0624493166908,NO_CHANGE
1829,,,,,,,,,,,,0793094061100,SKIP_MISSING_IN_SHOPIFY
1857,,,,,,,,,,,,69111146235120,SKIP_MISSING_IN_SHOPIFY
1629,,,,,,,,,,,,0718122811106,SKIP_MISSING_IN_SHOPIFY
1691,,,,,,,,,,,,0691111106530,SKIP_MISSING_IN_SHOPIFY
1741,,,,,,,,,,,,0691111144686,SKIP_MISSING_IN_SHOPIFY
1630,gid://shopify/ProductVariant/42665854828618,holland-secret-grow-10l,ACTIVE,0,,,83.99,,36.43,,0718122810901,0718122810901,NO_CHANGE
1686,,,,,,,,,,,,0051378072205,SKIP_MISSING_IN_SHOPIFY
1692,,,,,,,,,,,,6911111643203,SKIP_MISSING_IN_SHOPIFY
1719,,,,,,,,,,,,69111111455547,SKIP_MISSING_IN_SHOPIFY
1742,,,,,,,,,,,,0691111117758,SKIP_MISSING_IN_SHOPIFY
1769,,,,,,,,,,,,121343691111133758,SKIP_MISSING_IN_SHOPIFY
1631,gid://shopify/ProductVariant/42665854173258,holland-secret-grow-23l,ACTIVE,1,,,151.00,,75.95,,0718122809707,0718122809707,NO_CHANGE
1693,,,,,,,,,,,,0691111114623,SKIP_MISSING_IN_SHOPIFY
1743,,,,,,,,,,,,0876395000341,SKIP_MISSING_IN_SHOPIFY
1860,gid://shopify/ProductVariant/42665878552650,trolley-wheel-replacement-kit,ACTIVE,12,,,3.91,,2.4,,0689001390022,0689001390022,NO_CHANGE
1876,,,,,,,,,,,,0624493111441,SKIP_MISSING_IN_SHOPIFY
1632,gid://shopify/ProductVariant/42665854107722,holland-secret-micro-10l,ACTIVE,2,,,79.95,,36.43,,0718122811007,0718122811007,REVIEW_DUPLICATE
1632,gid://shopify/ProductVariant/42665856073802,holland-secret-micro-h-w-10l,ACTIVE,2,,,79.95,,36.43,,0718122811007,0718122811007,REVIEW_DUPLICATE
1694,,,,,,,,,,,,0069111106322,SKIP_MISSING_IN_SHOPIFY
1806,,,,,,,,,,,,69111111064652,SKIP_MISSING_IN_SHOPIFY
1861,gid://shopify/ProductVariant/42665864560714,ona-mist-fresh-linen-mist-6oz,ACTIVE,0,,,11.68,,7.25,,0624493111328,0624493111328,NO_CHANGE
