Handle,Title,SKU,Price,Inventory_Qty,Inventory_Value,Status
dutch-lighting-innovations-joule-series-1000w-de-220v-240v,“Dutch Lighting Innovations”  JOULE-SERIES 1000W DE 120V – 240V/ Skid (62 Fixtures),SKID,19000.0,62,1178000.0,active
scietetics-ful-v-tech-element-transfer-system-255-gallon,Scietetics Ful V Tech Element Transfer System 255 Gallon,,14000.0,3,42000.0,active
scietetics-ful-v-tech-element-transfer-system-55-gallon,Scietetics Ful V Tech Element Transfer System 55 Gallon,,2999.0,8,23992.0,active
uno-gen-2eng,UNO GEN-2eNG,GEN-2eNG,200.0,100,20000.0,active
uno-gen-1-elp-propane,UNO GEN-1 elp Propane,GEN-1eLP,175.0,100,17500.0,active
purple-label-indica,Purple Label * Indica,,75.97,100,7597.0,active
green-label-wash,Green Label * WASH,,75.97,100,7597.0,active
amber-label-sativa,Amber Label * Sativa,,75.97,100,7597.0,active
yellow-label-finisher,Yellow Label * Finisher,,75.97,99,7521.03,active
gold-label-hybrid,GOLD LABEL * HYBRID,,75.97,99,7521.03,active
